param_a,param_b,coupling,mse_1D_product,mse_2D_joint,wall_time_s
ns,Ap,-0.1305958414574524,0.17158936313468967,0.19399822039841283,0.01989126205444336
ns,hub,-0.22290806425496235,0.1229817335737496,0.15039535374339363,0.0115966796875
ns,omegamh2,-0.3024108492599774,0.11808293040273422,0.1537924896689319,0.019289255142211914
ns,herei,-0.2112666893785167,0.1212784838147894,0.14690058758318597,0.010822296142578125
ns,alphaq,-0.22894638266193607,0.13996259299238048,0.17200652236597083,0.019353866577148438
Ap,hub,-0.8149570387299018,0.047712084240227784,0.08659538312427544,0.012792825698852539
Ap,omegamh2,-1.6847355423067918,0.0361332120276982,0.09700811858846863,0.005745410919189453
Ap,herei,-0.49027027352620295,0.07501730153611308,0.11179605447942088,0.011162519454956055
Ap,alphaq,-1.2800813100702293,0.03580734671571972,0.08164366200971715,0.01593303680419922
hub,omegamh2,-0.9036127474843971,0.04028168381916202,0.0766807268082928,0.011427879333496094
hub,herei,-1.0160249873339686,0.040627395657600616,0.08190584481602642,0.01988053321838379
hub,alphaq,-1.2122768231369125,0.0346342600281155,0.07662057074669712,0.019001007080078125
omegamh2,herei,-1.131337119262341,0.04832575008573318,0.10299846497391837,0.011106252670288086
omegamh2,alphaq,-4.376059355721629,0.01465513076319614,0.07878685284880448,0.019319772720336914
herei,alphaq,0.44917231834995075,0.13778435017042712,0.07589543417203494,0.019895553588867188
