complexity,loss,equation
1,228.93938,40.95026
3,220.56789,41.450485 - x2
4,20.184376,65.740585 / exp(x2)
5,8.012386,34.574883 / (x2 - -0.44575557)
7,6.437353,(x1 + 33.933464) / (x2 - -0.44305152)
8,4.394146,(log(x1) + 35.385452) / (x2 - -0.44198513)
9,2.5246015,((x1 * 6.429014) + 31.310242) / (x2 - -0.44474524)
11,0.9053462,((5.174117 * (x1 + x0)) + 29.343815) / (x2 - -0.44474268)
13,0.48688835,(((x0 + (x1 * 1.6569166)) * 3.8836906) + 29.37135) / (x2 - -0.44497234)
15,0.389631,(((((x1 + x1) + x0) * 3.6935627) + 29.763617) / (x2 - -0.4526171)) - x1
16,0.28195342,((((x0 + (x1 + x1)) * 4.0147295) + 31.238708) / (x2 - -0.47199857)) - exp(x1)
18,0.2121968,((((x1 + (x1 + x0)) * 4.627806) + 32.796947) / (x2 - -0.49591583)) - exp(x1 + 0.62774473)
20,0.15037972,(((((x0 + (x1 + x1)) * 5.021402) + 30.137173) / (x2 - -0.47635224)) - square(x1 * 2.0798645)) - x0
22,0.13716635,(((((x1 + (x0 + x1)) * 5.113781) + 30.320068) / (x2 - -0.47909924)) - square(1.8975675 * x1)) - (x0 + x1)
24,0.115943395,(((30.532808 + (4.99504 * (x1 + (x0 + x1)))) / (x2 - -0.4831802)) - square(x1 * 1.9190396)) - (x0 + (x1 * x2))
27,0.114323996,((((((x1 + x0) + x1) * 4.99504) + 30.532808) / (x2 - -0.4831802)) - square(x1 * 1.9190396)) - (x0 + (x1 * square(x2 + 0.119564876)))
29,0.111459956,((((((x1 + x1) + x0) * 4.95816) + 30.742184) / (x2 - -0.48656097)) - square(x1 * 1.7891544)) - (x0 + (square(-0.25435534 - (x2 + 0.10504562)) * x1))
30,0.111174956,(((((((x0 + (x1 + x1)) - -0.047680855) * 5.006392) + 30.544743) / (x2 - -0.4853646)) - square(x1 * -1.7118438)) - (x0 + ((x2 + 0.79403824) * x1))) - 0.043335482
