# param=bhfeedback z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/budget35_sobolev/refit/z3.6/pareto_bhfeedback.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
35,7.1627917,0.5966865072291271,2.5861799802706867e-05,48,False,True
34,7.236146,0.493928206466124,2.6514207976638614e-05,48,False,True
33,7.2939415,0.4194200910972214,2.736868487055641e-05,48,False,True
32,7.3110356,0.4902921690621599,2.6620722064401356e-05,48,False,True
30,7.3499966,0.4667681328697159,2.7493758859309785e-05,48,False,True
28,7.593666,0.6785128880416468,2.6619225715289745e-05,48,False,True
26,7.7692204,0.6762905924649585,2.6463829104909613e-05,48,False,True
24,8.324854,0.676014166824501,3.752076479474611e-05,48,False,True
22,10.373613,0.6405558819589114,6.383321030340713e-05,48,False,True
21,12.478501,0.8008584986331784,2.7129470859266098e-05,48,False,True
20,12.488262,0.5259264548096635,2.7890191831409517e-05,48,False,True
19,13.70134,0.6647777028859516,2.6288475989995665e-05,48,False,True
18,14.017157,0.7602616566395741,2.793820320984244e-05,48,False,True
16,16.03669,0.7012361934538531,6.155099691543407e-05,48,False,True
15,18.11874,1.6797001255172637,6.689683759793554e-05,48,False,True
14,18.566776,2.147811953851986,6.311885033964869e-05,48,False,True
13,20.055092,2.147811953851986,6.597494314949617e-05,48,False,True
12,23.231728,3.426766095709791,6.56173717179701e-05,48,False,True
11,24.8241,3.4267660957145956,6.862711328881705e-05,48,False,True
10,30.597721,3.426766095709791,0.00011346678919932312,48,False,True
9,39.620293,1.014750593146789,0.0002984678587209528,48,False,True
8,41.5791,1.02537550529081,0.0003417519808474495,48,False,True
7,54.709,1.9480744557922143,0.0001961268170885023,48,False,True
6,66.071655,2.894856322704266,0.0001348281096879118,48,False,True
5,91.56229,1.5870982999598882,0.00019262599077858922,48,False,True
