# param=hub z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/budget35_sobolev/refit/z3.6/pareto_hub.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
35,365.01855,1.0156355022042627,0.0007759303110980033,48,False,True
34,365.07996,1.0168727172612704,0.0007753418493307686,48,False,True
33,366.0871,1.0214961683723909,0.0007257755570522744,48,False,True
32,366.14978,0.9720564817014601,0.0005907022060729209,48,False,True
30,366.87042,1.006760558653229,0.0005678613532137683,48,False,True
29,368.67844,1.0255748901053314,0.0006035748420094107,48,False,True
28,372.27472,0.9872447734169212,0.0003809091219220709,48,False,True
27,373.50504,0.9829656618674558,0.00038043461234577583,48,False,True
26,374.1273,1.0799052721535625,0.0005960930283106595,48,False,True
24,374.21017,0.953676334514822,0.0004284584948602081,48,False,True
23,376.61688,0.9891471502933453,0.00042675299688220913,48,False,True
22,378.68195,1.0869142851295863,0.0003947892926785827,48,False,True
21,381.97174,1.0225947586774766,0.0005024254571031453,48,False,True
20,386.29684,0.9732988809306573,0.0005688159624935115,48,False,True
19,387.36304,0.9497466739222629,0.0005505804359122013,48,False,True
17,389.22873,0.9520032288197057,0.0005081659228889333,48,False,True
16,393.28214,0.9453421631791789,0.000562584456590021,48,False,True
15,394.79138,0.9394078964995974,0.0004450975653153242,48,False,True
14,398.01672,0.995762676000092,0.0005574669507948253,48,False,True
13,400.25064,0.9957626760023137,0.0004819618104447473,48,False,True
12,405.4598,0.9999678067465384,0.000344979721241557,48,False,True
11,417.07642,0.9999989418676483,0.00033078848777956803,48,False,True
10,422.00815,0.9999822413836724,0.00039874789554133843,48,False,True
9,432.77295,0.9999576771832277,0.00033523212976897847,48,False,True
8,438.66174,0.9851945565326057,0.00041916108201233354,48,False,True
7,443.80066,0.9988666193522486,0.0002929994697293005,48,False,True
6,449.6637,0.9794877711286293,0.00029637583826357984,48,False,True
