Complexity,Loss,Equation,score,sympy_format,lambda_format
1,128.00671,-4.6854177,0.0,-4.68541770000000,PySRFunction(X=>-4.68541770000000)
3,114.83489,x2 * -9.370908,0.05429366342441552,x2*(-9.370908),PySRFunction(X=>x2*(-9.370908))
4,108.63639,square(x2) * -13.780779,0.05548892332677231,x2**2*(-13.780779),PySRFunction(X=>x2**2*(-13.780779))
5,91.56229,"aq(-6.8859553, x0 - 0.68163884)",0.1709869285516374,-6.8859553/sqrt((x0 - 1*0.68163884)**2 + 1),PySRFunction(X=>-6.8859553/sqrt((x0 - 1*0.68163884)**2 + 1))
6,66.071655,"aq(-7.6546993, log(x0 + x2))",0.3262796707750765,-7.6546993/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-7.6546993/sqrt(log(x0 + x2)**2 + 1))
7,54.709,"aq(-6.7545676, log(square(x2) + x0))",0.18871160520374947,-6.7545676/sqrt(log(x0 + x2**2)**2 + 1),PySRFunction(X=>-6.7545676/sqrt(log(x0 + x2**2)**2 + 1))
8,41.5791,"aq(-5.252109, square(log(x0 + square(x2))))",0.2744305925406071,-5.252109/sqrt(log(x0 + x2**2)**4 + 1),PySRFunction(X=>-5.252109/sqrt(log(x0 + x2**2)**4 + 1))
9,39.620293,"aq(-5.587475, square(log((x0 + -0.18854022) + x2)))",0.04825620067598312,-5.587475/sqrt(log(x0 + x2 - 0.18854022)**4 + 1),PySRFunction(X=>-5.587475/sqrt(log(x0 + x2 - 0.18854022)**4 + 1))
10,30.597721,square(log(square(x0 + x2))) - (x2 * 10.122078),0.2584159074373885,-10.122078*x2 + log((x0 + x2)**2)**2,PySRFunction(X=>-10.122078*x2 + log((x0 + x2)**2)**2)
11,24.8241,square(log(square(x0 + x2))) - square(x2 * 3.8287342),0.20911057356297616,-14.6592055742496*x2**2 + log((x0 + x2)**2)**2,PySRFunction(X=>-14.6592055742496*x2**2 + log((x0 + x2)**2)**2)
12,23.231728,(square(log(square(x2 + x0))) - (x2 * 22.898762)) - -8.524829,0.06629602491275141,-22.898762*x2 + log((x0 + x2)**2)**2 + 8.524829,PySRFunction(X=>-22.898762*x2 + log((x0 + x2)**2)**2 + 8.524829)
13,20.055092,"square(log(square(x2 + aq(x0, x2)))) - square(x2 * 3.792239)",0.1470358439886797,-14.381076633121*x2**2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2,PySRFunction(X=>-14.381076633121*x2**2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2)
14,18.566776,"(square(log(square(x2 + aq(x0, x2)))) + 8.362574) - (x2 * 22.484457)",0.07710933965898822,-22.484457*x2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2 + 8.362574,PySRFunction(X=>-22.484457*x2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2 + 8.362574)
15,18.11874,"square(log(square(x2 + aq(x0, x1 + x2)))) - square(x2 * 3.7921762)",0.024426985163975075,-14.3806003318464*x2**2 + log((x0/sqrt((x1 + x2)**2 + 1) + x2)**2)**2,PySRFunction(X=>-14.3806003318464*x2**2 + log((x0/sqrt((x1 + x2)**2 + 1) + x2)**2)**2)
16,16.03669,"square(log(square(x0 + x2))) - exp(square(aq(x2 + x2, aq(0.40329996, x0))))",0.12206753973206813,-exp(4*x2**2/(1 + 0.162650857736002/(x0**2 + 1))) + log((x0 + x2)**2)**2,PySRFunction(X=>-exp(4*x2**2/(1 + 0.162650857736002/(x0**2 + 1))) + log((x0 + x2)**2)**2)
18,14.017157,"square(log(square(x2 + x0))) - exp(square(aq(x2, aq(-0.39269638 - x1, x0)) + x2))",0.06729857136903941,-exp((x2 + x2/sqrt(1 + (-x1 - 0.39269638)**2/(x0**2 + 1)))**2) + log((x0 + x2)**2)**2,PySRFunction(X=>-exp((x2 + x2/sqrt(1 + (-x1 - 0.39269638)**2/(x0**2 + 1)))**2) + log((x0 + x2)**2)**2)
19,13.70134,"square(log(square(x2 + x0))) - exp(square(aq(x2 + x2, aq(exp(x1) * 0.30674794, x0))))",0.022788441033126307,-exp(4*x2**2/(1 + 0.0940942986942436*exp(2*x1)/(x0**2 + 1))) + log((x0 + x2)**2)**2,PySRFunction(X=>-exp(4*x2**2/(1 + 0.0940942986942436*exp(2*x1)/(x0**2 + 1))) + log((x0 + x2)**2)**2)
20,12.488262,"square(log(square(x2 + aq(x0, x1)))) - exp(square(aq(x2, aq(-0.39269638 - x1, x0)) + x2))",0.09270447513596355,-exp((x2 + x2/sqrt(1 + (-x1 - 0.39269638)**2/(x0**2 + 1)))**2) + log((x0/sqrt(x1**2 + 1) + x2)**2)**2,PySRFunction(X=>-exp((x2 + x2/sqrt(1 + (-x1 - 0.39269638)**2/(x0**2 + 1)))**2) + log((x0/sqrt(x1**2 + 1) + x2)**2)**2)
21,12.478501,"square(log(square(aq(x0, x1) + x2))) - exp(square(aq(x2 + x2, aq(square(x1) + 0.30674794, x0))))",0.0007819195862373159,-exp(4*x2**2/(1 + (x1**2 + 0.30674794)**2/(x0**2 + 1))) + log((x0/sqrt(x1**2 + 1) + x2)**2)**2,PySRFunction(X=>-exp(4*x2**2/(1 + (x1**2 + 0.30674794)**2/(x0**2 + 1))) + log((x0/sqrt(x1**2 + 1) + x2)**2)**2)
22,10.373613,(x2 * -12.128702) + exp((((x0 * -2.1158032) - x2) - log(x2 + -0.30794975)) + (square(x0) * (1.8262017 - x1))),0.1847418731148445,-12.128702*x2 + exp(x0**2*(1.8262017 - x1) - 2.1158032*x0 - x2)/(x2 - 0.30794975),PySRFunction(X=>-12.128702*x2 + exp(x0**2*(1.8262017 - x1) - 2.1158032*x0 - x2)/(x2 - 0.30794975))
24,8.324854,"aq(exp((square(x0) * (1.7401267 - x1)) + (((x0 * -2.0303726) - x2) - log(-0.315319 + x2))) + (x2 * -12.993518), x1)",0.11000993612885941,(-12.993518*x2 + exp(x0**2*(1.7401267 - x1) - 2.0303726*x0 - x2)/(x2 - 0.315319))/sqrt(x1**2 + 1),PySRFunction(X=>(-12.993518*x2 + exp(x0**2*(1.7401267 - x1) - 2.0303726*x0 - x2)/(x2 - 0.315319))/sqrt(x1**2 + 1))
26,7.7692204,"aq(exp(((x0 * -2.030579) - x2) + (((1.7408203 - x1) * square(x0)) - log(-0.31543136 + x2))) + (x2 * aq(-13.510533, x1)), x1)",0.03453783672490945,(-13.510533*x2/sqrt(x1**2 + 1) + exp(x0**2*(1.7408203 - x1) - 2.030579*x0 - x2)/(x2 - 0.31543136))/sqrt(x1**2 + 1),PySRFunction(X=>(-13.510533*x2/sqrt(x1**2 + 1) + exp(x0**2*(1.7408203 - x1) - 2.030579*x0 - x2)/(x2 - 0.31543136))/sqrt(x1**2 + 1))
28,7.593666,"aq((-13.607136 * aq(x2, x1)) + exp((square(x0) * (1.6899538 - aq(x1, x1))) + (((x0 * -1.9764622) - x2) - log(x2 + -0.317206))), x1)",0.011427672987060648,(-13.607136*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2 + 1) + 1.6899538) - 1.9764622*x0 - x2)/(x2 - 0.317206))/sqrt(x1**2 + 1),PySRFunction(X=>(-13.607136*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2 + 1) + 1.6899538) - 1.9764622*x0 - x2)/(x2 - 0.317206))/sqrt(x1**2 + 1))
30,7.3499966,"aq(aq(x2 * -13.507567, x1) + exp(((square(x0) * (1.7126504 - aq(x1, x1))) + ((x0 * -1.9982823) - x2)) - log(x2 + -0.31690237)), aq(x1, x0))",0.016307314055820574,(-13.507567*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2 + 1) + 1.7126504) - 1.9982823*x0 - x2)/(x2 - 0.31690237))/sqrt(x1**2/(x0**2 + 1) + 1),PySRFunction(X=>(-13.507567*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2 + 1) + 1.7126504) - 1.9982823*x0 - x2)/(x2 - 0.31690237))/sqrt(x1**2/(x0**2 + 1) + 1))
32,7.3110356,"aq(aq(x2 * -13.507567, x1) + exp(((square(x0) * (1.7126504 - aq(x1, x1))) + ((x0 * -1.9982823) - x2)) - log(x2 + -0.31690237)), aq(x1, x0) + 0.0579617)",0.00265745898268312,(-13.507567*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2 + 1) + 1.7126504) - 1.9982823*x0 - x2)/(x2 - 0.31690237))/sqrt((x1/sqrt(x0**2 + 1) + 0.0579617)**2 + 1),PySRFunction(X=>(-13.507567*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2 + 1) + 1.7126504) - 1.9982823*x0 - x2)/(x2 - 0.31690237))/sqrt((x1/sqrt(x0**2 + 1) + 0.0579617)**2 + 1))
33,7.2939415,"aq(aq(x2 * -13.507567, x1) + exp((square(x0) * (1.7126504 - aq(x1, x1 * exp(x2)))) + (((x0 * -1.9982823) - x2) - log(x2 + -0.31690237))), aq(x1, x0))",0.0023408606105621626,(-13.507567*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2*exp(2*x2) + 1) + 1.7126504) - 1.9982823*x0 - x2)/(x2 - 0.31690237))/sqrt(x1**2/(x0**2 + 1) + 1),PySRFunction(X=>(-13.507567*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2*exp(2*x2) + 1) + 1.7126504) - 1.9982823*x0 - x2)/(x2 - 0.31690237))/sqrt(x1**2/(x0**2 + 1) + 1))
34,7.236146,"aq(exp(((1.6421682 - aq(aq(x1, x1), x1)) * square(x0)) + (((x0 * -1.9329977) - x2) - log(x2 + -0.3179957))) + aq(x2 * -14.59963, x1), aq(x1, x0)) + x2",0.007955327840866742,x2 + (-14.59963*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/(x1**2 + 1) + 1.6421682) - 1.9329977*x0 - x2)/(x2 - 0.3179957))/sqrt(x1**2/(x0**2 + 1) + 1),PySRFunction(X=>x2 + (-14.59963*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/(x1**2 + 1) + 1.6421682) - 1.9329977*x0 - x2)/(x2 - 0.3179957))/sqrt(x1**2/(x0**2 + 1) + 1))
35,7.1627917,"aq((x2 * aq(-14.013024, x1)) + exp(((((1.6943336 - aq(x1, x1)) * square(x0)) - x2) - log(x2 + -0.3197492)) + (x0 * -1.983237)), aq(x1 + -0.262753, square(x0)) + 0.41266128)",0.010188937007741969,(-14.013024*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2 + 1) + 1.6943336) - 1.983237*x0 - x2)/(x2 - 0.3197492))/sqrt((0.41266128 + (x1 - 0.262753)/sqrt(x0**4 + 1))**2 + 1),PySRFunction(X=>(-14.013024*x2/sqrt(x1**2 + 1) + exp(x0**2*(-x1/sqrt(x1**2 + 1) + 1.6943336) - 1.983237*x0 - x2)/(x2 - 0.3197492))/sqrt((0.41266128 + (x1 - 0.262753)/sqrt(x0**4 + 1))**2 + 1))
