Complexity,Loss,Equation,score,sympy_format,lambda_format
1,495.17786,-5.1146293,0.0,-5.11462930000000,PySRFunction(X=>-5.11462930000000)
3,479.48264,x2 * -10.229079,0.01610466093698141,x2*(-10.229079),PySRFunction(X=>x2*(-10.229079))
4,472.09665,square(x2) * -15.042854,0.015523957715718833,x2**2*(-15.042854),PySRFunction(X=>x2**2*(-15.042854))
5,469.01917,"aq(69.298935, x2) + -64.342476",0.006540089761439325,-64.342476 + 69.298935/sqrt(x2**2 + 1),PySRFunction(X=>-64.342476 + 69.298935/sqrt(x2**2 + 1))
6,449.6637,"aq(-7.091471, log(x0 + x2))",0.04214367177311011,-7.091471/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-7.091471/sqrt(log(x0 + x2)**2 + 1))
7,443.80066,"aq(-6.8596535, square(log(x0 + x2)))",0.013124472384503752,-6.8596535/sqrt(log(x0 + x2)**4 + 1),PySRFunction(X=>-6.8596535/sqrt(log(x0 + x2)**4 + 1))
8,438.66174,"aq(-6.8596535, exp(square(log(x2 + x0))))",0.011646905502719311,-6.8596535/sqrt(exp(2*log(x0 + x2)**2) + 1),PySRFunction(X=>-6.8596535/sqrt(exp(2*log(x0 + x2)**2) + 1))
9,432.77295,"aq(-5.556986, square(log((x2 + -0.12158335) + x0)))",0.013515366571979747,-5.556986/sqrt(log(x0 + x2 - 0.12158335)**4 + 1),PySRFunction(X=>-5.556986/sqrt(log(x0 + x2 - 0.12158335)**4 + 1))
10,422.00815,"aq(-4.8467197, square(x1 + log(x0 + square(x2))))",0.025188598933334604,-4.8467197/sqrt((x1 + log(x0 + x2**2))**4 + 1),PySRFunction(X=>-4.8467197/sqrt((x1 + log(x0 + x2**2))**4 + 1))
11,417.07642,"aq(-5.674962, square(x1 + log((x0 + x2) + -0.18039949)))",0.011755160246359362,-5.674962/sqrt((x1 + log(x0 + x2 - 0.18039949))**4 + 1),PySRFunction(X=>-5.674962/sqrt((x1 + log(x0 + x2 - 0.18039949))**4 + 1))
12,405.4598,"aq(x2 * -10.982815, square(x1 + log(square(x2) + x0)))",0.028247734626352005,-10.982815*x2/sqrt((x1 + log(x0 + x2**2))**4 + 1),PySRFunction(X=>-10.982815*x2/sqrt((x1 + log(x0 + x2**2))**4 + 1))
13,400.25064,(square(x2) * -15.594026) + square(x1 + log(x0 + square(x2))),0.012930780896849053,-15.594026*x2**2 + (x1 + log(x0 + x2**2))**2,PySRFunction(X=>-15.594026*x2**2 + (x1 + log(x0 + x2**2))**2)
14,398.01672,(square(log(x0 + square(x2)) + x1) + 9.602396) + (x2 * -25.124203),0.00559693642387861,-25.124203*x2 + (x1 + log(x0 + x2**2))**2 + 9.602396,PySRFunction(X=>-25.124203*x2 + (x1 + log(x0 + x2**2))**2 + 9.602396)
15,394.79138,"(square(x2) * -15.594026) + square(x1 + aq(log(square(x0 + x2)), x0))",0.008136540971245708,-15.594026*x2**2 + (x1 + log((x0 + x2)**2)/sqrt(x0**2 + 1))**2,PySRFunction(X=>-15.594026*x2**2 + (x1 + log((x0 + x2)**2)/sqrt(x0**2 + 1))**2)
