# param=dtau0 z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/budget35_value/refit/z3.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
34,0.00073785183,0.002912339575658951,1.6921983827351593e-06,48,True,True
33,0.00074095157,0.003212239588310073,1.6981023109442823e-06,48,True,True
32,0.0007454686,0.0033799673800296026,1.7102716130258351e-06,48,True,True
29,0.00074585644,0.0039348354708027,1.7104102221826629e-06,48,True,True
28,0.00075724383,0.0031797950586460733,1.722118583510179e-06,48,True,True
27,0.0007788557,0.008550098609636791,1.7489727101617124e-06,48,True,True
25,0.00077892054,0.0085500900978433,1.7491693913502714e-06,48,True,True
23,0.0008114627,0.008554637321812664,1.8266660779522852e-06,48,True,True
21,0.00081648014,0.008775860159176141,1.8381045254809439e-06,48,True,True
19,0.0008325997,0.00855064037776837,1.8307622057984725e-06,48,True,True
18,0.00094628276,0.008334678448904953,2.156351093545247e-06,48,True,True
16,0.0009519372,0.008551366153082496,2.1522911165823916e-06,48,True,True
15,0.0010704917,0.008551323843322689,2.205391160926458e-06,48,True,True
14,0.0012398436,0.00855015218561872,2.8194932730901225e-06,48,True,True
13,0.0017939836,0.008568195204993523,2.8399004093209664e-06,48,True,True
12,0.001994729,0.007386265085379262,2.8706623053344813e-06,48,True,True
11,0.004317512,0.029586275443572674,8.764306607695963e-06,48,True,True
10,0.004601318,0.023683062388065945,4.46098406040641e-06,48,True,True
9,0.019113036,0.06738476008825628,1.89997382178057e-05,48,True,True
8,0.030782362,0.024756991730146782,6.789018957169608e-05,48,True,True
7,0.04871476,0.08374642535983257,8.83351181217974e-05,48,True,True
5,0.08669644,0.04074507342142758,7.17593257046495e-05,48,True,True
4,0.51910144,0.5816453651596432,0.00042494339008520914,48,False,True
3,0.80418956,0.7095447227140398,0.000957512961490327,48,False,True
