# param=herei z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/budget35_value/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
35,0.005742818,0.07072069089670019,1.1866272493872506e-05,48,True,True
32,0.005892447,0.061429735995366275,1.166293688984991e-05,48,True,True
30,0.006003274,0.05642781774529071,1.1633475777868812e-05,48,True,True
29,0.006211789,0.09588733537263844,1.3045191062712273e-05,48,True,True
27,0.006352507,0.09088643714659528,1.3399122353350953e-05,48,True,True
26,0.00652244,0.08899313261429492,1.3474197094772242e-05,48,True,True
25,0.0066844258,0.08625822880164663,1.3768480082979797e-05,48,True,True
24,0.007160507,0.08975433572270064,1.5606222573711173e-05,48,True,True
22,0.007924263,0.09810259729067689,1.5775598351072158e-05,48,True,True
21,0.008705616,0.08833919787862698,1.750106603648139e-05,48,True,True
20,0.008766824,0.1491457564728047,1.5797260599037864e-05,48,True,True
18,0.008943956,0.14925496404510596,1.5635035103301723e-05,48,True,True
17,0.010686202,0.05301000710060655,1.757175944694067e-05,48,True,True
16,0.011145789,0.062372633656993526,1.8232083887701575e-05,48,True,True
15,0.012248451,0.05539326001411926,1.7093406101604087e-05,48,True,True
14,0.013009747,0.06174989711119788,1.9614496224228844e-05,48,True,True
12,0.014218052,0.06151954410668209,2.4359395460940025e-05,48,True,True
11,0.0267991,0.06042226192961292,3.97210165398252e-05,48,True,True
10,0.027574606,0.0599867993407498,6.010151176630442e-05,48,True,True
9,0.037964713,0.2593793794506293,6.852276618447895e-05,48,False,True
7,0.058822244,0.33056073864919067,8.151628801357104e-05,48,False,True
6,0.08224164,0.3186216549778327,0.00012576195424790078,48,False,True
5,0.115535684,0.4186809197858248,0.00015186337646951663,48,False,True
4,0.39267334,0.21671715669031993,0.00026671959261276393,48,True,True
3,0.6062867,0.5149572576236955,0.0006524968941583087,48,False,True
