# param=tau0 z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/budget35_value/refit/z3.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
35,4.8480208e-05,0.005526555585498583,2.973465952287686e-06,48,True,True
34,4.881802e-05,0.006721071751994934,3.020813978674484e-06,48,True,True
33,4.911855e-05,0.006224107215315022,3.0254893643518516e-06,48,True,True
32,4.9905764e-05,0.00599817190743096,3.038665358179554e-06,48,True,True
31,5.000897e-05,0.005987775350212554,3.0761328839211462e-06,48,True,True
30,5.0450963e-05,0.006309674161904755,3.0767106423245195e-06,48,True,True
28,5.046927e-05,0.0059881757617604725,3.0657415197894505e-06,48,True,True
26,5.1012765e-05,0.006592320838753107,3.110518731519308e-06,48,True,True
25,5.5385022e-05,0.006445792781363036,3.371022822338581e-06,48,True,True
24,5.6118635e-05,0.004635793683893663,3.383845905031435e-06,48,True,True
22,7.722876e-05,0.0065675161461727916,4.1613203868760975e-06,48,True,True
21,9.179227e-05,0.0052120343349316145,4.754109145263958e-06,48,True,True
19,0.00011138794,0.005808200668873775,5.3764656562729174e-06,48,True,True
17,0.0001231076,0.006108293756575844,6.155843902081483e-06,48,True,True
16,0.00016418449,0.006187361510755107,7.68992161946042e-06,48,True,True
15,0.00027738218,0.006165217229548159,1.0410674278054971e-05,48,True,True
14,0.000489266,0.02950103151601685,1.834251392684655e-05,48,True,True
13,0.0006070985,0.029494158283524974,2.1050945918288217e-05,48,True,True
12,0.0012424376,0.005250181841788604,7.829259736648802e-05,48,True,True
11,0.0013109408,0.005095319682081434,8.100549284836965e-05,48,True,True
10,0.0020833416,0.04122713534449812,0.00011938324574257494,48,True,True
9,0.0043850653,0.08668763533069257,0.00022920231482288805,48,True,True
8,0.0055764294,0.09423787185298821,0.0002310475451250411,48,True,True
7,0.008808339,0.021412947525331738,0.00034100116845958657,48,True,True
6,0.012072477,0.056205504682786456,0.0005101494954895188,48,True,True
5,0.014097689,0.08505694871199898,0.0005308066459788892,48,True,True
4,0.28200287,0.37190132540633214,0.010001936051617475,48,False,True
3,0.5178297,0.6817947906083224,0.018235268368198998,48,False,True
2,0.721443,0.5672409152273322,0.02822782135202664,48,False,True
1,0.87462705,0.6817947906083224,0.03462998846246365,48,False,True
