Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.8447642,-0.50308967,0.0,-0.503089670000000,PySRFunction(X=>-0.503089670000000)
3,1.3571283,x0 + -1.0031214,0.15349027063441864,x0 - 1.0031214,PySRFunction(X=>x0 - 1.0031214)
4,1.0249573,log(x0 + 0.08123151),0.28071996999181986,log(x0 + 0.08123151),PySRFunction(X=>log(x0 + 0.08123151))
5,0.69417584,(x0 - x2) * 3.2039337,0.38968093199665577,(x0 - x2)*3.2039337,PySRFunction(X=>(x0 - x2)*3.2039337)
7,0.58535486,((x0 - x2) * 3.0200472) - x1,0.08525351927772351,-x1 + (x0 - x2)*3.0200472,PySRFunction(X=>-x1 + (x0 - x2)*3.0200472)
9,0.5515311,"log(square(aq(1.0000591, x1) - (x2 - x0)))",0.029760016426680278,log((x0 - x2 + 1.0000591/sqrt(x1**2 + 1))**2),PySRFunction(X=>log((x0 - x2 + 1.0000591/sqrt(x1**2 + 1))**2))
10,0.5427366,"log(aq(1.0515934 - (x2 - x0), x1)) * 2.554844",0.016074109392469886,2.554844*log((x0 - x2 + 1.0515934)/sqrt(x1**2 + 1)),PySRFunction(X=>2.554844*log((x0 - x2 + 1.0515934)/sqrt(x1**2 + 1)))
11,0.5003651,"aq(log(square(aq(x0 - -0.99715626, x1) - x2)), x1)",0.08128608741436946,log((-x2 + (x0 + 0.99715626)/sqrt(x1**2 + 1))**2)/sqrt(x1**2 + 1),PySRFunction(X=>log((-x2 + (x0 + 0.99715626)/sqrt(x1**2 + 1))**2)/sqrt(x1**2 + 1))
12,0.4811945,"aq(log(square(aq(x0 - -0.9977888, x1) - x2)), square(x1))",0.039066477679611994,log((-x2 + (x0 + 0.9977888)/sqrt(x1**2 + 1))**2)/sqrt(x1**4 + 1),PySRFunction(X=>log((-x2 + (x0 + 0.9977888)/sqrt(x1**2 + 1))**2)/sqrt(x1**4 + 1))
13,0.44872335,"log(square(aq(x2, square(square(x1))) - aq(x0 - -0.99775314, x1)))",0.06986500342389729,log((x2/sqrt(x1**8 + 1) - (x0 + 0.99775314)/sqrt(x1**2 + 1))**2),PySRFunction(X=>log((x2/sqrt(x1**8 + 1) - (x0 + 0.99775314)/sqrt(x1**2 + 1))**2))
14,0.4093658,"log(square(aq(x2, square(square(square(x1)))) - aq(x0 - -1.004661, x1)))",0.09179741799782473,log((x2/sqrt(x1**16 + 1) - (x0 + 1.004661)/sqrt(x1**2 + 1))**2),PySRFunction(X=>log((x2/sqrt(x1**16 + 1) - (x0 + 1.004661)/sqrt(x1**2 + 1))**2))
15,0.37789184,"log(square(aq(x0 - -0.98863757, x1) - (x2 - square(square(square(square(x1)))))))",0.08000111574625976,log((x1**16 - x2 + (x0 + 0.98863757)/sqrt(x1**2 + 1))**2),PySRFunction(X=>log((x1**16 - x2 + (x0 + 0.98863757)/sqrt(x1**2 + 1))**2))
16,0.3612197,"aq(log(square(aq(x0 - -0.99835074, x1) - x2)), square(square(square(x1) * 1.3778932)))",0.045121656631910805,log((-x2 + (x0 + 0.99835074)/sqrt(x1**2 + 1))**2)/sqrt(12.9934492638055*x1**16 + 1),PySRFunction(X=>log((-x2 + (x0 + 0.99835074)/sqrt(x1**2 + 1))**2)/sqrt(12.9934492638055*x1**16 + 1))
