Complexity,Loss,Equation,score,sympy_format,lambda_format
1,25.033516,-4.6854296,0.0,-4.68542960000000,PySRFunction(X=>-4.68542960000000)
3,11.861689,x2 * -9.371191,0.37345088605781407,x2*(-9.371191),PySRFunction(X=>x2*(-9.371191))
4,5.663182,square(x2) * -13.780947,0.7393278698393845,x2**2*(-13.780947),PySRFunction(X=>x2**2*(-13.780947))
5,3.0804708,(x2 * -23.4271) - -9.370797,0.6089034826108832,x2*(-23.4271) - 1*(-9.370797),PySRFunction(X=>x2*(-23.4271) - 1*(-9.370797))
7,1.7788242,"(x2 * aq(-24.5887, x1)) - -9.322181",0.2745649291038527,x2*(-24.5887/sqrt(x1**2 + 1)) - 1*(-9.322181),PySRFunction(X=>x2*(-24.5887/sqrt(x1**2 + 1)) - 1*(-9.322181))
8,1.5093355,"square(aq(x2 + -0.40411386, x1)) * -66.29985",0.16428309649506287,((x2 - 0.40411386)**2/(x1**2 + 1))*(-66.29985),PySRFunction(X=>((x2 - 0.40411386)**2/(x1**2 + 1))*(-66.29985))
9,1.4036133,"aq((x2 * -26.936308) - -10.774377, x1 * 2.0586138)",0.07261964742799597,(x2*(-26.936308) - 1*(-10.774377))/sqrt(4.23789077755044*x1**2 + 1),PySRFunction(X=>(x2*(-26.936308) - 1*(-10.774377))/sqrt(4.23789077755044*x1**2 + 1))
11,1.3226273,"(2.5400143 - exp(square(aq(x2, x1) + x2))) - x0",0.02971485155468263,-x0 - exp((x2 + x2/sqrt(x1**2 + 1))**2) + 2.5400143,PySRFunction(X=>-x0 - exp((x2 + x2/sqrt(x1**2 + 1))**2) + 2.5400143)
12,1.3057969,"exp(1.1470139 - x0) - exp(square(x2 + aq(x2, x1)))",0.01280663146275696,exp(1.1470139 - x0) - exp((x2 + x2/sqrt(x1**2 + 1))**2),PySRFunction(X=>exp(1.1470139 - x0) - exp((x2 + x2/sqrt(x1**2 + 1))**2))
13,1.2620769,"exp(exp(0.045890864 - x0)) - exp(square(x2 + aq(x2, x1)))",0.03405480845766095,-exp((x2 + x2/sqrt(x1**2 + 1))**2) + exp(exp(0.045890864 - x0)),PySRFunction(X=>-exp((x2 + x2/sqrt(x1**2 + 1))**2) + exp(exp(0.045890864 - x0)))
14,1.2360449,"exp(exp(x0 * log(x2))) - exp(square(aq(x2, x1) + x2))",0.020842012049794047,-exp((x2 + x2/sqrt(x1**2 + 1))**2) + exp(exp(x0*log(x2))),PySRFunction(X=>-exp((x2 + x2/sqrt(x1**2 + 1))**2) + exp(exp(x0*log(x2))))
15,1.1767373,"exp(exp(x0 * log(square(x2)))) - exp(square(x2 + aq(x2, x1)))",0.049171076432456384,-exp((x2 + x2/sqrt(x1**2 + 1))**2) + exp(exp(x0*log(x2**2))),PySRFunction(X=>-exp((x2 + x2/sqrt(x1**2 + 1))**2) + exp(exp(x0*log(x2**2))))
16,1.1593105,"aq(exp(1.0659521 - x0) - exp(square(aq(x2, x1) + x2)), x0 * 0.5321247)",0.01492017696119372,(exp(1.0659521 - x0) - exp((x2 + x2/sqrt(x1**2 + 1))**2))/sqrt(0.28315669635009*x0**2 + 1),PySRFunction(X=>(exp(1.0659521 - x0) - exp((x2 + x2/sqrt(x1**2 + 1))**2))/sqrt(0.28315669635009*x0**2 + 1))
17,1.0752754,"aq(exp(square((x0 + x2) - 1.5813514)) - exp(square(x2 + aq(x2, x1))), -0.47561127)",0.07524861702678987,-0.903063454352986*exp((x2 + x2/sqrt(x1**2 + 1))**2) + 0.903063454352986*exp((x0 + x2 - 1*1.5813514)**2),PySRFunction(X=>-0.903063454352986*exp((x2 + x2/sqrt(x1**2 + 1))**2) + 0.903063454352986*exp((x0 + x2 - 1*1.5813514)**2))
18,1.0168499,"exp(square(square(x0 + (x2 - 1.5202674)))) - aq(exp(square(aq(x2, x1) + x2)), -0.48840407)",0.05586729959607542,-0.898556185556565*exp((x2 + x2/sqrt(x1**2 + 1))**2) + exp((x0 + x2 - 1*1.5202674)**4),PySRFunction(X=>-0.898556185556565*exp((x2 + x2/sqrt(x1**2 + 1))**2) + exp((x0 + x2 - 1*1.5202674)**4))
20,1.0026665,"exp(square(square((x0 + x2) - 1.5219051))) - aq(exp(square(aq(x2, x1 - -0.05605365) + x2)), -0.4321082)",0.007023282011977553,-0.917965432125917*exp((x2 + x2/sqrt((x1 - 1*(-0.05605365))**2 + 1))**2) + exp((x0 + x2 - 1*1.5219051)**4),PySRFunction(X=>-0.917965432125917*exp((x2 + x2/sqrt((x1 - 1*(-0.05605365))**2 + 1))**2) + exp((x0 + x2 - 1*1.5219051)**4))
22,0.99953866,"exp(square(square((x0 + x2) - 1.4996653)) + 0.10392216) - aq(exp(square(x2 + aq(x2, -0.0560693 - x1))), -0.40145773)",0.0015621988230521903,-0.928009480130271*exp((x2 + x2/sqrt((-x1 - 0.0560693)**2 + 1))**2) + exp((x0 + x2 - 1*1.4996653)**4 + 0.10392216),PySRFunction(X=>-0.928009480130271*exp((x2 + x2/sqrt((-x1 - 0.0560693)**2 + 1))**2) + exp((x0 + x2 - 1*1.4996653)**4 + 0.10392216))
24,0.9841559,"aq(square(square(x0) - x1) - exp(square(x2 + aq(x2, x1))), -0.44859865) + exp(square(square((x0 + x2) - 1.5139052)))",0.007754756534993938,(0.912399360041662*(x0**2 - x1)**2 - 0.912399360041662*exp((x2 + x2/sqrt(x1**2 + 1))**2)) + exp((x0 + x2 - 1*1.5139052)**4),PySRFunction(X=>(0.912399360041662*(x0**2 - x1)**2 - 0.912399360041662*exp((x2 + x2/sqrt(x1**2 + 1))**2)) + exp((x0 + x2 - 1*1.5139052)**4))
25,0.98333406,"exp(square(square((x2 + x0) - 1.5166564))) - (aq(exp(square(x2 + aq(x2, x1))), -0.4677983) - square(square(square(x0) - x1)))",0.0008354198135766701,-(-(x0**2 - x1)**4 + 0.905789948638976*exp((x2 + x2/sqrt(x1**2 + 1))**2)) + exp((x0 + x2 - 1*1.5166564)**4),PySRFunction(X=>-(-(x0**2 - x1)**4 + 0.905789948638976*exp((x2 + x2/sqrt(x1**2 + 1))**2)) + exp((x0 + x2 - 1*1.5166564)**4))
26,0.9700689,"exp(square(square((x0 + x2) - 1.5161754))) - (aq(exp(square(x2 + aq(x2, x1))), -0.48549628) - ((x2 - x0) * (x1 - x0)))",0.013581799745846952,-(-(-x0 + x1)*(-x0 + x2) + 0.899585217405*exp((x2 + x2/sqrt(x1**2 + 1))**2)) + exp((x0 + x2 - 1*1.5161754)**4),PySRFunction(X=>-(-(-x0 + x1)*(-x0 + x2) + 0.899585217405*exp((x2 + x2/sqrt(x1**2 + 1))**2)) + exp((x0 + x2 - 1*1.5161754)**4))
27,0.96260804,"exp(square(square(x0 + (x2 - 1.5150809)))) - (aq(exp(square(aq(x2, x1) + x2)), 0.49821153) - ((x2 - square(x0)) * (x1 - x0)))",0.0077207906895850305,-(-(-x0 + x1)*(-x0**2 + x2) + 0.895066594090778*exp((x2 + x2/sqrt(x1**2 + 1))**2)) + exp((x0 + x2 - 1*1.5150809)**4),PySRFunction(X=>-(-(-x0 + x1)*(-x0**2 + x2) + 0.895066594090778*exp((x2 + x2/sqrt(x1**2 + 1))**2)) + exp((x0 + x2 - 1*1.5150809)**4))
