Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.3098843,-0.5177595,0.0,-0.517759500000000,PySRFunction(X=>-0.517759500000000)
3,0.80418956,x0 + -1.0179135,0.24392953957520935,x0 - 1.0179135,PySRFunction(X=>x0 - 1.0179135)
4,0.51910144,log(x0 + 0.092742726),0.43773569567228243,log(x0 + 0.092742726),PySRFunction(X=>log(x0 + 0.092742726))
5,0.08669644,(x0 - x2) * 3.3025908,1.789686495048184,(x0 - x2)*3.3025908,PySRFunction(X=>(x0 - x2)*3.3025908)
7,0.04871476,(x0 - (x2 - -0.06417307)) * 3.1545427,0.2882153787809704,(x0 - (x2 - 1*(-0.06417307)))*3.1545427,PySRFunction(X=>(x0 - (x2 - 1*(-0.06417307)))*3.1545427)
8,0.030782362,(x0 * 3.3576357) - exp(x2 * 1.2522722),0.4590402006430265,x0*3.3576357 - exp(x2*1.2522722),PySRFunction(X=>x0*3.3576357 - exp(x2*1.2522722))
9,0.019113036,"((aq(x2, x1) - -0.09161451) - x0) * -3.2108738",0.47657124827270914,(-x0 + x2/sqrt(x1**2 + 1) - 1*(-0.09161451))*(-3.2108738),PySRFunction(X=>(-x0 + x2/sqrt(x1**2 + 1) - 1*(-0.09161451))*(-3.2108738))
10,0.004601318,"(x0 * 3.3613331) - exp(x2 * aq(1.3170545, x1))",1.4240278311407886,x0*3.3613331 - exp(x2*(1.3170545/sqrt(x1**2 + 1))),PySRFunction(X=>x0*3.3613331 - exp(x2*(1.3170545/sqrt(x1**2 + 1))))
11,0.004317512,"((-0.47171345 - square(square(aq(x2, x1)))) + x0) * 3.3410091",0.06366347377361219,(x0 - x2**4/(x1**2 + 1)**2 - 0.47171345)*3.3410091,PySRFunction(X=>(x0 - x2**4/(x1**2 + 1)**2 - 0.47171345)*3.3410091)
12,0.001994729,"((x0 + -0.4575037) - square(0.17538294 - aq(x2, x1))) * 3.419897",0.7721711089052574,(x0 - (0.17538294 - x2/sqrt(x1**2 + 1))**2 - 0.4575037)*3.419897,PySRFunction(X=>(x0 - (0.17538294 - x2/sqrt(x1**2 + 1))**2 - 0.4575037)*3.419897)
13,0.0017939836,"(x0 * 3.4149776) + (-1.5083702 - square(square(-0.28878522 - aq(x2, x1))))",0.10606957950403018,x0*3.4149776 - (-x2/sqrt(x1**2 + 1) - 0.28878522)**4 - 1.5083702,PySRFunction(X=>x0*3.4149776 - (-x2/sqrt(x1**2 + 1) - 0.28878522)**4 - 1.5083702)
14,0.0012398436,"((x0 + -0.4930405) - square(square(-0.13420996 - aq(square(x2), x1)))) * 3.4152234",0.3694533793820131,(x0 - (-x2**2/sqrt(x1**2 + 1) - 0.13420996)**4 - 0.4930405)*3.4152234,PySRFunction(X=>(x0 - (-x2**2/sqrt(x1**2 + 1) - 0.13420996)**4 - 0.4930405)*3.4152234)
15,0.0010704917,"((x0 + -0.48264948) - square(square(aq(0.022551076 - x2, 0.08491827 - x1)))) * 3.4156914",0.1468671669984775,(x0 - (0.022551076 - x2)**4/((0.08491827 - x1)**2 + 1)**2 - 0.48264948)*3.4156914,PySRFunction(X=>(x0 - (0.022551076 - x2)**4/((0.08491827 - x1)**2 + 1)**2 - 0.48264948)*3.4156914)
16,0.0009519372,"((x0 + -0.49778476) - square(square(aq(square(-0.07710357 - x2), x1 - 0.07132131)))) * 3.4157083",0.11737428838447893,(x0 - (-x2 - 0.07710357)**8/((x1 - 1*0.07132131)**2 + 1)**2 - 0.49778476)*3.4157083,PySRFunction(X=>(x0 - (-x2 - 0.07710357)**8/((x1 - 1*0.07132131)**2 + 1)**2 - 0.49778476)*3.4157083)
18,0.00094628276,"(-0.49790645 + (x0 - square(square(aq(square(x2 - -0.07716222), x1 - aq(0.07792369, x0)))))) * 3.411525",0.002978820602350144,(x0 - (x2 - 1*(-0.07716222))**8/((x1 - 0.07792369/sqrt(x0**2 + 1))**2 + 1)**2 - 0.49790645)*3.411525,PySRFunction(X=>(x0 - (x2 - 1*(-0.07716222))**8/((x1 - 0.07792369/sqrt(x0**2 + 1))**2 + 1)**2 - 0.49790645)*3.411525)
19,0.0008325997,"3.4154184 * ((x0 - 0.47584847) - square(square((x1 * 0.14183635) - (-0.96985483 * aq(x2, x1 * -1.3316637)))))",0.12798845058050154,3.4154184*(x0 - (x1*0.14183635 - (-1)*0.96985483*x2/sqrt(1.77332820989769*x1**2 + 1))**4 - 1*0.47584847),PySRFunction(X=>3.4154184*(x0 - (x1*0.14183635 - (-1)*0.96985483*x2/sqrt(1.77332820989769*x1**2 + 1))**4 - 1*0.47584847))
21,0.00081648014,"(aq(aq(0.50289434, square(square(x2 * -1.5313504)) * (0.10697776 - x1)) - (0.33372653 - x2), -0.54237694) - x0) * -3.4142623",0.009775192830160146,(-x0 + (0.879030360517372*x2 - 0.293355751980112 + 0.442059392992346/sqrt(30.2410321921517*x2**8*(0.10697776 - x1)**2 + 1)))*(-3.4142623),PySRFunction(X=>(-x0 + (0.879030360517372*x2 - 0.293355751980112 + 0.442059392992346/sqrt(30.2410321921517*x2**8*(0.10697776 - x1)**2 + 1)))*(-3.4142623))
23,0.0008114627,"((aq(0.69294524, aq((0.10867243 - x1) * square(square(x2 * -1.4602162)), x1)) - (0.5447667 - aq(x2, -0.53909385))) - x0) * -3.4150243",0.00308208357443157,(-x0 - (0.5447667 - 0.880238658231498*x2) + 0.69294524/sqrt(20.669848735382*x2**8*(0.10867243 - x1)**2/(x1**2 + 1) + 1))*(-3.4150243),PySRFunction(X=>(-x0 - (0.5447667 - 0.880238658231498*x2) + 0.69294524/sqrt(20.669848735382*x2**8*(0.10867243 - x1)**2/(x1**2 + 1) + 1))*(-3.4150243))
25,0.00077892054,"((aq(0.6350499, square(square(x2 * -1.7690612)) * (aq(x1, x1 - -1.4205539) - 0.058087077)) - aq(0.55256915 - x2, 0.53023666)) - x0) * -3.4151986",0.020464691766904533,(-x0 - (0.48818731311382 - 0.8834863710973*x2) + 0.6350499/sqrt(95.9274410379449*x2**8*(x1/sqrt((x1 - 1*(-1.4205539))**2 + 1) - 1*0.058087077)**2 + 1))*(-3.4151986),PySRFunction(X=>(-x0 - (0.48818731311382 - 0.8834863710973*x2) + 0.6350499/sqrt(95.9274410379449*x2**8*(x1/sqrt((x1 - 1*(-1.4205539))**2 + 1) - 1*0.058087077)**2 + 1))*(-3.4151986))
27,0.0007788557,"((aq(0.63515645, (0.058127675 - aq(x1, -1.4205502 - x1)) * square(square(x2 * -1.7690216))) - aq(0.5524682 - aq(x2, 0.028545454), 0.53022885)) - x0) * -3.415202",4.162343626288153e-05,(-x0 - (0.48809970287234 - 0.883129494189147*x2) + 0.63515645/sqrt(95.9102638863078*x2**8*(0.058127675 - x1/sqrt((-x1 - 1.4205502)**2 + 1))**2 + 1))*(-3.415202),PySRFunction(X=>(-x0 - (0.48809970287234 - 0.883129494189147*x2) + 0.63515645/sqrt(95.9102638863078*x2**8*(0.058127675 - x1/sqrt((-x1 - 1.4205502)**2 + 1))**2 + 1))*(-3.415202))
28,0.00075724383,"((aq(0.6321822, aq(0.10620175 - x1, -1.4258822 - x1) * square(square(x2 * -1.7495625))) - aq(0.5489787 - x2, exp(aq(-0.73314166, x0)))) - x0) * -3.4074168",0.028140489257658902,(-x0 - (0.5489787 - x2)/sqrt(1 + exp(-1.46628332/sqrt(x0**2 + 1))) + 0.6321822/sqrt(87.7881085412464*x2**8*(0.10620175 - x1)**2/((-x1 - 1.4258822)**2 + 1) + 1))*(-3.4074168),PySRFunction(X=>(-x0 - (0.5489787 - x2)/sqrt(1 + exp(-1.46628332/sqrt(x0**2 + 1))) + 0.6321822/sqrt(87.7881085412464*x2**8*(0.10620175 - x1)**2/((-x1 - 1.4258822)**2 + 1) + 1))*(-3.4074168))
29,0.00074585644,"((aq(0.6287676, aq((x1 - 0.10605876) * square(square(x2 * -1.7506905)), x1 - -1.4231783)) - aq(0.54523367 - x2, aq(0.6765332, aq(-0.91297626, x0)))) - x0) * -3.4102564",0.015152159963967899,(-x0 - (0.54523367 - x2)/sqrt(1 + 0.45769717070224/(1 + 0.833525651323588/(x0**2 + 1))) + 0.6287676/sqrt(88.2419304814828*x2**8*(x1 - 1*0.10605876)**2/((x1 - 1*(-1.4231783))**2 + 1) + 1))*(-3.4102564),PySRFunction(X=>(-x0 - (0.54523367 - x2)/sqrt(1 + 0.45769717070224/(1 + 0.833525651323588/(x0**2 + 1))) + 0.6287676/sqrt(88.2419304814828*x2**8*(x1 - 1*0.10605876)**2/((x1 - 1*(-1.4231783))**2 + 1) + 1))*(-3.4102564))
32,0.0007454686,"((aq(0.6307192, aq((x1 - 0.106260456) * square(square(x2 * -1.7514299)), x1 - -1.4290191)) - aq(0.5497931 - x2, aq(0.59593725, aq(aq(x2, x0), square(x0))))) - x0) * -3.4042118",0.00017337602393446296,(-x0 - (0.5497931 - x2)/sqrt(1 + 0.355141205937562/(x2**2/((x0**2 + 1)*(x0**4 + 1)) + 1)) + 0.6307192/sqrt(88.5405217528133*x2**8*(x1 - 1*0.106260456)**2/((x1 - 1*(-1.4290191))**2 + 1) + 1))*(-3.4042118),PySRFunction(X=>(-x0 - (0.5497931 - x2)/sqrt(1 + 0.355141205937562/(x2**2/((x0**2 + 1)*(x0**4 + 1)) + 1)) + 0.6307192/sqrt(88.5405217528133*x2**8*(x1 - 1*0.106260456)**2/((x1 - 1*(-1.4290191))**2 + 1) + 1))*(-3.4042118))
33,0.00074095157,"((aq(0.6261418, (x1 - 0.10475235) * aq(square(square(x2 * -1.7525375)), -1.4266595 - x1)) - aq(0.54459834 - x2, aq(0.59654355, aq(aq(x2, x0), x0 - x1)))) - x0) * -3.4057136",0.006077748399429517,(-x0 - (0.54459834 - x2)/sqrt(1 + 0.355864207046603/(x2**2/((x0**2 + 1)*((x0 - x1)**2 + 1)) + 1)) + 0.6261418/sqrt(88.9894569611343*x2**8*(x1 - 1*0.10475235)**2/((-x1 - 1.4266595)**2 + 1) + 1))*(-3.4057136),PySRFunction(X=>(-x0 - (0.54459834 - x2)/sqrt(1 + 0.355864207046603/(x2**2/((x0**2 + 1)*((x0 - x1)**2 + 1)) + 1)) + 0.6261418/sqrt(88.9894569611343*x2**8*(x1 - 1*0.10475235)**2/((-x1 - 1.4266595)**2 + 1) + 1))*(-3.4057136))
34,0.00073785183,"((aq(0.6129356, aq(square(square(x2 * -1.763208)) * (0.10642389 - x1), x1 - -1.4252672)) - aq(0.5292311 - x2, aq(0.5933428, aq(aq(x2, x0), x0 - square(x1))))) - x0) * -3.40407",0.004192233450071913,(-x0 - (0.5292311 - x2)/sqrt(1 + 0.35205567831184/(x2**2/((x0**2 + 1)*((x0 - x1**2)**2 + 1)) + 1)) + 0.6129356/sqrt(93.4175302223414*x2**8*(0.10642389 - x1)**2/((x1 - 1*(-1.4252672))**2 + 1) + 1))*(-3.40407),PySRFunction(X=>(-x0 - (0.5292311 - x2)/sqrt(1 + 0.35205567831184/(x2**2/((x0**2 + 1)*((x0 - x1**2)**2 + 1)) + 1)) + 0.6129356/sqrt(93.4175302223414*x2**8*(0.10642389 - x1)**2/((x1 - 1*(-1.4252672))**2 + 1) + 1))*(-3.40407))
