Complexity,Loss,Equation,score,sympy_format,lambda_format
1,19.380564,-3.803437,0.0,-3.80343700000000,PySRFunction(X=>-3.80343700000000)
3,10.6995125,x2 * -7.607491,0.2970362642620341,x2*(-7.607491),PySRFunction(X=>x2*(-7.607491))
4,5.7584124,log(0.80125475 - x2),0.6195363679660261,log(0.80125475 - x2),PySRFunction(X=>log(0.80125475 - x2))
5,4.912144,(x2 * -19.01856) + 7.6073933,0.15895130534019958,7.6073933 + x2*(-19.01856),PySRFunction(X=>7.6073933 + x2*(-19.01856))
6,4.2275977,"square(aq(x2, x0)) * -14.557267",0.15007659426704384,(x2**2/(x0**2 + 1))*(-14.557267),PySRFunction(X=>(x2**2/(x0**2 + 1))*(-14.557267))
7,2.4100072,"(x2 * aq(-22.154871, x0)) + 7.9047413",0.562004177059037,x2*(-22.154871/sqrt(x0**2 + 1)) + 7.9047413,PySRFunction(X=>x2*(-22.154871/sqrt(x0**2 + 1)) + 7.9047413)
8,2.2423701,"(square(aq(x2, x0)) * -20.381413) + 2.593319",0.07209634819835854,2.593319 + (x2**2/(x0**2 + 1))*(-20.381413),PySRFunction(X=>2.593319 + (x2**2/(x0**2 + 1))*(-20.381413))
9,2.00687,"aq(8.36221 + aq(x2 * -23.420475, x0), x1)",0.1109570924287616,(-23.420475*x2/sqrt(x0**2 + 1) + 8.36221)/sqrt(x1**2 + 1),PySRFunction(X=>(-23.420475*x2/sqrt(x0**2 + 1) + 8.36221)/sqrt(x1**2 + 1))
10,1.7170042,"(aq(aq(x2, x0), square(x1)) * -22.796402) + 7.9151483",0.15599526638353553,7.9151483 + (x2/(sqrt(x0**2 + 1)*sqrt(x1**4 + 1)))*(-22.796402),PySRFunction(X=>7.9151483 + (x2/(sqrt(x0**2 + 1)*sqrt(x1**4 + 1)))*(-22.796402))
11,1.4216117,"(square(aq(aq(x2, x0), square(x1))) * -21.45088) + 2.5940716",0.18878980005167917,2.5940716 + (x2**2/((x0**2 + 1)*(x1**4 + 1)))*(-21.45088),PySRFunction(X=>2.5940716 + (x2**2/((x0**2 + 1)*(x1**4 + 1)))*(-21.45088))
12,1.2904692,"(square(aq(aq(x2, x0), square(square(x1)))) * -21.22391) + 2.672494",0.09678535481424272,2.672494 + (x2**2/((x0**2 + 1)*(x1**8 + 1)))*(-21.22391),PySRFunction(X=>2.672494 + (x2**2/((x0**2 + 1)*(x1**8 + 1)))*(-21.22391))
