Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.0033851,-0.5203714,0.0,-0.520371400000000,PySRFunction(X=>-0.520371400000000)
3,0.6062867,x0 + -1.0203426,0.2518908429631524,x0 - 1.0203426,PySRFunction(X=>x0 - 1.0203426)
4,0.39267334,log(x0 + 0.11215936),0.43437490619630054,log(x0 + 0.11215936),PySRFunction(X=>log(x0 + 0.11215936))
5,0.115535684,(x0 - x2) * 2.9108481,1.2233986356787905,(x0 - x2)*2.9108481,PySRFunction(X=>(x0 - x2)*2.9108481)
6,0.08224164,(x0 * 2.7055466) - exp(x2),0.33991769148457696,x0*2.7055466 - exp(x2),PySRFunction(X=>x0*2.7055466 - exp(x2))
7,0.058822244,((x0 - x2) * 2.7300432) + -0.24736,0.33514166045510196,(x0 - x2)*2.7300432 - 0.24736,PySRFunction(X=>(x0 - x2)*2.7300432 - 0.24736)
9,0.037964713,"aq(((x0 - x2) + -0.10114743) * 3.3091261, x2)",0.21893147982245137,3.3091261*(x0 - x2 - 0.10114743)/sqrt(x2**2 + 1),PySRFunction(X=>3.3091261*(x0 - x2 - 0.10114743)/sqrt(x2**2 + 1))
10,0.027574606,square(x2 - 2.251673) * (x0 - (x2 * 1.2453637)),0.3197618463093962,(x0 - 1.2453637*x2)*(x2 - 1*2.251673)**2,PySRFunction(X=>(x0 - 1.2453637*x2)*(x2 - 1*2.251673)**2)
11,0.0267991,"(x2 - aq(x0, x0)) * aq(-5.5138407, x2 + x2)",0.028526971869495907,(-x0/sqrt(x0**2 + 1) + x2)*(-5.5138407/sqrt((x2 + x2)**2 + 1)),PySRFunction(X=>(-x0/sqrt(x0**2 + 1) + x2)*(-5.5138407/sqrt((x2 + x2)**2 + 1)))
12,0.014218052,"aq(x0 * 5.0327325, x2 * exp(x0)) + (-1.578452 - x2)",0.6338558800269929,5.0327325*x0/sqrt(x2**2*exp(2*x0) + 1) - x2 - 1.578452,PySRFunction(X=>5.0327325*x0/sqrt(x2**2*exp(2*x0) + 1) - x2 - 1.578452)
14,0.013009747,"(aq(x0 * 5.051577, x2 * exp(x0)) + -1.6149905) - aq(x2, x1)",0.04440678954030117,5.051577*x0/sqrt(x2**2*exp(2*x0) + 1) - x2/sqrt(x1**2 + 1) - 1.6149905,PySRFunction(X=>5.051577*x0/sqrt(x2**2*exp(2*x0) + 1) - x2/sqrt(x1**2 + 1) - 1.6149905)
15,0.012248451,"aq(aq(x0 * 5.176783, exp(x0) * x2) + (-1.6399206 - x2), square(x1))",0.060299365739974624,(5.176783*x0/sqrt(x2**2*exp(2*x0) + 1) - x2 - 1.6399206)/sqrt(x1**4 + 1),PySRFunction(X=>(5.176783*x0/sqrt(x2**2*exp(2*x0) + 1) - x2 - 1.6399206)/sqrt(x1**4 + 1))
16,0.011145789,"aq((x0 * aq(5.148066, x2 * exp(x0))) + (-1.6349791 - x2), x2 * x1)",0.09433772160568642,(x0*(5.148066/sqrt(x2**2*exp(2*x0) + 1)) - x2 - 1.6349791)/sqrt(x1**2*x2**2 + 1),PySRFunction(X=>(x0*(5.148066/sqrt(x2**2*exp(2*x0) + 1)) - x2 - 1.6349791)/sqrt(x1**2*x2**2 + 1))
