Complexity,Loss,Equation,score,sympy_format,lambda_format
1,15.76141,-3.373944,0.0,-3.37394400000000,PySRFunction(X=>-3.37394400000000)
3,8.932042,x2 * -6.7474217,0.2839597556358309,x2*(-6.7474217),PySRFunction(X=>x2*(-6.7474217))
4,5.7182217,square(x2) * -9.922963,0.44598717071471317,x2**2*(-9.922963),PySRFunction(X=>x2**2*(-9.922963))
5,4.37913,(x2 * -16.86926) + 6.7478256,0.2668077909247101,6.7478256 + x2*(-16.86926),PySRFunction(X=>6.7478256 + x2*(-16.86926))
7,3.5198417,"(x2 * -17.201586) + aq(7.9125695, x0)",0.10921702875697287,x2*(-17.201586) + 7.9125695/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-17.201586) + 7.9125695/sqrt(x0**2 + 1))
8,3.4757512,"(x2 * -16.004307) + aq(11.835237, exp(x0))",0.012605388691161595,x2*(-16.004307) + 11.835237/sqrt(exp(2*x0) + 1),PySRFunction(X=>x2*(-16.004307) + 11.835237/sqrt(exp(2*x0) + 1))
9,3.3153508,"aq(aq(8.3403635, x0) + (x2 * -18.133572), x1)",0.04724718825649588,(x2*(-18.133572) + 8.3403635/sqrt(x0**2 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>(x2*(-18.133572) + 8.3403635/sqrt(x0**2 + 1))/sqrt(x1**2 + 1))
10,3.1954134,"aq(7.83428, x0) + (aq(x2, square(x1)) * -17.564358)",0.036846970929448705,(x2/sqrt(x1**4 + 1))*(-17.564358) + 7.83428/sqrt(x0**2 + 1),PySRFunction(X=>(x2/sqrt(x1**4 + 1))*(-17.564358) + 7.83428/sqrt(x0**2 + 1))
11,2.2832026,"aq((x2 * -26.61285) + 10.650803, (x1 * 6.075481) + -1.6940718)",0.3361373626383236,(10.650803 + x2*(-26.61285))/sqrt((x1*6.075481 - 1.6940718)**2 + 1),PySRFunction(X=>(10.650803 + x2*(-26.61285))/sqrt((x1*6.075481 - 1.6940718)**2 + 1))
12,1.7541777,"aq((x2 * -24.808666) + 9.923424, log((x1 * 5.4248505) + 0.024012854))",0.2635789063855817,(9.923424 - 24.808666*x2)/sqrt(log(5.4248505*x1 + 0.024012854)**2 + 1),PySRFunction(X=>(9.923424 - 24.808666*x2)/sqrt(log(5.4248505*x1 + 0.024012854)**2 + 1))
