Complexity,Loss,Equation,score,sympy_format,lambda_format
1,46.216045,-5.1147113,0.0,-5.11471130000000,PySRFunction(X=>-5.11471130000000)
3,30.520834,x2 * -10.22971,0.20745874989048815,x2*(-10.22971),PySRFunction(X=>x2*(-10.22971))
4,20.565737,log(0.800055 - x2),0.39478309375790854,log(0.800055 - x2),PySRFunction(X=>log(0.800055 - x2))
5,20.057358,(x2 * -25.572292) + 10.228858,0.025030369653775923,10.228858 + x2*(-25.572292),PySRFunction(X=>10.228858 + x2*(-25.572292))
6,19.085878,"aq(log(0.80001724 - x2), x1)",0.04964737911984156,log(0.80001724 - x2)/sqrt(x1**2 + 1),PySRFunction(X=>log(0.80001724 - x2)/sqrt(x1**2 + 1))
7,18.281406,"square(square(aq(x2, x1))) * -29.11261",0.04306421212569936,(x2**4/(x1**2 + 1)**2)*(-29.11261),PySRFunction(X=>(x2**4/(x1**2 + 1)**2)*(-29.11261))
8,17.220526,3.6412563 - exp((3.5058148 - x1) * x2),0.059782433319098355,3.6412563 - exp(x2*(3.5058148 - x1)),PySRFunction(X=>3.6412563 - exp(x2*(3.5058148 - x1)))
10,17.079245,"3.7773368 - exp(x2 * (3.5034046 - aq(x1, x1)))",0.00411903038680972,3.7773368 - exp(x2*(3.5034046 - x1/sqrt(x1**2 + 1))),PySRFunction(X=>3.7773368 - exp(x2*(3.5034046 - x1/sqrt(x1**2 + 1))))
11,12.349756,"log(square(aq(-6.1483874, x2) + (4.8015995 - aq(x1, 13.177682))))",0.3242276778425447,log((-0.0756683188319065*x1 + 4.8015995 - 6.1483874/sqrt(x2**2 + 1))**2),PySRFunction(X=>log((-0.0756683188319065*x1 + 4.8015995 - 6.1483874/sqrt(x2**2 + 1))**2))
13,12.245353,"log(square(aq(x1 + -5.666199, x2) + aq(4.4193687, x1))) * 1.3227372",0.004244893856041697,1.3227372*log(((x1 - 5.666199)/sqrt(x2**2 + 1) + 4.4193687/sqrt(x1**2 + 1))**2),PySRFunction(X=>1.3227372*log(((x1 - 5.666199)/sqrt(x2**2 + 1) + 4.4193687/sqrt(x1**2 + 1))**2))
14,11.740794,"aq(log(square(square(aq(x1 + -5.692197, x2) + aq(4.4395924, x1)))), 0.95111334)",0.04207707394144364,0.724596478510927*log(((x1 - 5.692197)/sqrt(x2**2 + 1) + 4.4395924/sqrt(x1**2 + 1))**4),PySRFunction(X=>0.724596478510927*log(((x1 - 5.692197)/sqrt(x2**2 + 1) + 4.4395924/sqrt(x1**2 + 1))**4))
15,11.726236,"(x2 + 0.669999) * log(square(aq(x1 + -5.666243, x2) + aq(4.4193263, x1)))",0.0012407195855231694,(x2 + 0.669999)*log(((x1 - 5.666243)/sqrt(x2**2 + 1) + 4.4193263/sqrt(x1**2 + 1))**2),PySRFunction(X=>(x2 + 0.669999)*log(((x1 - 5.666243)/sqrt(x2**2 + 1) + 4.4193263/sqrt(x1**2 + 1))**2))
16,11.586941,"aq(log(square(square(aq(4.4395943, x1) + aq(x1 + -5.6921926, x2)))), -0.979238) - x1",0.011950036466131736,-x1 + 0.714484948369875*log(((x1 - 5.6921926)/sqrt(x2**2 + 1) + 4.4395943/sqrt(x1**2 + 1))**4),PySRFunction(X=>-x1 + 0.714484948369875*log(((x1 - 5.6921926)/sqrt(x2**2 + 1) + 4.4395943/sqrt(x1**2 + 1))**4))
17,11.470262,"aq(log(square(square(aq(x1 + -5.692194, x2) + aq(4.439594, x1)))), square(x1) + -0.979238)",0.010120915011174205,log(((x1 - 5.692194)/sqrt(x2**2 + 1) + 4.439594/sqrt(x1**2 + 1))**4)/sqrt((x1**2 - 0.979238)**2 + 1),PySRFunction(X=>log(((x1 - 5.692194)/sqrt(x2**2 + 1) + 4.439594/sqrt(x1**2 + 1))**4)/sqrt((x1**2 - 0.979238)**2 + 1))
18,11.424725,"(aq(log(square(square(aq(4.4395895, x1) + aq(x1 + -5.6922073, x2)))), 0.8858521) - x1) - -0.5403561",0.0039779066087370875,-x1 + 0.748536975923127*log(((x1 - 5.6922073)/sqrt(x2**2 + 1) + 4.4395895/sqrt(x1**2 + 1))**4) + 0.5403561,PySRFunction(X=>-x1 + 0.748536975923127*log(((x1 - 5.6922073)/sqrt(x2**2 + 1) + 4.4395895/sqrt(x1**2 + 1))**4) + 0.5403561)
