Complexity,Loss,Equation,score,sympy_format,lambda_format
1,17.348276,-3.1729543,0.0,-3.17295430000000,PySRFunction(X=>-3.17295430000000)
3,11.307392,x2 * -6.346277,0.2140182321600496,x2*(-6.346277),PySRFunction(X=>x2*(-6.346277))
4,8.106413,log(0.8043677 - x2),0.3328011943195468,log(0.8043677 - x2),PySRFunction(X=>log(0.8043677 - x2))
5,7.280135,(x2 * -15.864629) + 6.3458138,0.10750607082915675,6.3458138 + x2*(-15.864629),PySRFunction(X=>6.3458138 + x2*(-15.864629))
7,6.3302073,"aq(x2 * -17.850952, x0) + 6.260851",0.06990821077884075,-17.850952*x2/sqrt(x0**2 + 1) + 6.260851,PySRFunction(X=>-17.850952*x2/sqrt(x0**2 + 1) + 6.260851)
9,6.19706,"aq(x2 * -17.885702, aq(x0, x1)) - -6.3730216",0.010628999198838402,-17.885702*x2/sqrt(x0**2/(x1**2 + 1) + 1) - 1*(-6.3730216),PySRFunction(X=>-17.885702*x2/sqrt(x0**2/(x1**2 + 1) + 1) - 1*(-6.3730216))
10,6.1676946,"(x2 * aq(-17.94389, aq(x0, square(x1)))) - -6.360828",0.0047498646208314925,x2*(-17.94389/sqrt(x0**2/(x1**4 + 1) + 1)) - 1*(-6.360828),PySRFunction(X=>x2*(-17.94389/sqrt(x0**2/(x1**4 + 1) + 1)) - 1*(-6.360828))
11,5.538329,"4.577535 - exp(exp(x2 - aq(-0.23366714, x1 * -86.88016)))",0.10763229070388887,4.577535 - exp(exp(x2 - (-1)*0.23366714/sqrt(7548.1622016256*x1**2 + 1))),PySRFunction(X=>4.577535 - exp(exp(x2 - (-1)*0.23366714/sqrt(7548.1622016256*x1**2 + 1))))
13,3.7179394,"4.4095817 - exp(exp(x2 - aq(-0.37922153, (x1 * -466.2841) + 2.7825499)))",0.19926162031586592,4.4095817 - exp(exp(x2 - (-1)*0.37922153/sqrt((2.7825499 + x1*(-466.2841))**2 + 1))),PySRFunction(X=>4.4095817 - exp(exp(x2 - (-1)*0.37922153/sqrt((2.7825499 + x1*(-466.2841))**2 + 1))))
14,3.3666806,"3.0408823 - exp(x2 * (2.638755 - aq(-1.4434706, (x1 * -566.20844) + 3.3355322)))",0.09924231629648951,3.0408823 - exp(x2*(2.638755 - (-1)*1.4434706/sqrt((3.3355322 + x1*(-566.20844))**2 + 1))),PySRFunction(X=>3.0408823 - exp(x2*(2.638755 - (-1)*1.4434706/sqrt((3.3355322 + x1*(-566.20844))**2 + 1))))
15,2.9348645,"3.6434426 - aq(exp(exp(x2 - aq(-0.40048838, (x1 * -399.86194) - -2.4583933))), x0)",0.13726598852066427,3.6434426 - exp(exp(x2 - (-1)*0.40048838/sqrt((x1*(-399.86194) - 1*(-2.4583933))**2 + 1)))/sqrt(x0**2 + 1),PySRFunction(X=>3.6434426 - exp(exp(x2 - (-1)*0.40048838/sqrt((x1*(-399.86194) - 1*(-2.4583933))**2 + 1)))/sqrt(x0**2 + 1))
16,2.37163,"2.859353 - aq(exp((2.7726715 - aq(-1.4731122, (x1 * -566.20844) + 3.3559797)) * x2), x0)",0.21308380280469377,2.859353 - exp(x2*(2.7726715 - (-1)*1.4731122/sqrt((3.3559797 + x1*(-566.20844))**2 + 1)))/sqrt(x0**2 + 1),PySRFunction(X=>2.859353 - exp(x2*(2.7726715 - (-1)*1.4731122/sqrt((3.3559797 + x1*(-566.20844))**2 + 1)))/sqrt(x0**2 + 1))
18,1.8122243,"2.6896574 - aq(exp(x2 * ((x1 + 2.3645682) - aq(-1.713452, (x1 * -304.53287) + 1.9579134))), x0)",0.13451124831356498,2.6896574 - exp(x2*(x1 + 2.3645682 - (-1)*1.713452/sqrt((1.9579134 + x1*(-304.53287))**2 + 1)))/sqrt(x0**2 + 1),PySRFunction(X=>2.6896574 - exp(x2*(x1 + 2.3645682 - (-1)*1.713452/sqrt((1.9579134 + x1*(-304.53287))**2 + 1)))/sqrt(x0**2 + 1))
