Complexity,Loss,Equation,score,sympy_format,lambda_format
1,0.87462705,x0,0.0,x0,PySRFunction(X=>x0)
2,0.721443,square(x0),0.19254419391087413,x0**2,PySRFunction(X=>x0**2)
3,0.5178297,x0 + -0.5973642,0.33160694928826534,x0 - 0.5973642,PySRFunction(X=>x0 - 0.5973642)
4,0.28200287,exp(x0) + -1.8184836,0.6077291755345396,exp(x0) - 1.8184836,PySRFunction(X=>exp(x0) - 1.8184836)
5,0.014097689,(x0 + -0.52854097) * 3.4099283,2.995906364949576,(x0 - 0.52854097)*3.4099283,PySRFunction(X=>(x0 - 0.52854097)*3.4099283)
6,0.012072477,log(square(exp(x0) + -0.6428705)),0.15508264963431573,log((exp(x0) - 0.6428705)**2),PySRFunction(X=>log((exp(x0) - 0.6428705)**2))
7,0.008808339,(x0 * (4.009919 - x2)) - 1.8022844,0.31522934718923357,x0*(4.009919 - x2) - 1*1.8022844,PySRFunction(X=>x0*(4.009919 - x2) - 1*1.8022844)
8,0.0055764294,"log(aq(square(exp(x0) + -0.58698255), x2))",0.45715020731663103,log((exp(x0) - 0.58698255)**2/sqrt(x2**2 + 1)),PySRFunction(X=>log((exp(x0) - 0.58698255)**2/sqrt(x2**2 + 1)))
9,0.0043850653,"log(aq(square(exp(x0) + -0.5984478), square(x2)))",0.24034416171209821,log((exp(x0) - 0.5984478)**2/sqrt(x2**4 + 1)),PySRFunction(X=>log((exp(x0) - 0.5984478)**2/sqrt(x2**4 + 1)))
10,0.0020833416,"log(aq(square(exp(x0) + -0.5619083), x2)) * 1.0776637",0.7442313743171073,1.0776637*log((exp(x0) - 0.5619083)**2/sqrt(x2**2 + 1)),PySRFunction(X=>1.0776637*log((exp(x0) - 0.5619083)**2/sqrt(x2**2 + 1)))
11,0.0013109408,"log(aq(square(exp(x0) + aq(-0.5984478, square(x0))), x2))",0.4632280956795285,log((exp(x0) - 0.5984478/sqrt(x0**4 + 1))**2/sqrt(x2**2 + 1)),PySRFunction(X=>log((exp(x0) - 0.5984478/sqrt(x0**4 + 1))**2/sqrt(x2**2 + 1)))
12,0.0012424376,"(log(aq(x0 - -0.3923414, x2)) + (x0 * 2.2034228)) + -0.8635213",0.053669790993253655,2.2034228*x0 + log((x0 + 0.3923414)/sqrt(x2**2 + 1)) - 0.8635213,PySRFunction(X=>2.2034228*x0 + log((x0 + 0.3923414)/sqrt(x2**2 + 1)) - 0.8635213)
13,0.0006070985,"((4.409937 - x0) * x0) + (aq(1.4212594, aq(x2, x1)) - 3.1956203)",0.7161394840109889,x0*(4.409937 - x0) - 1*3.1956203 + 1.4212594/sqrt(x2**2/(x1**2 + 1) + 1),PySRFunction(X=>x0*(4.409937 - x0) - 1*3.1956203 + 1.4212594/sqrt(x2**2/(x1**2 + 1) + 1))
14,0.000489266,"(x0 * (4.4099154 - x0)) + (aq(1.5333825, square(aq(x2, x1))) - 3.3864083)",0.21578474251222768,x0*(4.4099154 - x0) - 1*3.3864083 + 1.5333825/sqrt(x2**4/(x1**2 + 1)**2 + 1),PySRFunction(X=>x0*(4.4099154 - x0) - 1*3.3864083 + 1.5333825/sqrt(x2**4/(x1**2 + 1)**2 + 1))
15,0.00027738218,"aq(((5.337151 - x0) * x0) + (aq(1.8098382, aq(x2, x1)) - 4.0224857), 0.7861795)",0.5675100424067087,0.786140636044633*x0*(5.337151 - x0) - 3.16223946667844 + 1.42278735368587/sqrt(x2**2/(x1**2 + 1) + 1),PySRFunction(X=>0.786140636044633*x0*(5.337151 - x0) - 3.16223946667844 + 1.42278735368587/sqrt(x2**2/(x1**2 + 1) + 1))
16,0.00016418449,"((aq(1.9059237, square(aq(x2, x1))) + (x0 * (5.320019 - x0))) - 4.2121096) * 0.7894056",0.524405531872941,(x0*(5.320019 - x0) - 1*4.2121096 + 1.9059237/sqrt(x2**4/(x1**2 + 1)**2 + 1))*0.7894056,PySRFunction(X=>(x0*(5.320019 - x0) - 1*4.2121096 + 1.9059237/sqrt(x2**4/(x1**2 + 1)**2 + 1))*0.7894056)
17,0.0001231076,"(x0 * 1.6768632) + (-1.1291368 + log(square(aq(-0.6993915 - x0, aq(x2, x1) + -0.2875747))))",0.2879319648701012,1.6768632*x0 + log((-x0 - 0.6993915)**2/((x2/sqrt(x1**2 + 1) - 0.2875747)**2 + 1)) - 1.1291368,PySRFunction(X=>1.6768632*x0 + log((-x0 - 0.6993915)**2/((x2/sqrt(x1**2 + 1) - 0.2875747)**2 + 1)) - 1.1291368)
19,0.00011138794,"aq(log(aq(x0 - -0.516903, square(aq(x2, x1) + 0.14008126))), x0) + ((x0 * 2.4391818) + -1.1356834)",0.05001985330186837,2.4391818*x0 - 1.1356834 + log((x0 + 0.516903)/sqrt((x2/sqrt(x1**2 + 1) + 0.14008126)**4 + 1))/sqrt(x0**2 + 1),PySRFunction(X=>2.4391818*x0 - 1.1356834 + log((x0 + 0.516903)/sqrt((x2/sqrt(x1**2 + 1) + 0.14008126)**4 + 1))/sqrt(x0**2 + 1))
21,9.179227e-05,"((x0 * 2.3346205) + -1.0320654) + aq(log(aq(x0 - -0.45824713, square(aq(x2, x1) + 0.12316642))), aq(x0, 0.9620794))",0.0967454869084924,2.3346205*x0 - 1.0320654 + log((x0 + 0.45824713)/sqrt((x2/sqrt(x1**2 + 1) + 0.12316642)**4 + 1))/sqrt(0.51931952451864*x0**2 + 1),PySRFunction(X=>2.3346205*x0 - 1.0320654 + log((x0 + 0.45824713)/sqrt((x2/sqrt(x1**2 + 1) + 0.12316642)**4 + 1))/sqrt(0.51931952451864*x0**2 + 1))
22,7.722876e-05,"aq(log(aq(x0 - -0.503344, square(square(aq(x2, 0.12477307 - x1)) + 0.28051174))), x0) + ((x0 * 2.4295347) + -1.1332897)",0.17275616277253142,2.4295347*x0 - 1.1332897 + log((x0 + 0.503344)/sqrt((x2**2/((0.12477307 - x1)**2 + 1) + 0.28051174)**4 + 1))/sqrt(x0**2 + 1),PySRFunction(X=>2.4295347*x0 - 1.1332897 + log((x0 + 0.503344)/sqrt((x2**2/((0.12477307 - x1)**2 + 1) + 0.28051174)**4 + 1))/sqrt(x0**2 + 1))
24,5.6118635e-05,"((x0 * 2.3551884) + -1.0675155) + aq(log(aq(x0 - -0.46778032, square(square(aq(x2, x1 - 0.12978503)) + 0.26477784))), aq(x0, -0.86510557))",0.15965199722827608,2.3551884*x0 - 1.0675155 + log((x0 + 0.46778032)/sqrt((x2**2/((x1 - 0.12978503)**2 + 1) + 0.26477784)**4 + 1))/sqrt(0.571948996891946*x0**2 + 1),PySRFunction(X=>2.3551884*x0 - 1.0675155 + log((x0 + 0.46778032)/sqrt((x2**2/((x1 - 0.12978503)**2 + 1) + 0.26477784)**4 + 1))/sqrt(0.571948996891946*x0**2 + 1))
