# param=ns z=4.2 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/budget35_value/refit/z4.2/pareto_ns.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
35,0.047662746,0.17873272163608878,3.5477583975900466e-05,48,True,True
34,0.050888997,0.3721536980122715,6.497445579512101e-05,48,False,True
33,0.057473876,0.4445580287668277,7.343968813207743e-05,48,False,True
32,0.06675978,0.3018907176625734,5.9811156684947074e-05,48,False,True
31,0.069189556,0.3074478653736844,5.9314998248357804e-05,48,False,True
30,0.07207742,0.32971209658741263,5.6753721085002205e-05,48,False,True
28,0.0772936,0.3621517657660391,6.562851070039494e-05,48,False,True
26,0.09614684,0.47469277252386266,8.906466093634412e-05,48,False,True
24,0.19926286,0.4594985550962856,0.0001212034735682603,48,False,True
22,0.24446645,0.5898591591965782,0.0002658439622859532,48,False,True
21,0.28977594,0.41023988793482663,0.0002450673548308219,48,False,True
20,0.29158503,0.4672780990502653,0.0002487479740414707,48,False,True
19,0.29560757,0.5508529602767186,0.00023476631585691947,48,False,True
17,0.30297518,0.6465596570927363,0.0002616026990131901,48,False,True
15,0.3345742,0.7365319663139889,0.00040834978993507006,48,False,True
14,0.4178061,0.5224920423951996,0.000316185587537385,48,False,True
13,0.45731622,0.39067684379481027,0.0009347782543130108,48,False,True
12,0.6309292,0.18915289033724825,0.0010073427300843004,48,True,True
11,0.87996185,0.7260125991161384,0.0009939463432693573,48,False,True
10,0.98537,0.6982448550081133,0.001260478748553822,48,False,True
9,1.0218995,0.8075888641993232,0.0011921422437461697,48,False,True
8,1.0332328,0.8426423590352764,0.001306961519750341,48,False,True
7,1.1551635,0.8920902179103934,0.001275313924448507,48,False,True
5,1.2391583,0.9296069894445949,0.0011487500766392308,48,False,True
