Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.5483513,-0.5492836,0.0,-0.549283600000000,PySRFunction(X=>-0.549283600000000)
3,1.3673407,x2 * -1.098512,0.06216146441106953,x2*(-1.098512),PySRFunction(X=>x2*(-1.098512))
4,1.2799367,1.3094281 - exp(x2),0.06605713499968356,1.3094281 - exp(x2),PySRFunction(X=>1.3094281 - exp(x2))
5,1.2391583,(x1 * x0) - x2,0.032378264771771276,x0*x1 - x2,PySRFunction(X=>x0*x1 - x2)
6,1.2195758,x1 - square(x2 * 1.4410826),0.01592926544814686,x1 - 2.07671906002276*x2**2,PySRFunction(X=>x1 - 2.07671906002276*x2**2)
7,1.1551635,((x1 * x0) - x2) * 1.5329616,0.05426120096689693,(x0*x1 - x2)*1.5329616,PySRFunction(X=>(x0*x1 - x2)*1.5329616)
8,1.0332328,((x1 * x0) - square(x2)) * 2.2354157,0.11154936462946485,(x0*x1 - x2**2)*2.2354157,PySRFunction(X=>(x0*x1 - x2**2)*2.2354157)
9,1.0218995,(((x0 * x1) - x2) * 2.7333841) + 0.7478883,0.011029377416159033,(x0*x1 - x2)*2.7333841 + 0.7478883,PySRFunction(X=>(x0*x1 - x2)*2.7333841 + 0.7478883)
10,0.98537,(((square(x0) * x1) + 0.33448508) - x2) * 3.0339863,0.03640122417650539,(x0**2*x1 - x2 + 0.33448508)*3.0339863,PySRFunction(X=>(x0**2*x1 - x2 + 0.33448508)*3.0339863)
11,0.87996185,(square(x0 + log(x1 + 0.39559838)) - x2) * 1.9383533,0.11313865089708444,-1.9383533*x2 + 1.9383533*(x0 + log(x1 + 0.39559838))**2,PySRFunction(X=>-1.9383533*x2 + 1.9383533*(x0 + log(x1 + 0.39559838))**2)
12,0.6309292,"(square(x0 + aq(-1.2130859, x1 * 28.042902)) - x2) * 2.2342904",0.33268490086640073,(-x2 + (x0 - 1.2130859/sqrt(786.404352581604*x1**2 + 1))**2)*2.2342904,PySRFunction(X=>(-x2 + (x0 - 1.2130859/sqrt(786.404352581604*x1**2 + 1))**2)*2.2342904)
13,0.45731622,"(square(x0 + aq(-1.1473732, square(x1 * 18.546331))) - x2) * 2.5104296",0.32181855430087836,(-x2 + (x0 - 1.1473732/sqrt(118312.879899747*x1**4 + 1))**2)*2.5104296,PySRFunction(X=>(-x2 + (x0 - 1.1473732/sqrt(118312.879899747*x1**4 + 1))**2)*2.5104296)
14,0.4178061,"(square((aq(-1.5128696, x1 * 19.560415) + 0.31060293) + x0) - x2) * 2.5004046",0.0903576497894078,(-x2 + (x0 + 0.31060293 - 1.5128696/sqrt(382.609834972225*x1**2 + 1))**2)*2.5004046,PySRFunction(X=>(-x2 + (x0 + 0.31060293 - 1.5128696/sqrt(382.609834972225*x1**2 + 1))**2)*2.5004046)
15,0.3345742,"(square(aq(-1.3082879, square(x1 * -16.126272)) + (x0 + 0.17011021)) - x2) * 2.6583734",0.22215877071669948,(-x2 + (x0 + 0.17011021 - 1.3082879/sqrt(67629.4604904176*x1**4 + 1))**2)*2.6583734,PySRFunction(X=>(-x2 + (x0 + 0.17011021 - 1.3082879/sqrt(67629.4604904176*x1**4 + 1))**2)*2.6583734)
17,0.30297518,"(square((x0 + 0.1806807) + aq(-1.3160938, square(x1 * 15.933966))) - x2) * (2.8985524 - x1)",0.04960389531180108,(2.8985524 - x1)*(-x2 + (x0 + 0.1806807 - 1.3160938/sqrt(64460.7782461629*x1**4 + 1))**2),PySRFunction(X=>(2.8985524 - x1)*(-x2 + (x0 + 0.1806807 - 1.3160938/sqrt(64460.7782461629*x1**4 + 1))**2))
19,0.29560757,"aq(3.0040789, x1 + x1) * (square((x0 + 0.18998082) + aq(-1.3267441, square(x1 * 15.893418))) - x2)",0.012309045142834017,(-x2 + (x0 + 0.18998082 - 1.3267441/sqrt(63807.1316876615*x1**4 + 1))**2)*(3.0040789/sqrt((x1 + x1)**2 + 1)),PySRFunction(X=>(-x2 + (x0 + 0.18998082 - 1.3267441/sqrt(63807.1316876615*x1**4 + 1))**2)*(3.0040789/sqrt((x1 + x1)**2 + 1)))
20,0.29158503,"(square(aq(-1.3025917, square(x1 * 15.999376)) + (x0 + 0.16809803)) - x2) * aq(3.02545, x1 * exp(x2))",0.013701136308999863,(-x2 + (x0 + 0.16809803 - 1.3025917/sqrt(65525.776982066*x1**4 + 1))**2)*(3.02545/sqrt(x1**2*exp(2*x2) + 1)),PySRFunction(X=>(-x2 + (x0 + 0.16809803 - 1.3025917/sqrt(65525.776982066*x1**4 + 1))**2)*(3.02545/sqrt(x1**2*exp(2*x2) + 1)))
21,0.28977594,"(square((x0 + aq(-1.3025917, square(x1 * 15.999376))) + 0.16809803) - x2) * aq(3.02545, (x1 * x2) * -3.2362494)",0.006223657702457965,(-x2 + (x0 + 0.16809803 - 1.3025917/sqrt(65525.776982066*x1**4 + 1))**2)*(3.02545/sqrt(10.4733101790004*x1**2*x2**2 + 1)),PySRFunction(X=>(-x2 + (x0 + 0.16809803 - 1.3025917/sqrt(65525.776982066*x1**4 + 1))**2)*(3.02545/sqrt(10.4733101790004*x1**2*x2**2 + 1)))
22,0.24446645,"(square(x0 + aq(-0.94058514, x1 * -17.15948)) - (x2 - 0.28957316)) * aq(8.036772, aq(-6.771538, x1 * -18.325998) + 3.8421147)",0.17002992298001557,(8.036772/sqrt((3.8421147 - 6.771538/sqrt(335.842202696004*x1**2 + 1))**2 + 1))*((x0 - 0.94058514/sqrt(294.4477538704*x1**2 + 1))**2 - (x2 - 1*0.28957316)),PySRFunction(X=>(8.036772/sqrt((3.8421147 - 6.771538/sqrt(335.842202696004*x1**2 + 1))**2 + 1))*((x0 - 0.94058514/sqrt(294.4477538704*x1**2 + 1))**2 - (x2 - 1*0.28957316)))
