# git=7aa26af source=multid_combine
dim,params,n_varied,mean_pct,p90_pct,max_pct,max_k,gp_sliced,role
2D,dtau0-Ap,2,0.7338,1.6954,2.8428,0.00351,,
2D,herei-alphaq,2,0.6755,1.6036,8.7006,0.001,,
2D,Ap-ns,2,0.8766,1.9553,4.8282,0.001,,worst
2D,tau0-ns,2,0.3427,0.8186,2.9444,0.001,,best
2D,herei-heref,2,0.3857,0.957,4.4669,0.00219,,
2D,tau0-Ap,2,0.6014,1.4913,3.45,0.00351,,
3D,dtau0-Ap-ns,3,0.8634,1.9272,4.8811,0.001,,
3D,herei-heref-alphaq,3,0.8005,1.8992,9.7892,0.001,,
3D,tau0-Ap-ns,3,0.7894,1.86,4.9543,0.001,,best
3D,Ap-ns-omegamh2,3,0.9225,2.0573,5.4978,0.00127,,worst
