# param=ns z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed0_sobolev/refit/z3.6/pareto_ns.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,6.6875153,0.22353553704761409,0.0011259207463387632,48,True,True
19,6.7037377,0.22555073949050652,0.0012345417906967316,48,True,True
17,7.242264,0.2252351003772236,0.0005405143819692872,48,True,True
16,8.50868,0.2812636627036872,0.0006402880590265621,48,False,True
15,10.587523,0.35809947568261546,0.0008598237192124394,48,False,True
14,14.316141,0.16695757285684226,0.010979653291034092,48,True,True
13,15.663616,0.2514989156926686,0.010909447691731442,48,False,True
12,18.614845,0.3279495776917092,0.005066701017972074,48,False,True
11,20.593058,0.33691393586759866,0.005001715078036497,48,False,True
10,25.414324,0.3058657230151413,0.004593527864956878,48,False,True
9,32.259964,0.45792319155067385,0.016229772386269006,48,False,True
8,41.03474,0.6243564281335666,0.005865874977868176,48,False,True
7,47.823864,0.608182572829316,0.005889696241828752,48,False,True
5,55.015102,0.751237238415925,0.005841842109265514,48,False,True
4,61.91178,0.8916741623032896,0.004432629728327542,48,False,True
3,65.44556,0.9479012459384386,0.0026372762124926012,48,False,True
2,67.87984,0.5228523061636839,0.003243717150506098,48,False,True
