# param=tau0 z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed0_sobolev/refit/z3.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.0029455705,0.005483271570140391,5.7570161571359845e-06,48,True,True
18,0.002946102,0.005477673063138067,5.759206741168707e-06,48,True,True
17,0.003391778,0.004770074977585914,1.6742785251226774e-05,48,True,True
16,0.0035292057,0.005230051099315014,3.0678251206815705e-05,48,True,True
15,0.0042054066,0.005657685231995613,6.399378173586409e-05,48,True,True
14,0.004456558,0.004921447275656132,8.12380789113853e-05,48,True,True
13,0.0049137576,0.005314264553492598,9.881205870212925e-05,48,True,True
12,0.005583133,0.004944026422480263,0.00011056911893558766,48,True,True
11,0.01217881,0.0061838792579231305,0.00015471086116115051,48,True,True
10,0.0148095945,0.0069646173514101295,0.00040534915511674703,48,True,True
8,0.015406752,0.005798295070812143,0.00041461451213951737,48,True,True
7,0.12504254,0.01982931114878428,0.00041989576180427606,48,True,True
6,0.69155777,0.09238888419969193,0.00048795427912326603,48,True,True
5,1.082717,0.09493788904075728,0.0005299874111236307,48,True,True
3,4.2309904,0.04026549279245528,0.11607984872094543,48,True,True
2,22.926933,0.37190132520787383,0.13669016506690285,48,False,True
1,31.715305,0.6817947905077364,0.03462998845546704,48,False,True
