Complexity,Loss,Equation,score,sympy_format,lambda_format
1,75.739235,x0,0.0,x0,PySRFunction(X=>x0)
2,74.2525,exp(x0),0.019824874929704115,exp(x0),PySRFunction(X=>exp(x0))
3,52.47654,x0 * 3.0858088,0.3471052345653413,x0*3.0858088,PySRFunction(X=>x0*3.0858088)
4,47.210308,log(x0 + 0.12217644),0.10575395400588443,log(x0 + 0.12217644),PySRFunction(X=>log(x0 + 0.12217644))
5,39.43932,log(square(x0 + 0.28047872)),0.17984897037194042,log((x0 + 0.28047872)**2),PySRFunction(X=>log((x0 + 0.28047872)**2))
6,37.599777,square(x0 - 1.1089191) * -2.6311374,0.04776516867929255,(x0 - 1*1.1089191)**2*(-2.6311374),PySRFunction(X=>(x0 - 1*1.1089191)**2*(-2.6311374))
8,35.91737,"(x0 - x2) * aq(5.9946666, exp(x0))",0.022888548518296407,(x0 - x2)*(5.9946666/sqrt(exp(2*x0) + 1)),PySRFunction(X=>(x0 - x2)*(5.9946666/sqrt(exp(2*x0) + 1)))
9,23.807919,square((exp(x1) * x0) + -1.4509948) * -1.623765,0.4112027660634529,(x0*exp(x1) - 1.4509948)**2*(-1.623765),PySRFunction(X=>(x0*exp(x1) - 1.4509948)**2*(-1.623765))
11,21.372787,x0 - square((square(x1 + 0.9139136) * x0) + -1.6641362),0.053949889563947494,x0 - (x0*(x1 + 0.9139136)**2 - 1.6641362)**2,PySRFunction(X=>x0 - (x0*(x1 + 0.9139136)**2 - 1.6641362)**2)
13,18.584156,x0 - square(((square(x1 + 0.9139284) * x0) + -1.0637697) - x2),0.0699045437743441,x0 - (x0*(x1 + 0.9139284)**2 - x2 - 1.0637697)**2,PySRFunction(X=>x0 - (x0*(x1 + 0.9139284)**2 - x2 - 1.0637697)**2)
14,18.563082,"x0 - square((square(x1 + 0.9116868) * x0) + aq(-1.9381815, log(x2)))",0.0011346201438084283,x0 - (x0*(x1 + 0.9116868)**2 - 1.9381815/sqrt(log(x2)**2 + 1))**2,PySRFunction(X=>x0 - (x0*(x1 + 0.9116868)**2 - 1.9381815/sqrt(log(x2)**2 + 1))**2)
15,18.311502,(x0 * 1.3991108) - square(((x0 * square(x1 + 0.89842045)) + -0.95603067) - x2),0.013645382608075326,x0*1.3991108 - (x0*(x1 + 0.89842045)**2 - x2 - 0.95603067)**2,PySRFunction(X=>x0*1.3991108 - (x0*(x1 + 0.89842045)**2 - x2 - 0.95603067)**2)
16,17.74414,"x0 - aq(square(((x0 * square(x1 + 0.9705747)) + -1.1505045) - x2), log(x2))",0.03147406643081646,x0 - (x0*(x1 + 0.9705747)**2 - x2 - 1.1505045)**2/sqrt(log(x2)**2 + 1),PySRFunction(X=>x0 - (x0*(x1 + 0.9705747)**2 - x2 - 1.1505045)**2/sqrt(log(x2)**2 + 1))
17,16.782234,"x0 - square(aq(((x0 * square(x1 + 0.97936416)) + -1.2044691) - x2, x1 - x2))",0.05573449370629604,x0 - (x0*(x1 + 0.97936416)**2 - x2 - 1.2044691)**2/((x1 - x2)**2 + 1),PySRFunction(X=>x0 - (x0*(x1 + 0.97936416)**2 - x2 - 1.2044691)**2/((x1 - x2)**2 + 1))
18,15.588396,"x0 - square(aq(((square(x1 + 0.95971715) * x0) - x2) + -1.0974349, square(square(square(x1)))))",0.07379403555074579,x0 - (x0*(x1 + 0.95971715)**2 - x2 - 1.0974349)**2/(x1**16 + 1),PySRFunction(X=>x0 - (x0*(x1 + 0.95971715)**2 - x2 - 1.0974349)**2/(x1**16 + 1))
19,15.391171,"x0 - square(aq((-1.2041439 + (square(x1 + 0.98925316) * x0)) - x2, square(x2) - square(x1)))",0.012732757985540936,x0 - (x0*(x1 + 0.98925316)**2 - x2 - 1.2041439)**2/((-x1**2 + x2**2)**2 + 1),PySRFunction(X=>x0 - (x0*(x1 + 0.98925316)**2 - x2 - 1.2041439)**2/((-x1**2 + x2**2)**2 + 1))
20,14.668433,"x0 - square(2.3972886 - (x2 - aq((x0 * square(x1 + 0.9764857)) + -3.6788173, x1 - square(x2))))",0.0480962635082815,x0 - (2.3972886 - (x2 - (x0*(x1 + 0.9764857)**2 - 3.6788173)/sqrt((x1 - x2**2)**2 + 1)))**2,PySRFunction(X=>x0 - (2.3972886 - (x2 - (x0*(x1 + 0.9764857)**2 - 3.6788173)/sqrt((x1 - x2**2)**2 + 1)))**2)
