Complexity,Loss,Equation,score,sympy_format,lambda_format
1,31.012114,x0,0.0,x0,PySRFunction(X=>x0)
2,21.122545,exp(x0),0.38403694887411466,exp(x0),PySRFunction(X=>exp(x0))
3,5.021664,x0 * 3.2074933,1.43657960059041,x0*3.2074933,PySRFunction(X=>x0*3.2074933)
5,0.09201025,(x2 - x0) * -3.4122996,1.9998083239887052,(-x0 + x2)*(-3.4122996),PySRFunction(X=>(-x0 + x2)*(-3.4122996))
7,0.060716417,((x0 - x2) * 3.408785) + -0.17681593,0.20784293055207276,(x0 - x2)*3.408785 - 0.17681593,PySRFunction(X=>(x0 - x2)*3.408785 - 0.17681593)
8,0.03483285,(x0 * 3.4124396) - exp(x2 * 1.2665902),0.555653215739998,x0*3.4124396 - exp(x2*1.2665902),PySRFunction(X=>x0*3.4124396 - exp(x2*1.2665902))
9,0.027847584,"(x0 - (aq(x2, x1) + 0.08218011)) * 3.4101617",0.22381469488098063,(x0 - (x2/sqrt(x1**2 + 1) + 0.08218011))*3.4101617,PySRFunction(X=>(x0 - (x2/sqrt(x1**2 + 1) + 0.08218011))*3.4101617)
10,0.008618756,"(3.4126968 * x0) - exp(x2 * aq(1.3314433, x1))",1.1728054534455543,3.4126968*x0 - exp(x2*(1.3314433/sqrt(x1**2 + 1))),PySRFunction(X=>3.4126968*x0 - exp(x2*(1.3314433/sqrt(x1**2 + 1))))
11,0.0070064357,"(3.415995 * x0) - (exp(square(aq(x2, x1))) * 1.5138384)",0.20711164632245,3.415995*x0 - 1.5138384*exp(x2**2/(x1**2 + 1)),PySRFunction(X=>3.415995*x0 - 1.5138384*exp(x2**2/(x1**2 + 1)))
12,0.006609968,"(square(aq(x2, x1)) * -2.3935876) + ((x0 * 3.4149516) - 1.3565136)",0.0582502996913143,x0*3.4149516 + (x2**2/(x1**2 + 1))*(-2.3935876) - 1*1.3565136,PySRFunction(X=>x0*3.4149516 + (x2**2/(x1**2 + 1))*(-2.3935876) - 1*1.3565136)
13,0.005529593,"((x0 * 3.4148812) + -0.486033) - exp(square(aq(x2 * 1.1779164, x1)))",0.17846459842971182,x0*3.4148812 - exp(1.38748704538896*x2**2/(x1**2 + 1)) - 0.486033,PySRFunction(X=>x0*3.4148812 - exp(1.38748704538896*x2**2/(x1**2 + 1)) - 0.486033)
14,0.0049871895,"(-1.6738981 - (square(aq(x2, x1) + -0.30076072) * 4.972715)) + (x0 * 3.4150217)",0.10324168963347032,x0*3.4150217 - 4.972715*(x2/sqrt(x1**2 + 1) - 0.30076072)**2 - 1.6738981,PySRFunction(X=>x0*3.4150217 - 4.972715*(x2/sqrt(x1**2 + 1) - 0.30076072)**2 - 1.6738981)
15,0.0046657217,"((x0 * 3.4151385) + -1.6372079) - (square(square(aq(x2, x1))) * (x1 + 3.0280156))",0.06662999705336199,x0*3.4151385 - x2**4/(x1**2 + 1)**2*(x1 + 3.0280156) - 1.6372079,PySRFunction(X=>x0*3.4151385 - x2**4/(x1**2 + 1)**2*(x1 + 3.0280156) - 1.6372079)
16,0.0041782963,"((square(aq(x2, x1)) * aq(-2.4164662, x0 * 0.23967437)) + (x0 * 3.3910065)) - 1.3444821",0.11033894786577794,x0*3.3910065 + (x2**2/(x1**2 + 1))*(-2.4164662/sqrt(0.0574438036348969*x0**2 + 1)) - 1*1.3444821,PySRFunction(X=>x0*3.3910065 + (x2**2/(x1**2 + 1))*(-2.4164662/sqrt(0.0574438036348969*x0**2 + 1)) - 1*1.3444821)
17,0.0031018346,"((x0 * 3.3942482) - exp(aq(square(aq(x2 * 1.1813091, x1)), x0 * -0.20118171))) + -0.47709265",0.29790983682544625,x0*3.3942482 - exp(1.39549118974281*x2**2/(sqrt(0.0404740804385241*x0**2 + 1)*(x1**2 + 1))) - 0.47709265,PySRFunction(X=>x0*3.3942482 - exp(1.39549118974281*x2**2/(sqrt(0.0404740804385241*x0**2 + 1)*(x1**2 + 1))) - 0.47709265)
18,0.0025762236,"(x0 * 3.3981202) + (-1.6624731 - (square(aq(x2, x1) + -0.297442) * aq(4.970355, x0 * 0.2537651)))",0.18566913717700173,x0*3.3981202 - 4.970355/sqrt(0.06439672597801*x0**2 + 1)*(x2/sqrt(x1**2 + 1) - 0.297442)**2 - 1.6624731,PySRFunction(X=>x0*3.3981202 - 4.970355/sqrt(0.06439672597801*x0**2 + 1)*(x2/sqrt(x1**2 + 1) - 0.297442)**2 - 1.6624731)
19,0.0022234065,"(x0 * 3.396693) + (-1.6325649 - (square(square(aq(x2, 0.08914351 - x1))) * aq(3.0890684, x0 * 0.25589636)))",0.14728412645365788,x0*3.396693 - x2**4/((0.08914351 - x1)**2 + 1)**2*3.0890684/sqrt(0.0654829470612496*x0**2 + 1) - 1.6325649,PySRFunction(X=>x0*3.396693 - x2**4/((0.08914351 - x1)**2 + 1)**2*3.0890684/sqrt(0.0654829470612496*x0**2 + 1) - 1.6325649)
20,0.0022166034,"(x0 * 3.3966432) + (-1.6317952 - (exp(aq(1.1295016, x0 * -0.24171488)) * square(square(aq(x2, 0.090193234 - x1)))))",0.003064455024718118,x0*3.3966432 - x2**4/((0.090193234 - x1)**2 + 1)**2*exp(1.1295016/sqrt(0.0584260832134144*x0**2 + 1)) - 1.6317952,PySRFunction(X=>x0*3.3966432 - x2**4/((0.090193234 - x1)**2 + 1)**2*exp(1.1295016/sqrt(0.0584260832134144*x0**2 + 1)) - 1.6317952)
