Complexity,Loss,Equation,score,sympy_format,lambda_format
1,24.636395,x0,0.0,x0,PySRFunction(X=>x0)
2,22.978804,exp(x0),0.06965259533378743,exp(x0),PySRFunction(X=>exp(x0))
3,10.020342,x0 * 2.6565816,0.8299549989986921,x0*2.6565816,PySRFunction(X=>x0*2.6565816)
4,8.92334,log(x0 + 0.16280872),0.11594691084193065,log(x0 + 0.16280872),PySRFunction(X=>log(x0 + 0.16280872))
5,4.051027,log(square(x0 + 0.37479937)),0.7896998867495155,log((x0 + 0.37479937)**2),PySRFunction(X=>log((x0 + 0.37479937)**2))
6,3.1987376,2.3107526 - exp(1.4976755 - x0),0.23621419724924062,2.3107526 - exp(1.4976755 - x0),PySRFunction(X=>2.3107526 - exp(1.4976755 - x0))
7,3.1110084,"(aq(x0, x0) - x2) * 3.9534051",0.027809313961797713,(x0/sqrt(x0**2 + 1) - x2)*3.9534051,PySRFunction(X=>(x0/sqrt(x0**2 + 1) - x2)*3.9534051)
8,2.5338974,"aq(2.7630808 - exp(1.6585695 - x0), x2)",0.20518832627396427,(2.7630808 - exp(1.6585695 - x0))/sqrt(x2**2 + 1),PySRFunction(X=>(2.7630808 - exp(1.6585695 - x0))/sqrt(x2**2 + 1))
9,2.3364158,"aq(aq(x0, x0) - x2, x2) * 4.6631885",0.0811405460325101,((x0/sqrt(x0**2 + 1) - x2)/sqrt(x2**2 + 1))*4.6631885,PySRFunction(X=>((x0/sqrt(x0**2 + 1) - x2)/sqrt(x2**2 + 1))*4.6631885)
10,1.2765648,"-2.1691682 - aq(x0 * -5.9287596, exp(x0 * x2))",0.6044453254835636,-(-1)*5.9287596*x0/sqrt(exp(2*x0*x2) + 1) - 2.1691682,PySRFunction(X=>-(-1)*5.9287596*x0/sqrt(exp(2*x0*x2) + 1) - 2.1691682)
11,1.1093587,"aq(x0 * 4.118566, x0 * (x2 * 1.8178627)) - 2.180824",0.1403906196022941,4.118566*x0/sqrt(3.30462479605129*x0**2*x2**2 + 1) - 1*2.180824,PySRFunction(X=>4.118566*x0/sqrt(3.30462479605129*x0**2*x2**2 + 1) - 1*2.180824)
12,1.0625991,"aq(x0 * 4.075551, square(x2 + 0.41962954) * x0) - 2.1692789",0.04306421256071536,4.075551*x0/sqrt(x0**2*(x2 + 0.41962954)**4 + 1) - 1*2.1692789,PySRFunction(X=>4.075551*x0/sqrt(x0**2*(x2 + 0.41962954)**4 + 1) - 1*2.1692789)
13,1.0118015,"aq(x0 * 4.0988803, (x2 * 1.800532) * x0) - (x2 - -1.5774136)",0.04898548267421524,4.0988803*x0/sqrt(3.241915483024*x0**2*x2**2 + 1) - (x2 - 1*(-1.5774136)),PySRFunction(X=>4.0988803*x0/sqrt(3.241915483024*x0**2*x2**2 + 1) - (x2 - 1*(-1.5774136)))
14,0.9400523,"aq(aq(x0 * 4.236991, (x2 * x0) * 1.823828) - 2.236268, square(x1))",0.07355217234899178,(4.236991*x0/sqrt(3.326348573584*x0**2*x2**2 + 1) - 1*2.236268)/sqrt(x1**4 + 1),PySRFunction(X=>(4.236991*x0/sqrt(3.326348573584*x0**2*x2**2 + 1) - 1*2.236268)/sqrt(x1**4 + 1))
15,0.89116913,"aq(aq(x0 * 4.3227634, (x0 * 1.8954911) * x2), aq(x1, x0)) + -2.1778038",0.05340128213049039,4.3227634*x0/(sqrt(3.59288651017921*x0**2*x2**2 + 1)*sqrt(x1**2/(x0**2 + 1) + 1)) - 2.1778038,PySRFunction(X=>4.3227634*x0/(sqrt(3.59288651017921*x0**2*x2**2 + 1)*sqrt(x1**2/(x0**2 + 1) + 1)) - 2.1778038)
16,0.8283379,"aq(aq(x0 * 4.25059, x2 * (1.8505504 * x0)) - 2.237317, square(aq(x1, x0)))",0.07311306695778554,(4.25059*x0/sqrt(3.42453678294016*x0**2*x2**2 + 1) - 1*2.237317)/sqrt(x1**4/(x0**2 + 1)**2 + 1),PySRFunction(X=>(4.25059*x0/sqrt(3.42453678294016*x0**2*x2**2 + 1) - 1*2.237317)/sqrt(x1**4/(x0**2 + 1)**2 + 1))
17,0.7819872,"aq(aq(x0 * 4.312341, x0 * (x2 * -1.8681829)) - x2, aq(x1, x0)) + -1.6045495",0.057582790800989,(4.312341*x0/sqrt(3.49010734785241*x0**2*x2**2 + 1) - x2)/sqrt(x1**2/(x0**2 + 1) + 1) - 1.6045495,PySRFunction(X=>(4.312341*x0/sqrt(3.49010734785241*x0**2*x2**2 + 1) - x2)/sqrt(x1**2/(x0**2 + 1) + 1) - 1.6045495)
18,0.71718633,"aq(aq(x0 * 4.227645, (x2 * x0) * 1.826967) - (x2 - -1.6324475), square(aq(x1, x0)))",0.08650269080981932,(4.227645*x0/sqrt(3.337808419089*x0**2*x2**2 + 1) - (x2 - 1*(-1.6324475)))/sqrt(x1**4/(x0**2 + 1)**2 + 1),PySRFunction(X=>(4.227645*x0/sqrt(3.337808419089*x0**2*x2**2 + 1) - (x2 - 1*(-1.6324475)))/sqrt(x1**4/(x0**2 + 1)**2 + 1))
19,0.68323076,"aq(aq(x0 * 4.2133455, (x0 * -1.8247969) * x2) - exp(x2), square(aq(x1, x0))) + -0.36412942",0.048503016435044725,(4.2133455*x0/sqrt(3.32988372624961*x0**2*x2**2 + 1) - exp(x2))/sqrt(x1**4/(x0**2 + 1)**2 + 1) - 0.36412942,PySRFunction(X=>(4.2133455*x0/sqrt(3.32988372624961*x0**2*x2**2 + 1) - exp(x2))/sqrt(x1**4/(x0**2 + 1)**2 + 1) - 0.36412942)
20,0.6663557,"(square((x0 - x1) * x1) + (aq(x0 * 4.26538, (x2 * 1.8790442) * x0) - x2)) - 1.6460859",0.02500905282771007,4.26538*x0/sqrt(3.53080710555364*x0**2*x2**2 + 1) + x1**2*(x0 - x1)**2 - x2 - 1*1.6460859,PySRFunction(X=>4.26538*x0/sqrt(3.53080710555364*x0**2*x2**2 + 1) + x1**2*(x0 - x1)**2 - x2 - 1*1.6460859)
