Complexity,Loss,Equation,score,sympy_format,lambda_format
1,495.17786,-5.1146455,0.0,-5.11464550000000,PySRFunction(X=>-5.11464550000000)
3,479.48264,x2 * -10.228566,0.01610466093698141,x2*(-10.228566),PySRFunction(X=>x2*(-10.228566))
4,472.09665,square(x2) * -15.04271,0.015523957715718833,x2**2*(-15.04271),PySRFunction(X=>x2**2*(-15.04271))
5,469.01917,(x2 * -25.572287) + 10.228759,0.006540089761439325,10.228759 + x2*(-25.572287),PySRFunction(X=>10.228759 + x2*(-25.572287))
6,449.663,"aq(-7.1064205, log(x0 + x2))",0.04214522849326531,-7.1064205/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-7.1064205/sqrt(log(x0 + x2)**2 + 1))
7,443.79764,"aq(-6.855765, square(log(x0 + x2)))",0.013129720544439033,-6.855765/sqrt(log(x0 + x2)**4 + 1),PySRFunction(X=>-6.855765/sqrt(log(x0 + x2)**4 + 1))
8,436.52512,"aq(-8.53444, exp(square(log(x2 + x0))))",0.01652277046717566,-8.53444/sqrt(exp(2*log(x0 + x2)**2) + 1),PySRFunction(X=>-8.53444/sqrt(exp(2*log(x0 + x2)**2) + 1))
9,432.77078,"aq(-5.575645, square(log(x0 + (x2 + -0.12157089))))",0.008637710916606284,-5.575645/sqrt(log(x0 + x2 - 0.12157089)**4 + 1),PySRFunction(X=>-5.575645/sqrt(log(x0 + x2 - 0.12157089)**4 + 1))
10,422.00903,"aq(-4.8413987, square(x1 + log(square(x2) + x0)))",0.025181499478551007,-4.8413987/sqrt((x1 + log(x0 + x2**2))**4 + 1),PySRFunction(X=>-4.8413987/sqrt((x1 + log(x0 + x2**2))**4 + 1))
11,418.17535,(square(x2) * -15.922021) + square(log(square(x0 + x2))),0.00912586974345092,-15.922021*x2**2 + log((x0 + x2)**2)**2,PySRFunction(X=>-15.922021*x2**2 + log((x0 + x2)**2)**2)
12,405.46054,"aq(x2, square(log(x0 + square(x2)) + x1)) * -10.961677",0.030877285308081072,-10.961677*x2/sqrt((x1 + log(x0 + x2**2))**4 + 1),PySRFunction(X=>-10.961677*x2/sqrt((x1 + log(x0 + x2**2))**4 + 1))
13,400.2506,(square(x2) * -15.595703) + square(x1 + log(x0 + square(x2))),0.01293270592102293,-15.595703*x2**2 + (x1 + log(x0 + x2**2))**2,PySRFunction(X=>-15.595703*x2**2 + (x1 + log(x0 + x2**2))**2)
14,398.01672,(x2 * -25.125399) + (square(x1 + log(square(x2) + x0)) + 9.603252),0.0055968364864945695,-25.125399*x2 + (x1 + log(x0 + x2**2))**2 + 9.603252,PySRFunction(X=>-25.125399*x2 + (x1 + log(x0 + x2**2))**2 + 9.603252)
15,394.791,"(square(x2) * -15.595703) + square(aq(log(square(x0 + x2)), x0) + x1)",0.008137503505389394,-15.595703*x2**2 + (x1 + log((x0 + x2)**2)/sqrt(x0**2 + 1))**2,PySRFunction(X=>-15.595703*x2**2 + (x1 + log((x0 + x2)**2)/sqrt(x0**2 + 1))**2)
16,392.55942,"square(x1 + aq(log(square(x2 + x0)), x0)) + ((x2 - 0.38184667) * -25.098227)",0.005668596647495002,-25.098227*x2 + (x1 + log((x0 + x2)**2)/sqrt(x0**2 + 1))**2 + 9.58367440285409,PySRFunction(X=>-25.098227*x2 + (x1 + log((x0 + x2)**2)/sqrt(x0**2 + 1))**2 + 9.58367440285409)
17,390.98743,(square(x1 + log(square(x0 + x2))) + (x2 * (-24.315205 - exp(x0)))) + 9.806884,0.004012503168406071,x2*(-exp(x0) - 24.315205) + (x1 + log((x0 + x2)**2))**2 + 9.806884,PySRFunction(X=>x2*(-exp(x0) - 24.315205) + (x1 + log((x0 + x2)**2))**2 + 9.806884)
18,388.03186,(square(x1 + log(square(x0 + x2))) + (x2 * (-24.618765 - exp(square(x0))))) + 9.830166,0.007587961476786619,x2*(-exp(x0**2) - 24.618765) + (x1 + log((x0 + x2)**2))**2 + 9.830166,PySRFunction(X=>x2*(-exp(x0**2) - 24.618765) + (x1 + log((x0 + x2)**2))**2 + 9.830166)
19,387.0017,"(-25.098227 * (x2 - 0.38184667)) + square(log(aq(square(x2 + x0), x0)) + square(x1 * -1.4157495))",0.0026583638692227744,-25.098227*x2 + (2.00434664675025*x1**2 + log((x0 + x2)**2/sqrt(x0**2 + 1)))**2 + 9.58367440285409,PySRFunction(X=>-25.098227*x2 + (2.00434664675025*x1**2 + log((x0 + x2)**2/sqrt(x0**2 + 1)))**2 + 9.58367440285409)
20,382.9864,((x2 * (-24.763872 - exp(square(x1 - x0)))) + square(log(square(x2 + x0)) + x1)) + 9.814972,0.010429606373191125,x2*(-exp((-x0 + x1)**2) - 24.763872) + (x1 + log((x0 + x2)**2))**2 + 9.814972,PySRFunction(X=>x2*(-exp((-x0 + x1)**2) - 24.763872) + (x1 + log((x0 + x2)**2))**2 + 9.814972)
