# param=Ap z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed0_value/refit/z3.6/pareto_Ap.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.24211869,0.14740099176985322,4.82563725897028e-05,48,True,True
19,0.24801575,0.14663969424609957,4.7575748878369145e-05,48,True,True
18,0.2875569,0.21894908881111974,0.00011787487098190871,48,True,True
17,0.32096508,0.21790463758867995,0.00012353429926285857,48,True,True
16,0.3494251,0.19803559161491147,0.0001520217241484474,48,True,True
15,0.38101032,0.21712384179414157,0.0001287877531847026,48,True,True
14,0.4181061,0.2097021276144938,0.0001373529379804049,48,True,True
13,0.449498,0.25190798989814844,0.00011028308954559307,48,False,True
12,0.46836305,0.25649827939936654,0.000104609171656028,48,False,True
11,0.5115087,0.2873107219433919,9.828130609732983e-05,48,False,True
10,0.5277524,0.3389250397539071,0.0002851086321435796,48,False,True
9,0.5423825,0.3424594022586156,0.00029865276795092556,48,False,True
8,0.56881785,0.3424594022586156,0.00016492262553863664,48,False,True
7,0.5853549,0.3337383350301182,0.0003501273384922268,48,False,True
5,0.69417584,0.29325320157746065,0.00029697120705073207,48,False,True
4,1.0249573,0.1760487571079674,0.00047460089762564947,48,True,True
3,1.3571283,0.7794182487952427,0.0014639542692409901,48,False,True
