# param=dtau0 z=3.6 tol=0.25 log_space=True git=a84e36d source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed0_value/refit/z3.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
18,0.0009332784,0.008550578398622777,2.1108683485867282e-06,48,True,True
16,0.0009514295,0.008550531332488565,2.157605125174101e-06,48,True,True
15,0.0010705212,0.008482242083661329,2.203336551481928e-06,48,True,True
14,0.0017068076,0.008550664520557194,3.838172640638145e-06,48,True,True
12,0.0019947458,0.00740139249510291,2.871634112797681e-06,48,True,True
11,0.0043175127,0.02958775270374292,8.76419618248551e-06,48,True,True
10,0.014544226,0.022420122269942944,1.5706167786404147e-05,48,True,True
9,0.019113036,0.06738338991392506,1.9001191569555934e-05,48,True,True
8,0.035419818,0.014545037585981246,7.159270279732655e-05,48,True,True
7,0.048714757,0.08373224568686582,8.833542028346999e-05,48,True,True
5,0.08669644,0.040709894940517466,7.175212424757902e-05,48,True,True
4,0.51910144,0.5816759296379701,0.0004250966315070972,48,False,True
3,0.8041895,0.7095447301906518,0.0009575323406223625,48,False,True
