# param=hireionz z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed0_value/refit/z3.6/pareto_hireionz.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.7080913,0.16843929472331798,6.424543685135139e-05,48,True,True
18,0.821936,0.1943599115420237,6.397960107626194e-05,48,True,True
17,1.0551922,0.30562906647215177,7.586842995486598e-05,48,False,True
16,1.170694,0.1752186469542975,0.00014427689899386518,48,True,True
15,1.3817906,0.21460627210651012,9.087122715658166e-05,48,True,True
14,1.3986053,0.2842737699899009,0.0001717185241378595,48,False,True
13,2.109762,0.3836865735583546,0.0003567513957228418,48,False,True
11,2.8271835,0.2847877688808101,0.0006328749150800124,48,False,True
10,3.1954134,0.31317570938266637,0.0007985952514927105,48,False,True
9,3.3153508,0.28603336413377667,0.0008075331223251194,48,False,True
7,3.5198417,0.30626122761446245,0.0007046676109904558,48,False,True
