# param=tau0 z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed0_value/refit/z3.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,8.017048e-05,0.004440022233877572,4.192023626559499e-06,48,True,True
19,8.073701e-05,0.004543924825801682,4.253782548571254e-06,48,True,True
18,0.000110619316,0.004998682163810164,5.912030783148434e-06,48,True,True
17,0.00013183894,0.005466404875209274,7.723915170324443e-06,48,True,True
16,0.00015186022,0.004425759186328537,6.642765756163319e-06,48,True,True
15,0.00029881595,0.004618553970963224,1.0259987015128738e-05,48,True,True
14,0.0004922862,0.02208160060882086,1.7010268233715223e-05,48,True,True
13,0.0006338494,0.02198516048715793,2.1089954918005357e-05,48,True,True
12,0.0014084945,0.0214909731015695,8.2514417365347e-05,48,True,True
11,0.0014086841,0.021414993894543766,8.25219611949843e-05,48,True,True
9,0.0046255263,0.0850455891290991,0.00019702066337388946,48,True,True
8,0.008096243,0.0712862409672948,0.0003782437962195977,48,True,True
7,0.008808338,0.021412629642939662,0.00034100248817024487,48,True,True
6,0.010914616,0.029533933627939546,0.00041789117810915545,48,True,True
5,0.014097688,0.08504928030946302,0.0005307882062340757,48,True,True
4,0.28200287,0.3719013252077877,0.010002133117460567,48,False,True
3,0.5178297,0.6817947905077364,0.018235608993187817,48,False,True
2,0.721443,0.5672409150905353,0.028227821347432545,48,False,True
1,0.87462705,0.6817947905077364,0.03462998845546704,48,False,True
