Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.513488,-1.5232393,0.0,-1.52323930000000,PySRFunction(X=>-1.52323930000000)
3,4.121384,x2 * -3.0466332,0.14550421222802312,x2*(-3.0466332),PySRFunction(X=>x2*(-3.0466332))
4,3.2096841,log(square(log(x2))),0.2500165081979886,log(log(x2)**2),PySRFunction(X=>log(log(x2)**2))
5,3.1933155,(x2 * -7.615903) + 3.0463228,0.005112802336352279,3.0463228 + x2*(-7.615903),PySRFunction(X=>3.0463228 + x2*(-7.615903))
6,3.042656,"log(square(aq(log(x2), x0)))",0.04832890055915503,log(log(x2)**2/(x0**2 + 1)),PySRFunction(X=>log(log(x2)**2/(x0**2 + 1)))
7,2.803663,"(x2 * -8.205063) + aq(3.904491, x0)",0.08180404168862697,x2*(-8.205063) + 3.904491/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-8.205063) + 3.904491/sqrt(x0**2 + 1))
8,2.6419075,"(x2 * -7.8665833) + aq(6.1627884, exp(x0))",0.05942558236794797,x2*(-7.8665833) + 6.1627884/sqrt(exp(2*x0) + 1),PySRFunction(X=>x2*(-7.8665833) + 6.1627884/sqrt(exp(2*x0) + 1))
9,2.0589564,square(exp(square(square(x1))) * x2) * -3.070811,0.24930194163856476,(x2**2*exp(2*x1**4))*(-3.070811),PySRFunction(X=>(x2**2*exp(2*x1**4))*(-3.070811))
10,1.6691636,square(exp(square(square(square(x1)))) * x2) * -3.4805894,0.20987658984971785,(x2**2*exp(2*x1**8))*(-3.4805894),PySRFunction(X=>(x2**2*exp(2*x1**8))*(-3.4805894))
11,1.3093683,square(square(x2) * exp(square(square(square(x1))))) * -5.7560883,0.24277785547373854,(x2**4*exp(2*x1**8))*(-5.7560883),PySRFunction(X=>(x2**4*exp(2*x1**8))*(-5.7560883))
12,1.2090298,-6.0230837 * square(exp(square(square(square(square(x1))))) * square(x2)),0.0797265873714697,-6.0230837*x2**4*exp(2*x1**16),PySRFunction(X=>-6.0230837*x2**4*exp(2*x1**16))
13,1.0233891,"square(square(x2) * exp(square(aq(square(square(x1)), x0)))) * -6.8778996",0.16669845323849897,(x2**4*exp(2*x1**8/(x0**2 + 1)))*(-6.8778996),PySRFunction(X=>(x2**4*exp(2*x1**8/(x0**2 + 1)))*(-6.8778996))
14,0.9005615,"-7.1725955 * square(exp(square(aq(square(square(square(x1))), x0))) * square(x2))",0.12785658786689888,-7.1725955*x2**4*exp(2*x1**16/(x0**2 + 1)),PySRFunction(X=>-7.1725955*x2**4*exp(2*x1**16/(x0**2 + 1)))
15,0.7747816,"(exp(square(x2) * exp(square(square(square(x1))))) * -3.7287803) + aq(5.0780244, x0)",0.15043727448860142,exp(x2**2*exp(x1**8))*(-3.7287803) + 5.0780244/sqrt(x0**2 + 1),PySRFunction(X=>exp(x2**2*exp(x1**8))*(-3.7287803) + 5.0780244/sqrt(x0**2 + 1))
16,0.49704304,"aq(6.8758326, x0) + (exp(exp(square(square(aq(square(x1), x0)))) * x2) * -3.9354413)",0.44390456124214894,exp(x2*exp(x1**8/(x0**2 + 1)**2))*(-3.9354413) + 6.8758326/sqrt(x0**2 + 1),PySRFunction(X=>exp(x2*exp(x1**8/(x0**2 + 1)**2))*(-3.9354413) + 6.8758326/sqrt(x0**2 + 1))
18,0.41659018,"(2.535023 - (x0 * 3.0033987)) + (square(x2 * exp(square(square(aq(square(x1), x0))))) * -5.7919044)",0.088286832583558,-3.0033987*x0 + (x2**2*exp(2*x1**8/(x0**2 + 1)**2))*(-5.7919044) + 2.535023,PySRFunction(X=>-3.0033987*x0 + (x2**2*exp(2*x1**8/(x0**2 + 1)**2))*(-5.7919044) + 2.535023)
19,0.28104934,"(exp(exp(square(square(square(x1)))) * square(aq(x2, x0))) * -5.2445254) + (8.331118 - (x0 * 4.5928555))",0.39357271566883784,-4.5928555*x0 + exp((x2**2/(x0**2 + 1))*exp(x1**8))*(-5.2445254) + 8.331118,PySRFunction(X=>-4.5928555*x0 + exp((x2**2/(x0**2 + 1))*exp(x1**8))*(-5.2445254) + 8.331118)
20,0.18172757,"(exp(exp(square(square(square(square(x1))))) * square(aq(x2, x0))) * -5.4611945) + (8.59588 - (x0 * 4.614848))",0.43602154359013107,-4.614848*x0 + exp((x2**2/(x0**2 + 1))*exp(x1**16))*(-5.4611945) + 8.59588,PySRFunction(X=>-4.614848*x0 + exp((x2**2/(x0**2 + 1))*exp(x1**16))*(-5.4611945) + 8.59588)
