Complexity,Loss,Equation,score,sympy_format,lambda_format
1,46.216045,-5.1147113,0.0,-5.11471130000000,PySRFunction(X=>-5.11471130000000)
3,30.520834,x2 * -10.229123,0.20745874989048815,x2*(-10.229123),PySRFunction(X=>x2*(-10.229123))
4,22.135561,log(0.8002232 - x2),0.3212241220462689,log(0.8002232 - x2),PySRFunction(X=>log(0.8002232 - x2))
5,20.057358,(x2 * -25.572973) + 10.229235,0.09858934136541551,10.229235 + x2*(-25.572973),PySRFunction(X=>10.229235 + x2*(-25.572973))
7,18.281408,"square(square(aq(x2, x1))) * -29.112452",0.04635574092238558,(x2**4/(x1**2 + 1)**2)*(-29.112452),PySRFunction(X=>(x2**4/(x1**2 + 1)**2)*(-29.112452))
8,17.5485,"aq((x2 * -42.060444) + 16.824032, exp(x1))",0.04091611095619553,(16.824032 + x2*(-42.060444))/sqrt(exp(2*x1) + 1),PySRFunction(X=>(16.824032 + x2*(-42.060444))/sqrt(exp(2*x1) + 1))
9,17.547031,"aq((x2 * -93.251755) + 37.29984, exp(exp(x1)))",8.371436242737514e-05,(37.29984 + x2*(-93.251755))/sqrt(exp(2*exp(x1)) + 1),PySRFunction(X=>(37.29984 + x2*(-93.251755))/sqrt(exp(2*exp(x1)) + 1))
10,16.992718,"aq((x2 * -66.016235) + 26.39729, square(x1 + 1.33645))",0.03209986246549032,(26.39729 + x2*(-66.016235))/sqrt((x1 + 1.33645)**4 + 1),PySRFunction(X=>(26.39729 + x2*(-66.016235))/sqrt((x1 + 1.33645)**4 + 1))
11,16.66884,"aq((x2 * -139.7065) + 55.857628, (x1 * 8.773631) + 3.8975148)",0.019243791087015724,(55.857628 + x2*(-139.7065))/sqrt((x1*8.773631 + 3.8975148)**2 + 1),PySRFunction(X=>(55.857628 + x2*(-139.7065))/sqrt((x1*8.773631 + 3.8975148)**2 + 1))
12,16.098627,((x2 * -16.350431) - -6.538918) * exp(square(square(x1 - 0.94818646))),0.034807119407887166,(x2*(-16.350431) - 1*(-6.538918))*exp((x1 - 1*0.94818646)**4),PySRFunction(X=>(x2*(-16.350431) - 1*(-6.538918))*exp((x1 - 1*0.94818646)**4))
13,15.285207,exp(square(square(square(x1 - 0.9787343)))) * ((x2 * -17.624428) - -7.051746),0.05184849091080101,(x2*(-17.624428) - 1*(-7.051746))*exp((x1 - 1*0.9787343)**8),PySRFunction(X=>(x2*(-17.624428) - 1*(-7.051746))*exp((x1 - 1*0.9787343)**8))
14,14.436616,exp(square(square(square(square(x1 - 0.9926658))))) * ((x2 * -19.099398) - -7.656377),0.05711774096982269,(x2*(-19.099398) - 1*(-7.656377))*exp((x1 - 1*0.9926658)**16),PySRFunction(X=>(x2*(-19.099398) - 1*(-7.656377))*exp((x1 - 1*0.9926658)**16))
15,14.241904,exp(square(square(square(square(square(0.99693024 - x1)))))) * ((x2 * -20.985434) - -8.422662),0.013579152059286026,(x2*(-20.985434) - 1*(-8.422662))*exp((0.99693024 - x1)**32),PySRFunction(X=>(x2*(-20.985434) - 1*(-8.422662))*exp((0.99693024 - x1)**32))
16,14.162957,((x2 * -20.255074) - -8.106576) * exp(square(square(square(square(0.9941637 - (x1 * 1.6150392)))))),0.0055587107631744,(x2*(-20.255074) - 1*(-8.106576))*exp((0.9941637 - 1.6150392*x1)**16),PySRFunction(X=>(x2*(-20.255074) - 1*(-8.106576))*exp((0.9941637 - 1.6150392*x1)**16))
17,13.921053,"aq(exp(square(square(square(square(square(x1 - 0.99410266)))))) * ((x2 * -22.216066) - -8.88296), x1)",0.01722759555078224,(x2*(-22.216066) - 1*(-8.88296))*exp((x1 - 1*0.99410266)**32)/sqrt(x1**2 + 1),PySRFunction(X=>(x2*(-22.216066) - 1*(-8.88296))*exp((x1 - 1*0.99410266)**32)/sqrt(x1**2 + 1))
18,13.861662,"((x2 * -21.59158) - -8.631285) * aq(exp(square(square(square(square(square(0.9953584 - x1)))))), square(x1))",0.0042753986043104954,(exp((0.9953584 - x1)**32)/sqrt(x1**4 + 1))*(x2*(-21.59158) - 1*(-8.631285)),PySRFunction(X=>(exp((0.9953584 - x1)**32)/sqrt(x1**4 + 1))*(x2*(-21.59158) - 1*(-8.631285)))
20,13.79584,"aq(exp(square(square(square(square(square(0.99410266 - x1)))))), square(x1) * 1.496392) * ((x2 * -22.216066) - -8.88296)",0.0023799012749002035,(exp((0.99410266 - x1)**32)/sqrt(2.239189017664*x1**4 + 1))*(x2*(-22.216066) - 1*(-8.88296)),PySRFunction(X=>(exp((0.99410266 - x1)**32)/sqrt(2.239189017664*x1**4 + 1))*(x2*(-22.216066) - 1*(-8.88296)))
