# param=Ap z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed1_sobolev/refit/z3.6/pareto_Ap.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,6.135993,0.12874572658947253,0.0004677843175225608,48,True,True
19,7.1142187,0.08938433202138052,0.0006133488044183527,48,True,True
18,10.143663,0.16451110591008722,9.370701921172096e-05,48,True,True
17,12.058823,0.22841522739812153,0.00021594418424739878,48,True,True
16,16.944492,0.20832071605058017,0.00043008717146557145,48,True,True
15,17.585484,0.19048873669485056,0.00045664829036873246,48,True,True
14,18.622337,0.09258971595596632,0.0007570562910424306,48,True,True
13,19.945593,0.05393001852352153,0.00070698680449951,48,True,True
12,19.976915,0.09854728954167646,0.0007782143431630612,48,True,True
11,21.876257,0.03183686445824263,0.0008265646696799648,48,True,True
10,29.10816,0.17050508951491117,0.000993587419179671,48,True,True
9,30.694042,0.16713991359923908,0.0032122322057572808,48,True,True
8,31.700401,0.07927637960147804,0.0028845870561269474,48,True,True
7,37.787685,0.16747621059234352,0.00014005645463109324,48,True,True
6,38.168335,0.19743068942295927,0.001463081839430364,48,True,True
5,39.43939,0.0897447413511081,0.00015742072401953665,48,True,True
4,47.210194,0.2836534399843684,0.000593423070362621,48,False,True
3,52.47654,0.3193268910131373,0.011859495722108518,48,False,True
2,74.2525,0.7344022763665445,0.014522935596450636,48,False,True
1,75.739235,0.7794182487952368,0.00468520906450457,48,False,True
