# param=herei z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed1_sobolev/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.6676944,0.06682191000122928,1.3403909101024785e-05,48,True,True
19,0.6832728,0.08407873011159539,1.3931041158088782e-05,48,True,True
18,0.7171812,0.08110491283934007,4.3110000151601915e-05,48,True,True
17,0.79690534,0.07269148381152901,7.471991535444811e-05,48,True,True
16,0.8282452,0.08086057861924911,0.00017833817485375856,48,True,True
15,0.8909644,0.06811734142042858,0.00023211623486306556,48,True,True
14,0.9402847,0.09269242020355395,0.00018101315954004813,48,True,True
13,1.011907,0.09040269650467236,0.0001784307501026995,48,True,True
12,1.0865233,0.06893248210737868,0.00014104684329031147,48,True,True
11,1.1093811,0.06910168297066754,0.00019790928178822434,48,True,True
10,1.2766128,0.16492457572856956,0.00022669781533462516,48,True,True
8,1.7651731,0.1411260272538738,9.312539206211128e-05,48,True,True
7,3.1108587,0.3793626215466137,0.0003694041739057245,48,False,True
6,3.198717,0.32177759748496015,0.00045341378380156624,48,False,True
5,4.051061,0.11576656976317357,0.0006386320398735192,48,True,True
4,8.923147,0.26819503406222867,0.0004309833998195504,48,False,True
3,10.02034,0.2936013687605046,0.007971403458617174,48,False,True
2,22.978804,0.2094573131786327,0.010857550738996169,48,True,True
1,24.636395,0.5149572584582809,0.0036206010108910053,48,False,True
