Complexity,Loss,Equation,score,sympy_format,lambda_format
1,128.00671,-4.6852336,0.0,-4.68523360000000,PySRFunction(X=>-4.68523360000000)
3,114.83489,x2 * -9.370767,0.05429366342441552,x2*(-9.370767),PySRFunction(X=>x2*(-9.370767))
4,106.927574,log(0.800221 - x2),0.0713436308002558,log(0.800221 - x2),PySRFunction(X=>log(0.800221 - x2))
5,91.55632,"aq(-6.894148, x0 + -0.68953186)",0.1551974247185935,-6.894148/sqrt((x0 - 0.68953186)**2 + 1),PySRFunction(X=>-6.894148/sqrt((x0 - 0.68953186)**2 + 1))
6,66.06611,"aq(-7.685278, log(x0 + x2))",0.3262983946931705,-7.685278/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-7.685278/sqrt(log(x0 + x2)**2 + 1))
7,54.70748,"aq(-6.744799, log(x0 + square(x2)))",0.1886554613940644,-6.744799/sqrt(log(x0 + x2**2)**2 + 1),PySRFunction(X=>-6.744799/sqrt(log(x0 + x2**2)**2 + 1))
8,41.57878,"aq(-5.2535543, square(log(square(x2) + x0)))",0.27441050499565395,-5.2535543/sqrt(log(x0 + x2**2)**4 + 1),PySRFunction(X=>-5.2535543/sqrt(log(x0 + x2**2)**4 + 1))
9,39.62027,"aq(-5.5904975, square(log(x2 + (x0 + -0.18845329))))",0.048249084982854615,-5.5904975/sqrt(log(x0 + x2 - 0.18845329)**4 + 1),PySRFunction(X=>-5.5904975/sqrt(log(x0 + x2 - 0.18845329)**4 + 1))
10,30.597723,square(log(square(x0 + x2))) - (x2 * 10.123354),0.25841526156227834,-10.123354*x2 + log((x0 + x2)**2)**2,PySRFunction(X=>-10.123354*x2 + log((x0 + x2)**2)**2)
11,24.8241,square(log(square(x0 + x2))) - square(x2 * 3.8287485),0.2091106389273192,-14.6593150762523*x2**2 + log((x0 + x2)**2)**2,PySRFunction(X=>-14.6593150762523*x2**2 + log((x0 + x2)**2)**2)
12,20.640594,"aq(square(log(square(x0 + x2))) + 62.50152, x2) + -58.563442",0.18455523622859737,-58.563442 + (log((x0 + x2)**2)**2 + 62.50152)/sqrt(x2**2 + 1),PySRFunction(X=>-58.563442 + (log((x0 + x2)**2)**2 + 62.50152)/sqrt(x2**2 + 1))
13,20.055092,"square(log(square(aq(x0, x2) + x2))) - square(x2 * -3.7924194)",0.02877663267283371,-14.3824449054964*x2**2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2,PySRFunction(X=>-14.3824449054964*x2**2 + log((x0/sqrt(x2**2 + 1) + x2)**2)**2)
14,17.92218,"aq(square(log(square(aq(x2 + x0, x2)))) + 60.565823, x2) + -56.915787",0.11244403466266588,-56.915787 + (log((x0 + x2)**2/(x2**2 + 1))**2 + 60.565823)/sqrt(x2**2 + 1),PySRFunction(X=>-56.915787 + (log((x0 + x2)**2/(x2**2 + 1))**2 + 60.565823)/sqrt(x2**2 + 1))
15,17.304876,"aq(square(log(square(aq(x0 + x2, square(x2))))) + 62.28904, x2) + -58.309418",0.03505074043097242,-58.309418 + (log((x0 + x2)**2/(x2**4 + 1))**2 + 62.28904)/sqrt(x2**2 + 1),PySRFunction(X=>-58.309418 + (log((x0 + x2)**2/(x2**4 + 1))**2 + 62.28904)/sqrt(x2**2 + 1))
16,15.406571,"square(log(square(x2 + x0))) + aq(12.75777 - (x2 * 33.093147), aq(-1.1024765, x0))",0.11619420477684736,log((x0 + x2)**2)**2 + (12.75777 - 33.093147*x2)/sqrt(1 + 1.21545443305225/(x0**2 + 1)),PySRFunction(X=>log((x0 + x2)**2)**2 + (12.75777 - 33.093147*x2)/sqrt(1 + 1.21545443305225/(x0**2 + 1)))
17,13.586405,"aq((x2 * -35.585926) + 13.724517, aq(exp(x1), x0)) + square(log(square(x0 + x2)))",0.1257244463022716,log((x0 + x2)**2)**2 + (13.724517 - 35.585926*x2)/sqrt(1 + exp(2*x1)/(x0**2 + 1)),PySRFunction(X=>log((x0 + x2)**2)**2 + (13.724517 - 35.585926*x2)/sqrt(1 + exp(2*x1)/(x0**2 + 1)))
18,13.53018,"square(log(square(x0 + x2))) + aq(12.112643 - (x2 * 31.92585), aq(x2 + x1, x0))",0.004146914559825342,log((x0 + x2)**2)**2 + (12.112643 - 31.92585*x2)/sqrt(1 + (x1 + x2)**2/(x0**2 + 1)),PySRFunction(X=>log((x0 + x2)**2)**2 + (12.112643 - 31.92585*x2)/sqrt(1 + (x1 + x2)**2/(x0**2 + 1)))
19,12.208517,"aq((x2 * -35.585926) + 13.724517, aq(exp(x1), x0)) + square(log(square(x2 + aq(x0, x1))))",0.10278892293904664,log((x0/sqrt(x1**2 + 1) + x2)**2)**2 + (13.724517 - 35.585926*x2)/sqrt(1 + exp(2*x1)/(x0**2 + 1)),PySRFunction(X=>log((x0/sqrt(x1**2 + 1) + x2)**2)**2 + (13.724517 - 35.585926*x2)/sqrt(1 + exp(2*x1)/(x0**2 + 1)))
20,12.054254,"square(log(square(aq(x0, x1) + x2))) + aq(12.112643 - (x2 * 31.92585), aq(x2 + x1, x0))",0.012716196242341363,log((x0/sqrt(x1**2 + 1) + x2)**2)**2 + (12.112643 - 31.92585*x2)/sqrt(1 + (x1 + x2)**2/(x0**2 + 1)),PySRFunction(X=>log((x0/sqrt(x1**2 + 1) + x2)**2)**2 + (12.112643 - 31.92585*x2)/sqrt(1 + (x1 + x2)**2/(x0**2 + 1)))
