Complexity,Loss,Equation,score,sympy_format,lambda_format
1,120.60545,-3.373766,0.0,-3.37376600000000,PySRFunction(X=>-3.37376600000000)
3,56.24616,x0 * -3.7699366,0.38139335094876436,x0*(-3.7699366),PySRFunction(X=>x0*(-3.7699366))
5,38.239635,"aq(x0 * -5.6471896, x0)",0.1929326144645103,-5.6471896*x0/sqrt(x0**2 + 1),PySRFunction(X=>-5.6471896*x0/sqrt(x0**2 + 1))
6,32.462425,"aq(x0 * -10.728126, exp(x0))",0.16378927653047495,-10.728126*x0/sqrt(exp(2*x0) + 1),PySRFunction(X=>-10.728126*x0/sqrt(exp(2*x0) + 1))
7,30.93612,square(exp(0.7176798 - x0)) - 5.199784,0.04815883335466946,-1*5.199784 + 4.20115547269822*exp(-2*x0),PySRFunction(X=>-1*5.199784 + 4.20115547269822*exp(-2*x0))
8,25.88403,exp(1.8318571 - x0) - (x2 * 12.679941),0.17829825706192173,-12.679941*x2 + exp(1.8318571 - x0),PySRFunction(X=>-12.679941*x2 + exp(1.8318571 - x0))
9,20.923574,exp(exp(0.52482575 - x0)) - exp(exp(x2)),0.21274971030630113,-exp(exp(x2)) + exp(exp(0.52482575 - x0)),PySRFunction(X=>-exp(exp(x2)) + exp(exp(0.52482575 - x0)))
10,19.81745,exp(exp(0.5218192 - x0)) - exp(x2 * 2.8509018),0.0543136032017902,-exp(x2*2.8509018) + exp(exp(0.5218192 - x0)),PySRFunction(X=>-exp(x2*2.8509018) + exp(exp(0.5218192 - x0)))
11,16.935406,"exp(exp(aq(0.65525603 - x0, x2))) - exp(exp(x2))",0.15715640270274184,-exp(exp(x2)) + exp(exp((0.65525603 - x0)/sqrt(x2**2 + 1))),PySRFunction(X=>-exp(exp(x2)) + exp(exp((0.65525603 - x0)/sqrt(x2**2 + 1))))
12,16.226501,"exp(exp(aq(0.65340954 - x0, x2))) - exp(x2 * 2.8892198)",0.0427606901332043,-exp(x2*2.8892198) + exp(exp((0.65340954 - x0)/sqrt(x2**2 + 1))),PySRFunction(X=>-exp(x2*2.8892198) + exp(exp((0.65340954 - x0)/sqrt(x2**2 + 1))))
13,16.10116,"exp(exp(aq(0.59576523 - x0, square(x2)))) - exp(x2 * 2.8730993)",0.007754450783059739,-exp(x2*2.8730993) + exp(exp((0.59576523 - x0)/sqrt(x2**4 + 1))),PySRFunction(X=>-exp(x2*2.8730993) + exp(exp((0.59576523 - x0)/sqrt(x2**4 + 1))))
14,14.148431,"exp(exp(aq(0.6143459 - x0, x0 - square(x2)))) - exp(exp(x2))",0.12928758453540143,-exp(exp(x2)) + exp(exp((0.6143459 - x0)/sqrt((x0 - x2**2)**2 + 1))),PySRFunction(X=>-exp(exp(x2)) + exp(exp((0.6143459 - x0)/sqrt((x0 - x2**2)**2 + 1))))
15,13.36934,"exp(exp(aq(0.61226916 - x0, x0 - square(x2)))) - exp(x2 * 2.8892198)",0.05663970890192262,-exp(x2*2.8892198) + exp(exp((0.61226916 - x0)/sqrt((x0 - x2**2)**2 + 1))),PySRFunction(X=>-exp(x2*2.8892198) + exp(exp((0.61226916 - x0)/sqrt((x0 - x2**2)**2 + 1))))
16,10.453707,"exp(exp(0.59260714 - aq(x0, exp(x0) - (x2 * 3.5369732)))) - (x2 * 12.301522)",0.24600737329839256,-12.301522*x2 + exp(exp(0.59260714 - x0/sqrt((-3.5369732*x2 + exp(x0))**2 + 1))),PySRFunction(X=>-12.301522*x2 + exp(exp(0.59260714 - x0/sqrt((-3.5369732*x2 + exp(x0))**2 + 1))))
17,9.22978,"exp(exp(0.59083843 - aq(x0, (x2 * 3.5783143) - exp(x0)))) - exp(x2 * 2.951255)",0.12452143943760244,-exp(x2*2.951255) + exp(exp(0.59083843 - x0/sqrt((x2*3.5783143 - exp(x0))**2 + 1))),PySRFunction(X=>-exp(x2*2.951255) + exp(exp(0.59083843 - x0/sqrt((x2*3.5783143 - exp(x0))**2 + 1))))
18,9.199404,"exp(exp(0.59125274 - aq(x0, (x2 * 3.5871637) - exp(x0)))) - ((x2 * 17.751398) - 3.6225233)",0.003296513563269982,-(x2*17.751398 - 1*3.6225233) + exp(exp(0.59125274 - x0/sqrt((x2*3.5871637 - exp(x0))**2 + 1))),PySRFunction(X=>-(x2*17.751398 - 1*3.6225233) + exp(exp(0.59125274 - x0/sqrt((x2*3.5871637 - exp(x0))**2 + 1))))
19,8.755203,"exp(exp(0.59877956 - aq(x0, (exp(x0) - (x2 * 4.612298)) - -0.615811))) - exp(x2 * 2.969569)",0.04949054712838016,-exp(x2*2.969569) + exp(exp(0.59877956 - x0/sqrt((-4.612298*x2 + exp(x0) - 1*(-0.615811))**2 + 1))),PySRFunction(X=>-exp(x2*2.969569) + exp(exp(0.59877956 - x0/sqrt((-4.612298*x2 + exp(x0) - 1*(-0.615811))**2 + 1))))
20,8.426363,"exp(exp(1.0756257 - aq(x0, exp(x0) - (x2 * 4.1293197))) + -1.3975786) - ((x2 * 17.8674) - 5.124415)",0.038282908650619396,-(x2*17.8674 - 1*5.124415) + exp(exp(1.0756257 - x0/sqrt((-4.1293197*x2 + exp(x0))**2 + 1)) - 1.3975786),PySRFunction(X=>-(x2*17.8674 - 1*5.124415) + exp(exp(1.0756257 - x0/sqrt((-4.1293197*x2 + exp(x0))**2 + 1)) - 1.3975786))
