Complexity,Loss,Equation,score,sympy_format,lambda_format
1,71.14633,-0.7482839,0.0,-0.748283900000000,PySRFunction(X=>-0.748283900000000)
2,67.87984,square(x0),0.046999658776476244,x0**2,PySRFunction(X=>x0**2)
3,65.44556,x0 * x1,0.03652043125198541,x0*x1,PySRFunction(X=>x0*x1)
4,61.91178,x1 * exp(x0),0.05550818347932741,x1*exp(x0),PySRFunction(X=>x1*exp(x0))
5,55.01515,(x0 * 4.7682657) * x1,0.11810186668388135,x0*4.7682657*x1,PySRFunction(X=>x0*4.7682657*x1)
7,47.824017,((x1 + -0.20600691) * x0) * 7.656113,0.07004032041785588,(x1 - 0.20600691)*x0*7.656113,PySRFunction(X=>(x1 - 0.20600691)*x0*7.656113)
8,40.736263,x0 * log((x1 + 0.0008867672) * 13.854229),0.1604092824516078,x0*log(13.854229*x1 + 0.0122854758584888),PySRFunction(X=>x0*log(13.854229*x1 + 0.0122854758584888))
9,27.757101,"x0 * (aq(-8.309815, x1 * 18.028864) + 4.2418346)",0.38362697921037847,x0*(4.2418346 - 8.309815/sqrt(325.039937130496*x1**2 + 1)),PySRFunction(X=>x0*(4.2418346 - 8.309815/sqrt(325.039937130496*x1**2 + 1)))
10,24.348503,"x0 * (aq(-6.808542, x1 * 25.386753) + exp(x0))",0.13102133015029244,x0*(exp(x0) - 6.808542/sqrt(644.487227883009*x1**2 + 1)),PySRFunction(X=>x0*(exp(x0) - 6.808542/sqrt(644.487227883009*x1**2 + 1)))
11,18.076437,"aq(-11.117167, x0 + aq(-1.2771543, x1 * 30.314167)) + 9.303325",0.2978611022399024,9.303325 - 11.117167/sqrt((x0 - 1.2771543/sqrt(918.948720903889*x1**2 + 1))**2 + 1),PySRFunction(X=>9.303325 - 11.117167/sqrt((x0 - 1.2771543/sqrt(918.948720903889*x1**2 + 1))**2 + 1))
12,13.631402,"aq(-11.077844, x0 + aq(-1.9462091, exp(x1 * 16.395918))) + 9.058067",0.2822331652055281,9.058067 - 11.077844/sqrt((x0 - 1.9462091/sqrt(exp(32.791836*x1) + 1))**2 + 1),PySRFunction(X=>9.058067 - 11.077844/sqrt((x0 - 1.9462091/sqrt(exp(32.791836*x1) + 1))**2 + 1))
13,11.571748,"aq(-10.6205845, aq(-1.8242389, x1 * 16.209297) + (x0 + 0.5932101)) + 8.181667",0.16380949157947886,8.181667 - 10.6205845/sqrt((x0 + 0.5932101 - 1.8242389/sqrt(262.741309234209*x1**2 + 1))**2 + 1),PySRFunction(X=>8.181667 - 10.6205845/sqrt((x0 + 0.5932101 - 1.8242389/sqrt(262.741309234209*x1**2 + 1))**2 + 1))
15,8.463471,"((x1 * 207.68684) - aq(24.383017, x0)) * aq(x0, -5.132894 - (x1 * -68.62388))",0.15640361850582524,(x0/sqrt((-(-68.62388)*x1 - 5.132894)**2 + 1))*(x1*207.68684 - 24.383017/sqrt(x0**2 + 1)),PySRFunction(X=>(x0/sqrt((-(-68.62388)*x1 - 5.132894)**2 + 1))*(x1*207.68684 - 24.383017/sqrt(x0**2 + 1)))
17,6.6264896,"aq(((x1 * 279.2223) - aq(30.203354, aq(x0, x2))) * x0, -6.7675495 - (x1 * -90.46475))",0.12234209064067234,x0*(x1*279.2223 - 30.203354/sqrt(x0**2/(x2**2 + 1) + 1))/sqrt((-(-90.46475)*x1 - 6.7675495)**2 + 1),PySRFunction(X=>x0*(x1*279.2223 - 30.203354/sqrt(x0**2/(x2**2 + 1) + 1))/sqrt((-(-90.46475)*x1 - 6.7675495)**2 + 1))
18,6.614032,"((x1 * 242.91408) - aq(27.283398, aq(x0, square(x2)))) * aq(x0, -5.9097505 - (x1 * -78.73451))",0.001881739111542294,(x0/sqrt((-(-78.73451)*x1 - 5.9097505)**2 + 1))*(x1*242.91408 - 27.283398/sqrt(x0**2/(x2**4 + 1) + 1)),PySRFunction(X=>(x0/sqrt((-(-78.73451)*x1 - 5.9097505)**2 + 1))*(x1*242.91408 - 27.283398/sqrt(x0**2/(x2**4 + 1) + 1)))
19,5.6261806,"((x1 * 272.3739) - aq(29.353668, aq(x0, x2))) * (aq(x0, -6.5023985 - (x1 * -86.37919)) - 0.011678705)",0.16176264225758064,(x1*272.3739 - 29.353668/sqrt(x0**2/(x2**2 + 1) + 1))*(x0/sqrt((-(-86.37919)*x1 - 6.5023985)**2 + 1) - 1*0.011678705),PySRFunction(X=>(x1*272.3739 - 29.353668/sqrt(x0**2/(x2**2 + 1) + 1))*(x0/sqrt((-(-86.37919)*x1 - 6.5023985)**2 + 1) - 1*0.011678705))
