Complexity,Loss,Equation,score,sympy_format,lambda_format
1,146.8596,x0,0.0,x0,PySRFunction(X=>x0)
2,134.52795,square(x0),0.08770504419281258,x0**2,PySRFunction(X=>x0**2)
3,112.4736,"aq(-6.6491594, x0)",0.17905345670524628,-6.6491594/sqrt(x0**2 + 1),PySRFunction(X=>-6.6491594/sqrt(x0**2 + 1))
4,107.43931,"aq(-6.1093044, square(x0))",0.045792397434046644,-6.1093044/sqrt(x0**4 + 1),PySRFunction(X=>-6.1093044/sqrt(x0**4 + 1))
5,93.043076,"aq(-7.9151845, exp(square(x0)))",0.1438635612923153,-7.9151845/sqrt(exp(2*x0**2) + 1),PySRFunction(X=>-7.9151845/sqrt(exp(2*x0**2) + 1))
6,90.34395,(square(x0) + -1.336984) * 3.1628277,0.02943851573188385,(x0**2 - 1.336984)*3.1628277,PySRFunction(X=>(x0**2 - 1.336984)*3.1628277)
7,84.93028,"(x2 * aq(-17.840048, x0)) - -6.2551923",0.06179336836186277,x2*(-17.840048/sqrt(x0**2 + 1)) - 1*(-6.2551923),PySRFunction(X=>x2*(-17.840048/sqrt(x0**2 + 1)) - 1*(-6.2551923))
8,83.060455,(x2 * -7.9877524) + (square(x0) * 3.1888196),0.022261968463831373,x0**2*3.1888196 + x2*(-7.9877524),PySRFunction(X=>x0**2*3.1888196 + x2*(-7.9877524))
9,80.87952,(square(x2 + x2) - square(x0)) * -3.0619342,0.02660807617883307,(-x0**2 + (x2 + x2)**2)*(-3.0619342),PySRFunction(X=>(-x0**2 + (x2 + x2)**2)*(-3.0619342))
10,77.63294,square((x0 + x0) - x1) - (x2 * 7.8150253),0.040968818319322226,-7.8150253*x2 + (x0 + x0 - x1)**2,PySRFunction(X=>-7.8150253*x2 + (x0 + x0 - x1)**2)
11,75.09622,square(x0 + (x0 - x1)) - (square(x2) * 11.146532),0.033221597043316335,-11.146532*x2**2 + (x0 + x0 - x1)**2,PySRFunction(X=>-11.146532*x2**2 + (x0 + x0 - x1)**2)
12,74.75492,(square((x0 + x0) - x1) + 5.3644032) + (x2 * -15.866299),0.004555195111078492,x2*(-15.866299) + (x0 + x0 - x1)**2 + 5.3644032,PySRFunction(X=>x2*(-15.866299) + (x0 + x0 - x1)**2 + 5.3644032)
13,73.93818,"((aq(x2, x0) * -13.583189) + 2.7114758) + exp(square(x0 - x1))",0.010985690849584447,(x2/sqrt(x0**2 + 1))*(-13.583189) + exp((x0 - x1)**2) + 2.7114758,PySRFunction(X=>(x2/sqrt(x0**2 + 1))*(-13.583189) + exp((x0 - x1)**2) + 2.7114758)
14,70.207016,"exp(x0 + 0.6771598) + aq(x2 * -11.852265, square(log(x0 + x2)))",0.05178108959546561,-11.852265*x2/sqrt(log(x0 + x2)**4 + 1) + 1.96827947853874*exp(x0),PySRFunction(X=>-11.852265*x2/sqrt(log(x0 + x2)**4 + 1) + 1.96827947853874*exp(x0))
16,66.19546,"exp(aq(x0 + 0.8041105, x1)) + (x2 * aq(-12.138632, square(log(x0 + x2))))",0.02941818426345894,-12.138632*x2/sqrt(log(x0 + x2)**4 + 1) + exp((x0 + 0.8041105)/sqrt(x1**2 + 1)),PySRFunction(X=>-12.138632*x2/sqrt(log(x0 + x2)**4 + 1) + exp((x0 + 0.8041105)/sqrt(x1**2 + 1)))
17,65.96424,"(aq(x2, square(log(x0 + x2))) * -11.896906) + exp((x0 + 0.80170107) - square(x1))",0.0034991035227248187,-11.896906*x2/sqrt(log(x0 + x2)**4 + 1) + 2.22932995118244*exp(x0 - x1**2),PySRFunction(X=>-11.896906*x2/sqrt(log(x0 + x2)**4 + 1) + 2.22932995118244*exp(x0 - x1**2))
18,64.4552,"(aq(-12.017498, square(log(x0 + aq(x2, x1)))) * x2) + exp(aq(x0 + 0.8196204, x1))",0.023142368177805017,-12.017498*x2/sqrt(log(x0 + x2/sqrt(x1**2 + 1))**4 + 1) + exp((x0 + 0.8196204)/sqrt(x1**2 + 1)),PySRFunction(X=>-12.017498*x2/sqrt(log(x0 + x2/sqrt(x1**2 + 1))**4 + 1) + exp((x0 + 0.8196204)/sqrt(x1**2 + 1)))
19,64.41385,"exp(aq(x0 + 0.814132, x1)) + (x2 * aq(-12.147765, square(log(x0 + aq(x2, square(x1))))))",0.0006417367307215384,-12.147765*x2/sqrt(log(x0 + x2/sqrt(x1**4 + 1))**4 + 1) + exp((x0 + 0.814132)/sqrt(x1**2 + 1)),PySRFunction(X=>-12.147765*x2/sqrt(log(x0 + x2/sqrt(x1**4 + 1))**4 + 1) + exp((x0 + 0.814132)/sqrt(x1**2 + 1)))
20,64.27298,"(x2 * aq(-12.28521, square(log(x0 + aq(x2, x1))))) + (x1 + exp(aq(x0 + 0.8172438, x1)))",0.0021893469016002554,x1 - 12.28521*x2/sqrt(log(x0 + x2/sqrt(x1**2 + 1))**4 + 1) + exp((x0 + 0.8172438)/sqrt(x1**2 + 1)),PySRFunction(X=>x1 - 12.28521*x2/sqrt(log(x0 + x2/sqrt(x1**2 + 1))**4 + 1) + exp((x0 + 0.8172438)/sqrt(x1**2 + 1)))
