# param=dtau0 z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed1_value/refit/z3.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.00085624296,0.008551149706541639,1.918984742105451e-06,48,True,True
19,0.0009512638,0.008378159626775072,2.054989924561269e-06,48,True,True
18,0.00096054235,0.008721724154021893,2.1372966624120335e-06,48,True,True
16,0.0010437251,0.008551641652739084,2.2423458688343893e-06,48,True,True
15,0.0012398496,0.008550381870802481,2.8188828653020683e-06,48,True,True
14,0.0014726233,0.008232833117136185,2.6797104369690308e-06,48,True,True
13,0.0016300344,0.008551480424043578,2.9668872773461796e-06,48,True,True
12,0.0019947106,0.007495432418199555,2.8712708165583132e-06,48,True,True
11,0.003209866,0.003976648320059173,3.619800412468931e-06,48,True,True
10,0.0046013184,0.023687473398210757,4.461207948218152e-06,48,True,True
9,0.019113036,0.06739384630496498,1.900328062606907e-05,48,True,True
8,0.030782359,0.024756929701387154,6.789018994481316e-05,48,True,True
7,0.048714757,0.08373918756704773,8.833459745697402e-05,48,True,True
5,0.08669644,0.04074509811767557,7.17593256060848e-05,48,True,True
4,0.5191014,0.5816754325867215,0.00042509413814567225,48,False,True
3,0.8041895,0.7095447301906518,0.0009575323406223625,48,False,True
