# param=heref z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed1_value/refit/z3.6/pareto_heref.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.7183877,0.0792288581197651,2.7278218225244047e-05,48,True,True
19,0.73923093,0.092435791947447,2.6335274294711867e-05,48,True,True
18,0.7491057,0.08023833403200414,2.723762802013083e-05,48,True,True
17,0.7597286,0.0898149461291769,2.6330033262007772e-05,48,True,True
15,0.80911446,0.07178923067255283,2.9662410864327368e-05,48,True,True
14,1.0422164,0.07554438035292749,4.631341648018109e-05,48,True,True
13,1.2749348,0.07036072016100792,6.895784813440981e-05,48,True,True
12,1.2904692,0.06844346004803159,7.13825226127674e-05,48,True,True
11,1.4216115,0.07912491150148115,7.22058366656807e-05,48,True,True
10,1.5532793,0.14819590963151041,8.169765196107763e-05,48,True,True
9,1.9337199,0.14549060076769516,0.00012686837617045216,48,True,True
8,2.2423701,0.04507123050286721,0.0001799167118848655,48,True,True
7,2.3338473,0.17701494992298455,0.00018398844466851563,48,True,True
6,4.2275977,0.3014323589660407,0.00017315649496050774,48,False,True
