Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.8447642,-0.50308967,0.0,-0.503089670000000,PySRFunction(X=>-0.503089670000000)
3,1.3571283,x0 + -1.0029902,0.15349027063441864,x0 - 1.0029902,PySRFunction(X=>x0 - 1.0029902)
4,1.0249573,log(x0 + 0.08123089),0.28071996999181986,log(x0 + 0.08123089),PySRFunction(X=>log(x0 + 0.08123089))
5,0.69417584,(x0 - x2) * 3.2039337,0.38968093199665577,(x0 - x2)*3.2039337,PySRFunction(X=>(x0 - x2)*3.2039337)
6,0.68254864,(x0 * 2.8658168) - exp(x2),0.016891508252544835,x0*2.8658168 - exp(x2),PySRFunction(X=>x0*2.8658168 - exp(x2))
7,0.58535486,((x0 - x2) * 3.0205991) - x1,0.15361553030290231,-x1 + (x0 - x2)*3.0205991,PySRFunction(X=>-x1 + (x0 - x2)*3.0205991)
8,0.58447737,(x0 * 3.2383323) - (exp(x2) + x1),0.0015001983054833451,x0*3.2383323 - (x1 + exp(x2)),PySRFunction(X=>x0*3.2383323 - (x1 + exp(x2)))
9,0.5586248,((3.3935778 - x0) * (x0 - x2)) - x1,0.04524001407897343,-x1 + (3.3935778 - x0)*(x0 - x2),PySRFunction(X=>-x1 + (3.3935778 - x0)*(x0 - x2))
10,0.5200408,(x0 * 3.2043006) - exp((x1 + 0.90070254) * x2),0.07157077919563369,x0*3.2043006 - exp(x2*(x1 + 0.90070254)),PySRFunction(X=>x0*3.2043006 - exp(x2*(x1 + 0.90070254)))
11,0.500132,(x0 * 3.23182) - exp((x1 * square(x2)) + x2),0.03903520645566522,x0*3.23182 - exp(x1*x2**2 + x2),PySRFunction(X=>x0*3.23182 - exp(x1*x2**2 + x2))
12,0.48481247,"aq((x0 * 3.4119203) - exp(x2 * (x1 + 1.0226598)), x1)",0.031109907208827996,(x0*3.4119203 - exp(x2*(x1 + 1.0226598)))/sqrt(x1**2 + 1),PySRFunction(X=>(x0*3.4119203 - exp(x2*(x1 + 1.0226598)))/sqrt(x1**2 + 1))
13,0.46675777,"aq((x0 * 3.3578727) - exp((x1 + 0.9909136) * x2), square(x1))",0.03795172706090748,(x0*3.3578727 - exp(x2*(x1 + 0.9909136)))/sqrt(x1**4 + 1),PySRFunction(X=>(x0*3.3578727 - exp(x2*(x1 + 0.9909136)))/sqrt(x1**4 + 1))
14,0.3844246,"(x0 * 3.3335497) - exp(x2 + aq(x2, (x1 + -0.7716626) * 11.560088))",0.19406275842442802,x0*3.3335497 - exp(x2 + x2/sqrt(133.635634567744*(x1 - 0.7716626)**2 + 1)),PySRFunction(X=>x0*3.3335497 - exp(x2 + x2/sqrt(133.635634567744*(x1 - 0.7716626)**2 + 1)))
15,0.377066,"(x0 * 3.165835) - exp(aq(x2, square((x1 + -0.7644111) * -9.45027)) + x2)",0.019327432447470823,x0*3.165835 - exp(x2 + x2/sqrt(7975.84796662666*(x1 - 0.7644111)**4 + 1)),PySRFunction(X=>x0*3.165835 - exp(x2 + x2/sqrt(7975.84796662666*(x1 - 0.7644111)**4 + 1)))
16,0.3524444,"(x0 * 3.264732) - exp(exp(aq(x2, (x1 + -0.7733078) * -11.636512) + log(x2)))",0.06752735912358296,3.264732*x0 - exp(x2*exp(x2/sqrt((8.9986054943936 - 11.636512*x1)**2 + 1))),PySRFunction(X=>3.264732*x0 - exp(x2*exp(x2/sqrt((8.9986054943936 - 11.636512*x1)**2 + 1))))
17,0.34855127,"(x0 * 3.1756835) - exp(square(aq(x2 * -1.2605845, (x1 + -0.7724431) * -8.74558)) + x2)",0.011107543722717996,x0*3.1756835 - exp(1.58907328164025*x2**2/(76.4851695364*(x1 - 0.7724431)**2 + 1) + x2),PySRFunction(X=>x0*3.1756835 - exp(1.58907328164025*x2**2/(76.4851695364*(x1 - 0.7724431)**2 + 1) + x2))
18,0.3136359,"aq((x0 * 3.5155437) - exp(exp(aq(x2, (x1 + -0.7687511) * 9.095313) + log(x2))), x0)",0.10555257662731574,(3.5155437*x0 - exp(x2*exp(x2/sqrt((9.095313*x1 - 6.9920318735943)**2 + 1))))/sqrt(x0**2 + 1),PySRFunction(X=>(3.5155437*x0 - exp(x2*exp(x2/sqrt((9.095313*x1 - 6.9920318735943)**2 + 1))))/sqrt(x0**2 + 1))
19,0.285699,"(x0 * 3.0384867) - exp(square(aq(x2 * (1.6286527 - x0), (x1 + -0.7658814) * 9.186809)) + x2)",0.09329394990947983,x0*3.0384867 - exp(x2**2*(1.6286527 - x0)**2/(84.397459602481*(x1 - 0.7658814)**2 + 1) + x2),PySRFunction(X=>x0*3.0384867 - exp(x2**2*(1.6286527 - x0)**2/(84.397459602481*(x1 - 0.7658814)**2 + 1) + x2))
20,0.27033782,"aq((x0 * 3.8606133) - exp(x2 + aq(x2 * 1.7869635, (x1 + -0.7742378) * -12.306638)), x0 + x1)",0.055266446951933605,(x0*3.8606133 - exp(x2 + 1.7869635*x2/sqrt(151.453338863044*(x1 - 0.7742378)**2 + 1)))/sqrt((x0 + x1)**2 + 1),PySRFunction(X=>(x0*3.8606133 - exp(x2 + 1.7869635*x2/sqrt(151.453338863044*(x1 - 0.7742378)**2 + 1)))/sqrt((x0 + x1)**2 + 1))
