Complexity,Loss,Equation,score,sympy_format,lambda_format
1,25.033516,-4.685369,0.0,-4.68536900000000,PySRFunction(X=>-4.68536900000000)
3,11.861688,x2 * -9.371143,0.3734509282103289,x2*(-9.371143),PySRFunction(X=>x2*(-9.371143))
4,3.5098648,log(0.800098 - x2),1.217736192374717,log(0.800098 - x2),PySRFunction(X=>log(0.800098 - x2))
5,3.0804708,(x2 * -23.427765) + 9.371327,0.13049507577052116,9.371327 + x2*(-23.427765),PySRFunction(X=>9.371327 + x2*(-23.427765))
6,2.6077702,"aq(log(0.800098 - x2), x1)",0.16658691576162574,log(0.800098 - x2)/sqrt(x1**2 + 1),PySRFunction(X=>log(0.800098 - x2)/sqrt(x1**2 + 1))
7,1.7788241,"(x2 * aq(-24.587831, x1)) - -9.32166",0.38254299866299135,x2*(-24.587831/sqrt(x1**2 + 1)) - 1*(-9.32166),PySRFunction(X=>x2*(-24.587831/sqrt(x1**2 + 1)) - 1*(-9.32166))
8,1.4631166,"aq((x2 * -38.327454) + 15.331012, exp(x1))",0.19538370991196927,(15.331012 + x2*(-38.327454))/sqrt(exp(2*x1) + 1),PySRFunction(X=>(15.331012 + x2*(-38.327454))/sqrt(exp(2*x1) + 1))
9,1.4036133,"aq((x2 * -26.936712) + 10.774686, x1 * 2.0585377)",0.04151897779417804,(10.774686 + x2*(-26.936712))/sqrt(4.23757746232129*x1**2 + 1),PySRFunction(X=>(10.774686 + x2*(-26.936712))/sqrt(4.23757746232129*x1**2 + 1))
10,1.3561981,"aq((x2 * -38.3272) + 16.123554, exp(x1)) - x0",0.03436457002279762,-x0 + (16.123554 + x2*(-38.3272))/sqrt(exp(2*x1) + 1),PySRFunction(X=>-x0 + (16.123554 + x2*(-38.3272))/sqrt(exp(2*x1) + 1))
11,1.2828888,"aq((x2 * -26.83871) + 11.287963, x1 + x1) - x0",0.05557086027886067,-x0 + (11.287963 + x2*(-26.83871))/sqrt((x1 + x1)**2 + 1),PySRFunction(X=>-x0 + (11.287963 + x2*(-26.83871))/sqrt((x1 + x1)**2 + 1))
13,1.2686961,"aq((x2 * -26.837713) + 10.581417, x1 + x1) - (x0 + -0.6390624)",0.005562364933766557,(10.581417 + x2*(-26.837713))/sqrt((x1 + x1)**2 + 1) - (x0 - 0.6390624),PySRFunction(X=>(10.581417 + x2*(-26.837713))/sqrt((x1 + x1)**2 + 1) - (x0 - 0.6390624))
14,1.204935,"aq((x2 * -26.839968) + 10.218802, x1 + x1) - log(x0 + 0.19783744)",0.051564056567934204,(10.218802 - 26.839968*x2)/sqrt(4*x1**2 + 1) - log(x0 + 0.19783744),PySRFunction(X=>(10.218802 - 26.839968*x2)/sqrt(4*x1**2 + 1) - log(x0 + 0.19783744))
15,1.1376754,"aq((x2 * -25.080532) + 9.434658, x1 + x1) - log(x0 + square(x2))",0.057438565821080506,(9.434658 - 25.080532*x2)/sqrt(4*x1**2 + 1) - log(x0 + x2**2),PySRFunction(X=>(9.434658 - 25.080532*x2)/sqrt(4*x1**2 + 1) - log(x0 + x2**2))
16,1.0839392,"aq((x2 * -24.698996) + 8.872459, x1 + x1) - log((x0 + x2) + -0.37737274)",0.04838524487436033,(8.872459 - 24.698996*x2)/sqrt(4*x1**2 + 1) - log(x0 + x2 - 0.37737274),PySRFunction(X=>(8.872459 - 24.698996*x2)/sqrt(4*x1**2 + 1) - log(x0 + x2 - 0.37737274))
17,1.0665098,"aq((x2 * -24.954136) + 8.699975, x1 + x1) - log(log((x0 + x2) + 0.61571884))",0.01621036506072543,(8.699975 - 24.954136*x2)/sqrt(4*x1**2 + 1) - log(log(x0 + x2 + 0.61571884)),PySRFunction(X=>(8.699975 - 24.954136*x2)/sqrt(4*x1**2 + 1) - log(log(x0 + x2 + 0.61571884)))
18,1.0305246,"aq((x0 + 8.278179) + (x2 * -24.609447), x1 + x1) - log(x2 + (x0 + -0.3896112))",0.03432345485253286,-log(x0 + x2 - 0.3896112) + (x0 - 24.609447*x2 + 8.278179)/sqrt(4*x1**2 + 1),PySRFunction(X=>-log(x0 + x2 - 0.3896112) + (x0 - 24.609447*x2 + 8.278179)/sqrt(4*x1**2 + 1))
19,1.0098394,"aq((square(x0) + (x2 * -24.60171)) + 8.44314, x1 + x1) - log(x0 + (x2 + -0.38749135))",0.020276684661525178,-log(x0 + x2 - 0.38749135) + (x0**2 - 24.60171*x2 + 8.44314)/sqrt(4*x1**2 + 1),PySRFunction(X=>-log(x0 + x2 - 0.38749135) + (x0**2 - 24.60171*x2 + 8.44314)/sqrt(4*x1**2 + 1))
20,0.99947613,"aq((square(square(x0)) + (x2 * -24.610466)) + 8.585899, x1 + x1) - log((x0 + -0.38560393) + x2)",0.010315315576594158,-log(x0 + x2 - 0.38560393) + (x0**4 - 24.610466*x2 + 8.585899)/sqrt(4*x1**2 + 1),PySRFunction(X=>-log(x0 + x2 - 0.38560393) + (x0**4 - 24.610466*x2 + 8.585899)/sqrt(4*x1**2 + 1))
