# param=ns z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed2_budget/refit/z3.6/pareto_ns.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
35,0.06255254,0.18535321887669576,6.984636520009957e-05,48,True,True
33,0.06373933,0.1838228674469971,6.431164629031899e-05,48,True,True
32,0.06567951,0.17565621881853205,6.841139464140727e-05,48,True,True
31,0.07796004,0.11127398808509081,0.00010478215134409688,48,True,True
30,0.07909676,0.10506481058063799,0.00010712171994438718,48,True,True
29,0.07941686,0.12257312688219557,0.00013193768711925106,48,True,True
28,0.08128203,0.10561935194295424,0.00011179878469946551,48,True,True
27,0.08180995,0.15022769318981777,0.00012637971297859004,48,True,True
26,0.0828739,0.13267559515142835,0.00012449090130869968,48,True,True
25,0.0969698,0.15849342508987135,0.00012351308181651145,48,True,True
23,0.10192093,0.1824831276783399,0.00011784920752670108,48,True,True
21,0.14916372,0.061929763471544996,0.00010689683953124863,48,True,True
20,0.27930233,0.1201495081231228,0.00012009869854640051,48,True,True
19,0.7222441,0.7472130251760085,0.0008762473361809899,48,False,True
18,0.78371775,0.7229341451284466,0.001126519326718833,48,False,True
16,0.84808785,0.8531633997948211,0.0015061700936607413,48,False,True
14,0.8600288,0.8492630821445202,0.0015176085179630858,48,False,True
13,0.8956706,0.9123485296425673,0.0015502544108028475,48,False,True
12,0.9407139,0.8364695139117444,0.0015114518974707468,48,False,True
8,1.7263322,0.7778180895018278,0.0019426141956755086,48,False,True
7,1.8027108,0.8418285507521928,0.0014707221543668924,48,False,True
