# param=bhfeedback z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed2_sobolev/refit/z3.6/pareto_bhfeedback.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,12.795006,0.5355917340428517,3.955593024573262e-05,48,False,True
19,13.4307375,0.5945406174704022,3.9288454272842786e-05,48,False,True
18,13.536947,0.6014754437394488,3.941673125024649e-05,48,False,True
17,15.204979,0.5038792310730208,6.684570470205768e-05,48,False,True
16,15.246118,0.716381598298488,6.36034522965235e-05,48,False,True
15,16.972143,0.7478813221006453,6.321055516595523e-05,48,False,True
14,18.566776,2.147811964025629,6.311881666374306e-05,48,False,True
13,20.055092,2.1478119640270155,6.596612299591907e-05,48,False,True
12,23.231968,3.4267662304152955,6.561209642923318e-05,48,False,True
11,24.8241,3.426766230403957,6.862359852730432e-05,48,False,True
10,30.597721,3.426766230403957,0.00011344240952120075,48,False,True
9,43.726746,3.0757743526447814,0.0004100642231268216,48,False,True
8,44.38115,3.4267662304087616,0.0004095603495623269,48,False,True
7,54.70623,1.9457563825191757,0.00019761153167226127,48,False,True
6,66.068924,2.9125303931014046,0.00013187252849439414,48,False,True
5,91.55856,1.5747382486703767,0.0001910447268222512,48,False,True
