# param=hireionz z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed2_sobolev/refit/z3.6/pareto_hireionz.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,8.799653,0.07564098170285966,0.0007023673860017508,48,True,True
17,9.229794,0.07689568843013117,0.00070158286448398,48,True,True
16,11.640571,0.07734134583155994,0.00034415612275291783,48,True,True
15,13.370319,0.1860318469824605,0.0006990743588760526,48,True,True
14,14.147688,0.17995619342505526,0.0004965668230901324,48,True,True
13,16.101273,0.32764153068018254,0.0006936381193436151,48,False,True
12,16.223839,0.32444792112968124,0.0006985335456191176,48,False,True
11,16.934319,0.32202796788772786,0.0004971075103341338,48,False,True
10,19.81658,0.2912864494944788,0.0006841413647636311,48,False,True
9,20.923574,0.2863430606865678,0.0005458491662248525,48,False,True
8,25.883045,0.10509127444034944,0.000541858307642557,48,True,True
7,30.936363,0.2295465168177832,0.00039093912922356396,48,True,True
6,32.46259,0.1502281437019492,0.0005452059496950306,48,True,True
5,38.240074,0.08150201130583395,0.0005723763702404357,48,True,True
3,56.246334,0.11563964461115478,0.0006874345481132594,48,True,True
