# param=bhfeedback z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed2_value/refit/z3.6/pareto_bhfeedback.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.9828485,0.7582597322506599,2.6211787528711782e-05,48,False,True
19,0.9853711,0.6942592564053999,2.609057640781886e-05,48,False,True
18,0.987343,0.782643022481176,2.6110317959701224e-05,48,False,True
17,1.0027022,1.1105111222533237,2.635327259282854e-05,48,False,True
16,1.0099021,1.2748680693448606,2.6653235142372317e-05,48,False,True
15,1.1328998,1.0265566485304056,2.8746852063743166e-05,48,False,True
14,1.2049351,2.041196207265446,2.8805188916878858e-05,48,False,True
13,1.2434237,2.161667897829431,3.067617671517841e-05,48,False,True
11,1.2828888,1.3352854706670487,2.6809487135962384e-05,48,False,True
10,1.3561981,1.3352854706670487,2.8837341414567284e-05,48,False,True
