# param=herei z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed2_value/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.008558988,0.16102237616386228,1.5697397753758806e-05,48,True,True
19,0.009335947,0.1975608036351728,1.673168328635752e-05,48,True,True
17,0.011032743,0.13041027685534246,2.0658251116320237e-05,48,True,True
16,0.011838457,0.059450299555955044,2.64804591625626e-05,48,True,True
15,0.013241476,0.15930210527554223,1.9110237384533144e-05,48,True,True
14,0.01389629,0.06002718919587535,2.7939228382833002e-05,48,True,True
13,0.014752629,0.128350843365998,2.635948913442765e-05,48,True,True
12,0.015505705,0.056852990765354106,3.2067675786901126e-05,48,True,True
11,0.024316546,0.07230477723922168,4.473295377162767e-05,48,True,True
10,0.027526334,0.055112178453949834,5.9863249036233536e-05,48,True,True
9,0.033592537,0.11912087119333636,5.7319052634447925e-05,48,True,True
8,0.04057883,0.21041962803615222,6.909509207817972e-05,48,True,True
7,0.058822244,0.33056064198983337,8.151625537188185e-05,48,False,True
6,0.08224163,0.31863968874250215,0.00012577524298644372,48,False,True
5,0.115535684,0.41872473586421555,0.00015186339326695645,48,False,True
4,0.39267334,0.2167478926082127,0.0002667919518469529,48,True,True
3,0.6062867,0.5149572584582809,0.0006524374134467254,48,False,True
