Complexity,Loss,Equation,score,sympy_format,lambda_format
1,19.380564,-3.8034399,0.0,-3.80343990000000,PySRFunction(X=>-3.80343990000000)
3,10.6995125,x2 * -7.607491,0.2970362642620341,x2*(-7.607491),PySRFunction(X=>x2*(-7.607491))
4,6.6143117,square(x2) * -11.189316,0.4809624389274151,x2**2*(-11.189316),PySRFunction(X=>x2**2*(-11.189316))
5,4.912144,(x2 * -19.018728) - -7.6075,0.2975252343788106,x2*(-19.018728) - 1*(-7.6075),PySRFunction(X=>x2*(-19.018728) - 1*(-7.6075))
6,4.2275977,"square(aq(x2, x0)) * -14.557261",0.15007659426704384,(x2**2/(x0**2 + 1))*(-14.557261),PySRFunction(X=>(x2**2/(x0**2 + 1))*(-14.557261))
7,2.4100072,"7.9045553 - aq(x2 * 22.154547, x0)",0.562004177059037,7.9045553 - 22.154547*x2/sqrt(x0**2 + 1),PySRFunction(X=>7.9045553 - 22.154547*x2/sqrt(x0**2 + 1))
8,2.2423701,"2.5928404 - square(aq(x2, x0) * 4.514391)",0.07209634819835854,2.5928404 - 20.379726100881*x2**2/(x0**2 + 1),PySRFunction(X=>2.5928404 - 20.379726100881*x2**2/(x0**2 + 1))
9,2.00687,"aq(8.362492 - aq(x2 * 23.42127, x0), x1)",0.1109570924287616,(8.362492 - 23.42127*x2/sqrt(x0**2 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>(8.362492 - 23.42127*x2/sqrt(x0**2 + 1))/sqrt(x1**2 + 1))
10,1.717004,"7.914984 - aq(aq(x2, square(x1)) * 22.796019, x0)",0.15599538286549397,7.914984 - 22.796019*x2/(sqrt(x0**2 + 1)*sqrt(x1**4 + 1)),PySRFunction(X=>7.914984 - 22.796019*x2/(sqrt(x0**2 + 1)*sqrt(x1**4 + 1)))
11,1.4216115,"2.5935397 - square(aq(4.6313295, x0) * aq(x2, square(x1)))",0.18878982425512314,2.5935397 - 21.4492129375702*x2**2/((x0**2 + 1)*(x1**4 + 1)),PySRFunction(X=>2.5935397 - 21.4492129375702*x2**2/((x0**2 + 1)*(x1**4 + 1)))
12,1.2904689,"2.6726537 - square(aq(aq(x2, square(square(x1))) * 4.6069894, x0))",0.09678544660245132,2.6726537 - 21.2243513317124*x2**2/((x0**2 + 1)*(x1**8 + 1)),PySRFunction(X=>2.6726537 - 21.2243513317124*x2**2/((x0**2 + 1)*(x1**8 + 1)))
13,1.0110352,"2.6530178 - square(x2 * aq(square(aq(-2.208244, x1 - 0.34338412)), x0))",0.2440308842546848,2.6530178 - 23.7787070442687*x2**2/((x0**2 + 1)*((x1 - 1*0.34338412)**2 + 1)**2),PySRFunction(X=>2.6530178 - 23.7787070442687*x2**2/((x0**2 + 1)*((x1 - 1*0.34338412)**2 + 1)**2))
15,0.80911446,"2.5901434 - square(aq(aq(x2 * 4.8060937, x0), square((x1 * 1.9277796) - 0.7097397)))",0.11139482253191417,2.5901434 - 23.0985366531797*x2**2/((x0**2 + 1)*((x1*1.9277796 - 1*0.7097397)**4 + 1)),PySRFunction(X=>2.5901434 - 23.0985366531797*x2**2/((x0**2 + 1)*((x1*1.9277796 - 1*0.7097397)**4 + 1)))
17,0.767454,"(2.8514829 - square(aq(aq(x2 * 4.7945013, x0), square((x1 * 1.954072) - 0.6756501)))) - x1",0.026430923775818273,-x1 - 22.9872427157017*x2**2/((x0**2 + 1)*((x1*1.954072 - 1*0.6756501)**4 + 1)) + 2.8514829,PySRFunction(X=>-x1 - 22.9872427157017*x2**2/((x0**2 + 1)*((x1*1.954072 - 1*0.6756501)**4 + 1)) + 2.8514829)
18,0.7486564,"(2.740613 - square(aq(aq(x2, square(0.6981548 - (x1 * 1.9854143))) * 4.816266, x0))) - square(x1)",0.024798409543547888,-x1**2 - 23.196418182756*x2**2/((x0**2 + 1)*((0.6981548 - 1.9854143*x1)**4 + 1)) + 2.740613,PySRFunction(X=>-x1**2 - 23.196418182756*x2**2/((x0**2 + 1)*((0.6981548 - 1.9854143*x1)**4 + 1)) + 2.740613)
19,0.7454741,"1.7426326 - (square((x2 * aq(aq(5.3950696, x0), square(0.679665 - (x1 * 1.9504164)))) - 0.5962071) + x1)",0.004259741450973173,1.7426326 - (x1 + (x2*(5.3950696/(sqrt(x0**2 + 1)*sqrt((0.679665 - 1.9504164*x1)**4 + 1))) - 1*0.5962071)**2),PySRFunction(X=>1.7426326 - (x1 + (x2*(5.3950696/(sqrt(x0**2 + 1)*sqrt((0.679665 - 1.9504164*x1)**4 + 1))) - 1*0.5962071)**2))
20,0.7033199,"2.2894833 - (square(aq(x2, square(0.69410795 - (x1 * 1.9005017))) * aq(4.7603645, x0)) - square(x0 - x1))",0.05820855372370795,2.2894833 - (22.6610701728602*x2**2/((x0**2 + 1)*((0.69410795 - 1.9005017*x1)**4 + 1)) - (x0 - x1)**2),PySRFunction(X=>2.2894833 - (22.6610701728602*x2**2/((x0**2 + 1)*((0.69410795 - 1.9005017*x1)**4 + 1)) - (x0 - x1)**2))
