Complexity,Loss,Equation,score,sympy_format,lambda_format
1,2.6287842,-0.7484655,0.0,-0.748465500000000,PySRFunction(X=>-0.748465500000000)
3,2.2927861,x2 * -1.4966855,0.06837687115943489,x2*(-1.4966855),PySRFunction(X=>x2*(-1.4966855))
4,2.1346693,square(x2) * -2.2010038,0.07145597554741304,x2**2*(-2.2010038),PySRFunction(X=>x2**2*(-2.2010038))
5,2.0614038,(x2 - x1) * -2.1846292,0.03492453304334605,(-x1 + x2)*(-2.1846292),PySRFunction(X=>(-x1 + x2)*(-2.1846292))
6,1.8706294,square(x2 - x1) * -3.5848718,0.0971122552491608,(-x1 + x2)**2*(-3.5848718),PySRFunction(X=>(-x1 + x2)**2*(-3.5848718))
7,1.8367879,"square(square(aq(x2, x1))) * -4.602526",0.01825661219923017,(x2**4/(x1**2 + 1)**2)*(-4.602526),PySRFunction(X=>(x2**4/(x1**2 + 1)**2)*(-4.602526))
8,1.6654872,((x1 * x0) - square(x2)) * 3.0526636,0.09790064633555948,(x0*x1 - x2**2)*3.0526636,PySRFunction(X=>(x0*x1 - x2**2)*3.0526636)
9,1.4626672,"aq(x2 * -5.861408, (x1 * -63.48967) + 4.8052654)",0.1298560748666798,-5.861408*x2/sqrt((4.8052654 + x1*(-63.48967))**2 + 1),PySRFunction(X=>-5.861408*x2/sqrt((4.8052654 + x1*(-63.48967))**2 + 1))
10,1.1580585,"aq(square(x2), (x1 * -63.381416) + 4.797406) * -8.61227",0.23351672236609836,(x2**2/sqrt((4.797406 + x1*(-63.381416))**2 + 1))*(-8.61227),PySRFunction(X=>(x2**2/sqrt((4.797406 + x1*(-63.381416))**2 + 1))*(-8.61227))
11,1.0311421,"(x2 + -0.40026554) * aq(-14.679307, (0.075701796 - x1) * 63.617138)",0.11607787311992912,(x2 - 0.40026554)*(-14.679307/sqrt(4047.14024731104*(0.075701796 - x1)**2 + 1)),PySRFunction(X=>(x2 - 0.40026554)*(-14.679307/sqrt(4047.14024731104*(0.075701796 - x1)**2 + 1)))
12,0.98869985,"aq(square(x2), (x1 * -67.47408) + aq(5.8961587, x0)) * -9.266355",0.04203150468302504,(x2**2/sqrt((x1*(-67.47408) + 5.8961587/sqrt(x0**2 + 1))**2 + 1))*(-9.266355),PySRFunction(X=>(x2**2/sqrt((x1*(-67.47408) + 5.8961587/sqrt(x0**2 + 1))**2 + 1))*(-9.266355))
13,0.89562774,"aq((x2 + -0.38147908) * -14.482949, (x1 - aq(0.08771947, x0)) * 63.710033)",0.09886593929482673,-14.482949*(x2 - 0.38147908)/sqrt(4058.96830486109*(x1 - 0.08771947/sqrt(x0**2 + 1))**2 + 1),PySRFunction(X=>-14.482949*(x2 - 0.38147908)/sqrt(4058.96830486109*(x1 - 0.08771947/sqrt(x0**2 + 1))**2 + 1))
14,0.88335955,"aq(square(square(x2)), square(aq(2.4265983, x0)) + (x1 * -58.54807)) * -14.287753",0.013792548776855457,(x2**4/sqrt((x1*(-58.54807) + 5.88837930956289/(x0**2 + 1))**2 + 1))*(-14.287753),PySRFunction(X=>(x2**4/sqrt((x1*(-58.54807) + 5.88837930956289/(x0**2 + 1))**2 + 1))*(-14.287753))
15,0.8443407,"(square(x2) * aq(-9.355948, (x1 * -42.325714) + square(x0 - 2.3710577))) + x0",0.045176222989301906,x0 + x2**2*(-9.355948/sqrt((x1*(-42.325714) + (x0 - 1*2.3710577)**2)**2 + 1)),PySRFunction(X=>x0 + x2**2*(-9.355948/sqrt((x1*(-42.325714) + (x0 - 1*2.3710577)**2)**2 + 1)))
16,0.8179261,"square(x0) + aq(square(x2) * -9.21623, square(x0 - 2.4593942) + (x1 * -47.014004))",0.0317840959043719,x0**2 - 9.21623*x2**2/sqrt((x1*(-47.014004) + (x0 - 1*2.4593942)**2)**2 + 1),PySRFunction(X=>x0**2 - 9.21623*x2**2/sqrt((x1*(-47.014004) + (x0 - 1*2.4593942)**2)**2 + 1))
17,0.7921535,"aq(square(x2) * -9.490738, square(2.4646761 - x0) + (x1 * -48.136627)) + (x0 - x1)",0.032016804056946874,x0 - x1 - 9.490738*x2**2/sqrt((x1*(-48.136627) + (2.4646761 - x0)**2)**2 + 1),PySRFunction(X=>x0 - x1 - 9.490738*x2**2/sqrt((x1*(-48.136627) + (2.4646761 - x0)**2)**2 + 1))
18,0.7816276,"x0 + (((x2 * aq(-9.481638, (x1 * -46.796585) + square(2.4441803 - x0))) - x1) * x2)",0.013376773881144525,x0 + x2*(-x1 + x2*(-9.481638/sqrt((x1*(-46.796585) + (2.4441803 - x0)**2)**2 + 1))),PySRFunction(X=>x0 + x2*(-x1 + x2*(-9.481638/sqrt((x1*(-46.796585) + (2.4441803 - x0)**2)**2 + 1))))
19,0.76092756,"((x0 - -0.2518084) - x1) + (square(x2) * aq(-9.805398, square(x0 - 2.3540838) + (x1 * -42.272163)))",0.02684024949324177,x0 - x1 + x2**2*(-9.805398/sqrt((x1*(-42.272163) + (x0 - 1*2.3540838)**2)**2 + 1)) - 1*(-0.2518084),PySRFunction(X=>x0 - x1 + x2**2*(-9.805398/sqrt((x1*(-42.272163) + (x0 - 1*2.3540838)**2)**2 + 1)) - 1*(-0.2518084))
20,0.7436844,"square(x0) + (((aq(square(x2), square(x0 - 2.359957) + (x1 * -42.531506)) * -9.828166) - x1) + 0.41291127)",0.022921411502843762,x0**2 - x1 + (x2**2/sqrt((x1*(-42.531506) + (x0 - 1*2.359957)**2)**2 + 1))*(-9.828166) + 0.41291127,PySRFunction(X=>x0**2 - x1 + (x2**2/sqrt((x1*(-42.531506) + (x0 - 1*2.359957)**2)**2 + 1))*(-9.828166) + 0.41291127)
