Complexity,Loss,Equation,score,sympy_format,lambda_format
1,0.87462705,x0,0.0,x0,PySRFunction(X=>x0)
2,0.721443,square(x0),0.19254419391087413,x0**2,PySRFunction(X=>x0**2)
3,0.5178297,x0 - 0.5973027,0.33160694928826534,x0 - 1*0.5973027,PySRFunction(X=>x0 - 1*0.5973027)
4,0.28200287,exp(x0) + -1.8184834,0.6077291755345396,exp(x0) - 1.8184834,PySRFunction(X=>exp(x0) - 1.8184834)
5,0.014097688,(x0 * 3.4099393) + -1.8022954,2.9959064358831906,x0*3.4099393 - 1.8022954,PySRFunction(X=>x0*3.4099393 - 1.8022954)
6,0.0109146135,2.8964615 - square(2.2049937 - x0),0.25590823291939785,2.8964615 - (2.2049937 - x0)**2,PySRFunction(X=>2.8964615 - (2.2049937 - x0)**2)
7,0.008808338,(x0 * (4.0099206 - x2)) + -1.8022848,0.2144038064993255,x0*(4.0099206 - x2) - 1.8022848,PySRFunction(X=>x0*(4.0099206 - x2) - 1.8022848)
8,0.008096243,"3.8585048 - square(aq(x0, x2) - 2.3998067)",0.08429864597256762,3.8585048 - (x0/sqrt(x2**2 + 1) - 1*2.3998067)**2,PySRFunction(X=>3.8585048 - (x0/sqrt(x2**2 + 1) - 1*2.3998067)**2)
9,0.004625523,"(aq(1.3187017, x2) + (x0 * 3.4099376)) - 2.929353",0.5598106812645222,x0*3.4099376 - 1*2.929353 + 1.3187017/sqrt(x2**2 + 1),PySRFunction(X=>x0*3.4099376 - 1*2.929353 + 1.3187017/sqrt(x2**2 + 1))
10,0.0014425745,"aq(1.3229185, x2) + (1.7646588 - square(2.2046697 - x0))",1.16516008113866,-(2.2046697 - x0)**2 + 1.7646588 + 1.3229185/sqrt(x2**2 + 1),PySRFunction(X=>-(2.2046697 - x0)**2 + 1.7646588 + 1.3229185/sqrt(x2**2 + 1))
11,0.0014424479,"((x0 * (4.4099255 - x0)) + aq(1.3187026, x2)) - 3.0926123",8.776361672702922e-05,x0*(4.4099255 - x0) - 1*3.0926123 + 1.3187026/sqrt(x2**2 + 1),PySRFunction(X=>x0*(4.4099255 - x0) - 1*3.0926123 + 1.3187026/sqrt(x2**2 + 1))
12,0.00060720084,"(aq(1.4187237, aq(x2, x1)) - square(2.2045367 - x0)) + 1.6670475",0.8652372703993634,-(2.2045367 - x0)**2 + 1.6670475 + 1.4187237/sqrt(x2**2/(x1**2 + 1) + 1),PySRFunction(X=>-(2.2045367 - x0)**2 + 1.6670475 + 1.4187237/sqrt(x2**2/(x1**2 + 1) + 1))
13,0.0004875104,"aq(2.9925127, square(aq(x2 * x2, x1))) - square(2.2051415 - x0)",0.2195479859359899,-(2.2051415 - x0)**2 + 2.9925127/sqrt(x2**8/(x1**2 + 1)**2 + 1),PySRFunction(X=>-(2.2051415 - x0)**2 + 2.9925127/sqrt(x2**8/(x1**2 + 1)**2 + 1))
14,0.00029329167,"(x0 + aq(1.4416013, aq(x2, x1))) - square((x0 * -0.9035329) - -1.7837983)",0.5081440489182463,x0 - (x0*(-0.9035329) - 1*(-1.7837983))**2 + 1.4416013/sqrt(x2**2/(x1**2 + 1) + 1),PySRFunction(X=>x0 - (x0*(-0.9035329) - 1*(-1.7837983))**2 + 1.4416013/sqrt(x2**2/(x1**2 + 1) + 1))
15,0.00015898184,"(aq(1.5232935, square(aq(x2, x1))) + x0) - square((x0 * 0.86453676) - 1.8265104)",0.6123775927645799,x0 - (x0*0.86453676 - 1*1.8265104)**2 + 1.5232935/sqrt(x2**4/(x1**2 + 1)**2 + 1),PySRFunction(X=>x0 - (x0*0.86453676 - 1*1.8265104)**2 + 1.5232935/sqrt(x2**4/(x1**2 + 1)**2 + 1))
17,0.00013320499,"aq(1.5046214, square(aq(x2, x1 - 0.06844135))) + (x0 - square(1.8212178 - (x0 * 0.869113)))",0.08845038099690294,x0 - (1.8212178 - 0.869113*x0)**2 + 1.5046214/sqrt(x2**4/((x1 - 1*0.06844135)**2 + 1)**2 + 1),PySRFunction(X=>x0 - (1.8212178 - 0.869113*x0)**2 + 1.5046214/sqrt(x2**4/((x1 - 1*0.06844135)**2 + 1)**2 + 1))
19,0.0001285261,"(x0 + aq(1.4930354, square(aq(x2, (x2 - 0.86690754) + x1)))) - square((x0 * 0.8713306) - 1.8185256)",0.017878611657964803,x0 - (x0*0.8713306 - 1*1.8185256)**2 + 1.4930354/sqrt(x2**4/((x1 + x2 - 1*0.86690754)**2 + 1)**2 + 1),PySRFunction(X=>x0 - (x0*0.8713306 - 1*1.8185256)**2 + 1.4930354/sqrt(x2**4/((x1 + x2 - 1*0.86690754)**2 + 1)**2 + 1))
