Complexity,Loss,Equation,score,sympy_format,lambda_format
1,2.6287842,-0.7484654,0.0,-0.748465400000000,PySRFunction(X=>-0.748465400000000)
3,2.2927861,x2 * -1.4967712,0.06837687115943489,x2*(-1.4967712),PySRFunction(X=>x2*(-1.4967712))
4,2.1346693,square(x2) * -2.201003,0.07145597554741304,x2**2*(-2.201003),PySRFunction(X=>x2**2*(-2.201003))
5,2.0614038,(x1 - x2) * 2.1850357,0.03492453304334605,(x1 - x2)*2.1850357,PySRFunction(X=>(x1 - x2)*2.1850357)
6,1.8706294,square(x1 - x2) * -3.5848677,0.0971122552491608,(x1 - x2)**2*(-3.5848677),PySRFunction(X=>(x1 - x2)**2*(-3.5848677))
7,1.8367879,"square(square(aq(x2, x1))) * -4.602544",0.01825661219923017,(x2**4/(x1**2 + 1)**2)*(-4.602544),PySRFunction(X=>(x2**4/(x1**2 + 1)**2)*(-4.602544))
8,1.6654872,((x0 * x1) - square(x2)) * 3.052552,0.09790064633555948,(x0*x1 - x2**2)*3.052552,PySRFunction(X=>(x0*x1 - x2**2)*3.052552)
9,1.4626693,"aq(x2, (x1 * 63.639286) - 4.8160343) * -5.8677487",0.12985463913441464,(x2/sqrt((x1*63.639286 - 1*4.8160343)**2 + 1))*(-5.8677487),PySRFunction(X=>(x2/sqrt((x1*63.639286 - 1*4.8160343)**2 + 1))*(-5.8677487))
10,1.1580585,"aq(square(x2), 4.804139 - (x1 * 63.473682)) * -8.618256",0.23351815809836365,(x2**2/sqrt((4.804139 - 63.473682*x1)**2 + 1))*(-8.618256),PySRFunction(X=>(x2**2/sqrt((4.804139 - 63.473682*x1)**2 + 1))*(-8.618256))
11,1.0311849,"aq((x2 + -0.3989823) * -14.531213, (x1 - 0.07576892) * -62.72369)",0.11603636660810443,-14.531213*(x2 - 0.3989823)/sqrt(3934.2612872161*(x1 - 1*0.07576892)**2 + 1),PySRFunction(X=>-14.531213*(x2 - 0.3989823)/sqrt(3934.2612872161*(x1 - 1*0.07576892)**2 + 1))
12,0.9407131,"square(aq(x2, x0 - (2.6410856 - (x1 * 27.07634)))) * -8.125699",0.09182560370267442,(x2**2/((x0 - (2.6410856 - 27.07634*x1))**2 + 1))*(-8.125699),PySRFunction(X=>(x2**2/((x0 - (2.6410856 - 27.07634*x1))**2 + 1))*(-8.125699))
