# param=dtau0 z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed3_sobolev/refit/z3.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.002319212,0.0028647374761856526,2.6581250569600156e-06,48,True,True
19,0.002364026,0.003327050417102795,2.660703994262755e-06,48,True,True
18,0.0027590906,0.0033831611177459475,2.7036381317950008e-06,48,True,True
17,0.0032918677,0.003922664904785156,2.9136764612061206e-06,48,True,True
16,0.0043451954,0.003931596843163132,3.671062030271206e-06,48,True,True
15,0.0048262635,0.008609752681058902,2.7128504370519773e-06,48,True,True
14,0.004984851,0.008549908202050593,2.9191099450760916e-06,48,True,True
13,0.0055373083,0.008613149409393173,2.9292947823965855e-06,48,True,True
12,0.0066171535,0.00857575636373653,3.671676614918466e-06,48,True,True
11,0.0069754953,0.008575756362500186,3.842275377799416e-06,48,True,True
10,0.008606908,0.009147867198237292,3.828273657263616e-06,48,True,True
9,0.027850844,0.009502277021416927,2.2743813916020206e-05,48,True,True
8,0.03483393,0.009147867197606685,6.738016011866679e-05,48,True,True
7,0.060717262,0.00998582695592476,9.628626375622799e-05,48,True,True
5,0.09201025,0.009147115548688745,6.764469315747408e-05,48,True,True
3,5.021664,0.06836666814021519,0.007980916924040059,48,True,True
2,21.122545,0.469940934916668,0.008996427692361012,48,False,True
1,31.012114,0.7095447301918754,0.0033326679765204514,48,False,True
