# param=hub z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed3_sobolev/refit/z3.6/pareto_hub.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,384.44675,0.9757017236361126,0.0005098152026034861,48,False,True
19,386.13474,0.9762056008213302,0.0004993831499950174,48,False,True
18,388.95978,0.9583067336297255,0.0005115070105219807,48,False,True
17,389.23312,0.9522623149876944,0.000510768477889129,48,False,True
16,393.28036,0.9453421625923257,0.0005638626796386422,48,False,True
15,395.5083,0.9509897297792207,0.0005180910933923527,48,False,True
14,398.01672,0.9957626759106664,0.0005579796532221921,48,False,True
13,400.2506,0.9957626759106664,0.0004821278468134412,48,False,True
12,407.24347,0.9957626759106664,0.0003404674012694136,48,False,True
11,418.17535,0.9759004640130812,0.00048802407372840824,48,False,True
10,423.27304,0.9957626759119775,0.0003473538013170331,48,False,True
9,432.83606,1.0000033147493141,0.0003224126860678272,48,False,True
8,438.65305,0.9851863940899326,0.0004188941751899648,48,False,True
7,443.7973,0.998867230430545,0.00029301666803349875,48,False,True
6,449.6649,0.9793861105236172,0.0002962252274925518,48,False,True
