# param=omegamh2 z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed3_sobolev/refit/z3.6/pareto_omegamh2.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,63.987198,0.1601996272922651,0.00020073738741770977,48,True,True
19,64.50157,0.12574745438353774,0.00018661797137461297,48,True,True
18,64.75171,0.1149595179300642,0.0002014175317927087,48,True,True
17,65.28204,0.11821229285381774,0.0001752885141214015,48,True,True
16,66.39521,0.09758489044829044,0.00018385196284959388,48,True,True
15,69.450554,0.09598416856373537,0.0001375636902420257,48,True,True
14,71.03731,0.12461071866759399,0.00018707842291313051,48,True,True
13,73.09045,0.08638792289731062,0.00019169564129841647,48,True,True
12,74.45712,0.10510613178615524,0.00020333153363516902,48,True,True
11,75.02882,0.06288492284410485,0.00019190081183799313,48,True,True
10,77.57825,0.06313579841025624,0.0001367707004833735,48,True,True
9,79.48507,0.0820173676346026,0.0001368758290442466,48,True,True
8,83.059586,0.12914809354320278,0.0001325748766669735,48,True,True
7,84.93099,0.2731780211769458,0.0002187458632999741,48,False,True
6,90.3441,0.12734026921553226,0.0002892644152984663,48,True,True
5,94.091194,0.14403851399260126,0.00028816483284131624,48,True,True
4,107.43998,0.4476147632335822,0.0001668277434214582,48,False,True
3,112.4729,0.4645217157301782,0.00017757086890443738,48,False,True
2,134.52795,0.7206601460901618,0.0015654462034787198,48,False,True
1,146.8596,0.7851231893001149,0.0016543756453536891,48,False,True
