Complexity,Loss,Equation,score,sympy_format,lambda_format
1,77.75087,-1.5231537,0.0,-1.52315370000000,PySRFunction(X=>-1.52315370000000)
3,41.74044,x0 * -2.679957,0.3110196488334015,x0*(-2.679957),PySRFunction(X=>x0*(-2.679957))
5,40.12986,"aq(x0 * -3.1895113, x2)",0.01967487371482811,-3.1895113*x0/sqrt(x2**2 + 1),PySRFunction(X=>-3.1895113*x0/sqrt(x2**2 + 1))
6,38.76597,log(x0 + x2) * -2.5353742,0.0345778956811202,-2.5353742*log(x0 + x2),PySRFunction(X=>-2.5353742*log(x0 + x2))
7,38.63629,(x0 * -3.8087747) * (1.3026129 - x2),0.003350809687893497,x0*(-3.8087747)*(1.3026129 - x2),PySRFunction(X=>x0*(-3.8087747)*(1.3026129 - x2))
8,34.943058,log((x2 + x0) + x2) * -4.101656,0.10047216790037743,-4.101656*log(x0 + 2*x2),PySRFunction(X=>-4.101656*log(x0 + 2*x2))
9,30.447708,(exp(x2 * exp(x1)) - 5.114275) * x0,0.13770910195455338,x0*(exp(x2*exp(x1)) - 1*5.114275),PySRFunction(X=>x0*(exp(x2*exp(x1)) - 1*5.114275))
10,28.056328,x0 * (square(square(square(x1) + x2)) + -3.4099097),0.081796516713501,x0*((x1**2 + x2)**4 - 3.4099097),PySRFunction(X=>x0*((x1**2 + x2)**4 - 3.4099097))
11,24.299112,(exp(square(square(x1) + square(x2))) - 4.4549403) * x0,0.1437743972045385,x0*(exp((x1**2 + x2**2)**2) - 1*4.4549403),PySRFunction(X=>x0*(exp((x1**2 + x2**2)**2) - 1*4.4549403))
12,21.206299,(exp(exp(x2 + square(x1))) + -81.69457) * (x0 * 0.04161934),0.13614154628162106,(exp(exp(x1**2 + x2)) - 81.69457)*x0*0.04161934,PySRFunction(X=>(exp(exp(x1**2 + x2)) - 81.69457)*x0*0.04161934)
13,16.81961,(exp(square(x2 + square(square(x1)))) - 4.737148) * (x0 - x1),0.2317527925938198,(x0 - x1)*(exp((x1**4 + x2)**2) - 1*4.737148),PySRFunction(X=>(x0 - x1)*(exp((x1**4 + x2)**2) - 1*4.737148))
14,15.178382,(exp(square(x2 + square(square(square(x1))))) - 4.5834994) * (x0 - x1),0.10267328892212897,(x0 - x1)*(exp((x1**8 + x2)**2) - 1*4.5834994),PySRFunction(X=>(x0 - x1)*(exp((x1**8 + x2)**2) - 1*4.5834994))
15,13.761793,(exp(exp(square(square(x1)) + x2)) + -62.769436) * ((x0 - x1) * 0.054211993),0.09797604942257059,(exp(exp(x1**4 + x2)) - 62.769436)*(x0 - x1)*0.054211993,PySRFunction(X=>(exp(exp(x1**4 + x2)) - 62.769436)*(x0 - x1)*0.054211993)
16,13.349346,((x0 + -1.1658394) * (exp(square(x2 + square(square(square(x1))))) - 4.588942)) - 3.2891762,0.030428734366541508,(x0 - 1.1658394)*(exp((x1**8 + x2)**2) - 1*4.588942) - 1*3.2891762,PySRFunction(X=>(x0 - 1.1658394)*(exp((x1**8 + x2)**2) - 1*4.588942) - 1*3.2891762)
17,12.233914,(((x0 + -1.223357) * 0.052488085) * (exp(exp(square(square(x1)) + x2)) + -64.57932)) + -3.4500027,0.08725546367622763,(x0 - 1.223357)*0.052488085*(exp(exp(x1**4 + x2)) - 64.57932) - 3.4500027,PySRFunction(X=>(x0 - 1.223357)*0.052488085*(exp(exp(x1**4 + x2)) - 64.57932) - 3.4500027)
18,11.745278,(((x0 + -1.23487) * 0.12938239) * (exp(exp(square(square(x1)) + square(x2))) + -28.522331)) + -3.4748733,0.04076064372858469,(x0 - 1.23487)*0.12938239*(exp(exp(x1**4 + x2**2)) - 28.522331) - 3.4748733,PySRFunction(X=>(x0 - 1.23487)*0.12938239*(exp(exp(x1**4 + x2**2)) - 28.522331) - 3.4748733)
19,10.684718,(x2 * -5.5477557) + ((x0 - 1.1608562) * ((exp(exp(x2 + square(square(x1)))) + -64.769806) * 0.05238853)),0.09463679119309232,x2*(-5.5477557) + (x0 - 1*1.1608562)*(exp(exp(x1**4 + x2)) - 64.769806)*0.05238853,PySRFunction(X=>x2*(-5.5477557) + (x0 - 1*1.1608562)*(exp(exp(x1**4 + x2)) - 64.769806)*0.05238853)
20,10.510019,"((square(exp(square(x2 + square(square(x1))))) + -84.72198) * aq(0.042975925 * (x0 + -1.2647316), x2)) + -3.5969186",0.01648550359500154,(0.042975925*(x0 - 1.2647316)/sqrt(x2**2 + 1))*(exp(2*(x1**4 + x2)**2) - 84.72198) - 3.5969186,PySRFunction(X=>(0.042975925*(x0 - 1.2647316)/sqrt(x2**2 + 1))*(exp(2*(x1**4 + x2)**2) - 84.72198) - 3.5969186)
