Complexity,Loss,Equation,score,sympy_format,lambda_format
1,242.34296,x0,0.0,x0,PySRFunction(X=>x0)
2,215.68094,exp(x0),0.11655372695018303,exp(x0),PySRFunction(X=>exp(x0))
3,168.29971,"aq(-9.273261, x0)",0.24805380794126208,-9.273261/sqrt(x0**2 + 1),PySRFunction(X=>-9.273261/sqrt(x0**2 + 1))
4,133.00739,square(x0 * -2.1389284),0.23534168749387674,4.57501470032656*x0**2,PySRFunction(X=>4.57501470032656*x0**2)
5,118.907875,"aq(-17.1991, x0) + 11.34535",0.1120556569565871,11.34535 - 17.1991/sqrt(x0**2 + 1),PySRFunction(X=>11.34535 - 17.1991/sqrt(x0**2 + 1))
6,93.65745,"square(aq(x2, x0)) * -20.509768",0.23870505638365816,(x2**2/(x0**2 + 1))*(-20.509768),PySRFunction(X=>(x2**2/(x0**2 + 1))*(-20.509768))
7,78.845535,"(aq(x2, x0) * -28.459904) + 11.237142",0.17215329194798396,11.237142 + (x2/sqrt(x0**2 + 1))*(-28.459904),PySRFunction(X=>11.237142 + (x2/sqrt(x0**2 + 1))*(-28.459904))
8,74.70275,x2 * (square(x0 * -2.8501384) - 10.343201),0.05397377991617034,x2*(8.12328889915456*x0**2 - 1*10.343201),PySRFunction(X=>x2*(8.12328889915456*x0**2 - 1*10.343201))
9,57.22226,"16.993977 - aq(22.667936, x2 + (x0 + -0.79120183))",0.26657392186203827,16.993977 - 22.667936/sqrt((x0 + x2 - 0.79120183)**2 + 1),PySRFunction(X=>16.993977 - 22.667936/sqrt((x0 + x2 - 0.79120183)**2 + 1))
10,54.972992,"log(aq(1.3359964, (x0 + x2) + -0.78124714)) * -19.425928",0.04010097344122518,-19.425928*log(1.3359964/sqrt((x0 + x2 - 0.78124714)**2 + 1)),PySRFunction(X=>-19.425928*log(1.3359964/sqrt((x0 + x2 - 0.78124714)**2 + 1)))
11,44.43383,"13.425083 - (aq(x2, (x2 + -0.7683249) + x0) * 31.943672)",0.21284089383171756,13.425083 - 31.943672*x2/sqrt((x0 + x2 - 0.7683249)**2 + 1),PySRFunction(X=>13.425083 - 31.943672*x2/sqrt((x0 + x2 - 0.7683249)**2 + 1))
12,33.24235,"(log(aq(0.7306377, x2 + (-0.7754879 + x0))) + x2) * -19.933592",0.29017645080599397,-19.933592*x2 - 19.933592*log(0.7306377/sqrt((x0 + x2 - 0.7754879)**2 + 1)),PySRFunction(X=>-19.933592*x2 - 19.933592*log(0.7306377/sqrt((x0 + x2 - 0.7754879)**2 + 1)))
13,32.106834,"(x2 + log(aq(0.7384237, x0 + (square(x2) + -0.5612513)))) * -19.588882",0.03475576076969707,-19.588882*x2 - 19.588882*log(0.7384237/sqrt((x0 + x2**2 - 0.5612513)**2 + 1)),PySRFunction(X=>-19.588882*x2 - 19.588882*log(0.7384237/sqrt((x0 + x2**2 - 0.5612513)**2 + 1)))
14,23.039825,"(x2 + log(aq(0.7160226, aq(x2 + x0, x1) + -0.73625046))) * -21.549719",0.33184466436010623,-21.549719*x2 - 21.549719*log(0.7160226/sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.73625046)**2 + 1)),PySRFunction(X=>-21.549719*x2 - 21.549719*log(0.7160226/sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.73625046)**2 + 1)))
15,20.440792,"(log(aq(0.7186603, aq(x0 + x2, square(x1)) + -0.76145935)) + x2) * -21.20325",0.11969172817408094,-21.20325*x2 - 21.20325*log(0.7186603/sqrt(((x0 + x2)/sqrt(x1**4 + 1) - 0.76145935)**2 + 1)),PySRFunction(X=>-21.20325*x2 - 21.20325*log(0.7186603/sqrt(((x0 + x2)/sqrt(x1**4 + 1) - 0.76145935)**2 + 1)))
16,20.225697,"(square(x2) + log(aq(0.8802354, aq(x0 + x2, square(x1)) + -0.75660914))) * -20.863995",0.010578587488773855,-20.863995*x2**2 - 20.863995*log(0.8802354/sqrt(((x0 + x2)/sqrt(x1**4 + 1) - 0.75660914)**2 + 1)),PySRFunction(X=>-20.863995*x2**2 - 20.863995*log(0.8802354/sqrt(((x0 + x2)/sqrt(x1**4 + 1) - 0.75660914)**2 + 1)))
17,17.637451,"(log(aq(0.72023803, aq(x0 + 1.5571401, square(x1)) + (x2 + -2.295801))) + x2) * -20.996895",0.1369293856463151,-20.996895*x2 - 20.996895*log(0.72023803/sqrt((x2 + (x0 + 1.5571401)/sqrt(x1**4 + 1) - 2.295801)**2 + 1)),PySRFunction(X=>-20.996895*x2 - 20.996895*log(0.72023803/sqrt((x2 + (x0 + 1.5571401)/sqrt(x1**4 + 1) - 2.295801)**2 + 1)))
18,17.34371,"(x2 + log(aq(0.71932757, aq(x0 + x2, square(square(x1 * -1.2098575))) + -0.7555618))) * -21.224737",0.016794634365821366,-21.224737*x2 - 21.224737*log(0.71932757/sqrt(((x0 + x2)/sqrt(4.59064562226604*x1**8 + 1) - 0.7555618)**2 + 1)),PySRFunction(X=>-21.224737*x2 - 21.224737*log(0.71932757/sqrt(((x0 + x2)/sqrt(4.59064562226604*x1**8 + 1) - 0.7555618)**2 + 1)))
19,16.467358,"log(aq(x2 + 0.6341157, aq(aq(x0 + x2, x1) + -0.7352212, 1.8435671 - exp(x1)))) * -28.478136",0.05184978618760229,-28.478136*log((x2 + 0.6341157)/sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.7352212)**2/((1.8435671 - exp(x1))**2 + 1) + 1)),PySRFunction(X=>-28.478136*log((x2 + 0.6341157)/sqrt(((x0 + x2)/sqrt(x1**2 + 1) - 0.7352212)**2/((1.8435671 - exp(x1))**2 + 1) + 1)))
