# param=alphaq z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed3_value/refit/z3.6/pareto_alphaq.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.33889002,0.5170685300953963,3.181167845699175e-05,48,False,True
19,0.3738456,0.5353752491828685,3.187283960970006e-05,48,False,True
18,0.54563403,0.6545530847345657,5.874202598531157e-05,48,False,True
17,0.56188846,0.6535366328099328,6.346851048883997e-05,48,False,True
16,0.6699954,0.6516583158616034,5.7338504681178534e-05,48,False,True
15,0.83034635,0.6545530847345657,4.881991014136649e-05,48,False,True
14,0.9234898,0.6545530847345657,5.174863096477892e-05,48,False,True
13,1.0994188,0.6545530847345657,5.231026373536868e-05,48,False,True
8,2.657281,0.4399810982080429,5.230375239945286e-05,48,False,True
7,2.803663,0.6802213975252271,7.139863603010258e-05,48,False,True
6,3.042656,0.8294309127990007,0.0001085930421738154,48,False,True
