Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.3098843,-0.5177595,0.0,-0.517759500000000,PySRFunction(X=>-0.517759500000000)
3,0.8041895,x0 + -1.0178971,0.24392957687984826,x0 - 1.0178971,PySRFunction(X=>x0 - 1.0178971)
4,0.5191014,log(x0 + 0.092792615),0.4377356981192377,log(x0 + 0.092792615),PySRFunction(X=>log(x0 + 0.092792615))
5,0.08669644,(x0 - x2) * 3.3025908,1.7896864179919507,(x0 - x2)*3.3025908,PySRFunction(X=>(x0 - x2)*3.3025908)
7,0.048714757,(x0 - (x2 - -0.064171284)) * 3.1545599,0.28821540957246045,(x0 - (x2 - 1*(-0.064171284)))*3.1545599,PySRFunction(X=>(x0 - (x2 - 1*(-0.064171284)))*3.1545599)
8,0.035419814,(exp(x2) * -1.2254984) + (x0 * 3.492884),0.3187106215977786,x0*3.492884 + exp(x2)*(-1.2254984),PySRFunction(X=>x0*3.492884 + exp(x2)*(-1.2254984))
9,0.019113036,"(x0 + (-0.091616355 - aq(x2, x1))) * 3.2108858",0.616900765734977,(x0 - x2/sqrt(x1**2 + 1) - 0.091616355)*3.2108858,PySRFunction(X=>(x0 - x2/sqrt(x1**2 + 1) - 0.091616355)*3.2108858)
10,0.01454422,"(exp(aq(x2, x1)) * -1.2742047) + (x0 * 3.5200508)",0.27317695150208404,x0*3.5200508 + exp(x2/sqrt(x1**2 + 1))*(-1.2742047),PySRFunction(X=>x0*3.5200508 + exp(x2/sqrt(x1**2 + 1))*(-1.2742047))
11,0.003209864,"(x0 * 3.4565108) + (exp(square(aq(x2, x1))) * -1.5273666)",1.5109650951902234,x0*3.4565108 + exp(x2**2/(x1**2 + 1))*(-1.5273666),PySRFunction(X=>x0*3.4565108 + exp(x2**2/(x1**2 + 1))*(-1.5273666))
12,0.001994711,"((x0 + -0.45744222) - square(aq(x2, x1) + -0.17529187)) * 3.41951",0.4757293909502433,(x0 - (x2/sqrt(x1**2 + 1) - 0.17529187)**2 - 0.45744222)*3.41951,PySRFunction(X=>(x0 - (x2/sqrt(x1**2 + 1) - 0.17529187)**2 - 0.45744222)*3.41951)
13,0.001793991,"-1.5087899 - ((x0 * -3.4152734) + square(square(aq(x2, x1) + 0.2887349)))",0.10605643079129037,-(x0*(-3.4152734) + (x2/sqrt(x1**2 + 1) + 0.2887349)**4) - 1.5087899,PySRFunction(X=>-(x0*(-3.4152734) + (x2/sqrt(x1**2 + 1) + 0.2887349)**4) - 1.5087899)
14,0.001384295,"(-0.33365962 - ((x0 * -0.6794713) + square(aq(x2, x1) + -0.30388078))) * 5.026258",0.2592517621304127,(-(x0*(-0.6794713) + (x2/sqrt(x1**2 + 1) - 0.30388078)**2) - 0.33365962)*5.026258,PySRFunction(X=>(-(x0*(-0.6794713) + (x2/sqrt(x1**2 + 1) - 0.30388078)**2) - 0.33365962)*5.026258)
15,0.0010705235,"((x0 + -0.48272097) - square(square(aq(x2 + -0.022607503, x1 - 0.08471561)))) * 3.4157748",0.25704320360583804,(x0 - (x2 - 0.022607503)**4/((x1 - 1*0.08471561)**2 + 1)**2 - 0.48272097)*3.4157748,PySRFunction(X=>(x0 - (x2 - 0.022607503)**4/((x1 - 1*0.08471561)**2 + 1)**2 - 0.48272097)*3.4157748)
16,0.0010458053,"(-0.28394237 - (square(aq(x2, x1 + -0.06164855) + -0.35261166) + (x0 * -0.5711096))) * 5.9799128",0.023360570515700303,(-(x0*(-0.5711096) + (x2/sqrt((x1 - 0.06164855)**2 + 1) - 0.35261166)**2) - 0.28394237)*5.9799128,PySRFunction(X=>(-(x0*(-0.5711096) + (x2/sqrt((x1 - 0.06164855)**2 + 1) - 0.35261166)**2) - 0.28394237)*5.9799128)
17,0.00095100113,"-1.7048721 - (((x0 * -0.20870078) + square(square(aq(x2 + -0.28050667, x1 + -0.069548644)))) * 16.36536)",0.0950272388641911,-16.36536*(x0*(-0.20870078) + (x2 - 0.28050667)**4/((x1 - 0.069548644)**2 + 1)**2) - 1.7048721,PySRFunction(X=>-16.36536*(x0*(-0.20870078) + (x2 - 0.28050667)**4/((x1 - 0.069548644)**2 + 1)**2) - 1.7048721)
18,0.00083904446,"-1.6812458 - (square(square(square(aq(x2, x1) + 0.22142291) + (x1 * 0.16826615))) + (x0 * -3.41564))",0.12525155404767543,-(x0*(-3.41564) + (x1*0.16826615 + (x2/sqrt(x1**2 + 1) + 0.22142291)**2)**4) - 1.6812458,PySRFunction(X=>-(x0*(-3.41564) + (x1*0.16826615 + (x2/sqrt(x1**2 + 1) + 0.22142291)**2)**4) - 1.6812458)
20,0.0008368995,"-1.6867088 - ((x0 * -3.4151025) + square(square(((x2 * 0.20946483) * x1) + square(aq(x2, x1) + 0.22074811))))",0.0012798525621132196,-(x0*(-3.4151025) + (x2*0.20946483*x1 + (x2/sqrt(x1**2 + 1) + 0.22074811)**2)**4) - 1.6867088,PySRFunction(X=>-(x0*(-3.4151025) + (x2*0.20946483*x1 + (x2/sqrt(x1**2 + 1) + 0.22074811)**2)**4) - 1.6867088)
