Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.0033851,-0.5203583,0.0,-0.520358300000000,PySRFunction(X=>-0.520358300000000)
3,0.6062867,x0 + -1.0203737,0.2518908429631524,x0 - 1.0203737,PySRFunction(X=>x0 - 1.0203737)
4,0.39267334,log(x0 + 0.11218399),0.43437490619630054,log(x0 + 0.11218399),PySRFunction(X=>log(x0 + 0.11218399))
5,0.115535684,(x0 - x2) * 2.9108577,1.2233986356787905,(x0 - x2)*2.9108577,PySRFunction(X=>(x0 - x2)*2.9108577)
6,0.08224163,(x0 * 2.705583) - exp(x2),0.33991781307749047,x0*2.705583 - exp(x2),PySRFunction(X=>x0*2.705583 - exp(x2))
7,0.05882225,((x0 - x2) * 2.7300467) - 0.24737513,0.3351414368599648,(x0 - x2)*2.7300467 - 1*0.24737513,PySRFunction(X=>(x0 - x2)*2.7300467 - 1*0.24737513)
8,0.04057883,"(aq(3.1804802, x2) * x0) - exp(x2)",0.37127368264428057,x0*(3.1804802/sqrt(x2**2 + 1)) - exp(x2),PySRFunction(X=>x0*(3.1804802/sqrt(x2**2 + 1)) - exp(x2))
9,0.037964713,"((x0 - x2) - 0.10114863) * aq(3.309171, x2)",0.06658937900284587,(3.309171/sqrt(x2**2 + 1))*(x0 - x2 - 1*0.10114863),PySRFunction(X=>(3.309171/sqrt(x2**2 + 1))*(x0 - x2 - 1*0.10114863))
10,0.025009438,((x0 * 4.9892235) - square(x2 + x0)) - 1.6782451,0.4174038494168046,x0*4.9892235 - (x0 + x2)**2 - 1*1.6782451,PySRFunction(X=>x0*4.9892235 - (x0 + x2)**2 - 1*1.6782451)
12,0.0133581,"((x0 * 5.726147) - exp(x0 + aq(x2, -0.5048194))) - 0.39583737",0.31356516559970543,x0*5.726147 - exp(x0 + 0.892699658092041*x2) - 1*0.39583737,PySRFunction(X=>x0*5.726147 - exp(x0 + 0.892699658092041*x2) - 1*0.39583737)
13,0.01334239,"((x0 * 5.9340944) - exp(x0 + x2)) - log(aq(1.5669289, x2))",0.0011767575660879394,5.9340944*x0 - exp(x0 + x2) - log(1.5669289/sqrt(x2**2 + 1)),PySRFunction(X=>5.9340944*x0 - exp(x0 + x2) - log(1.5669289/sqrt(x2**2 + 1)))
14,0.0114203505,"aq(((x0 * 5.9206185) - exp(x0 + aq(x2, 0.42258084))) - 0.46544343, x1)",0.15554928933424833,(x0*5.9206185 - exp(x0 + 0.92113114676007*x2) - 1*0.46544343)/sqrt(x1**2 + 1),PySRFunction(X=>(x0*5.9206185 - exp(x0 + 0.92113114676007*x2) - 1*0.46544343)/sqrt(x1**2 + 1))
15,0.010894512,"aq(((x0 * 5.8300624) - exp(x0 + aq(x2, -0.4635596))) - 0.43402174, square(x1))",0.047137719320898844,(x0*5.8300624 - exp(x0 + 0.907260425995272*x2) - 1*0.43402174)/sqrt(x1**4 + 1),PySRFunction(X=>(x0*5.8300624 - exp(x0 + 0.907260425995272*x2) - 1*0.43402174)/sqrt(x1**4 + 1))
16,0.008538865,"aq(((x0 * 5.809775) - exp(x0 + aq(x2, 0.47319263))) - 0.4361749, x1 * x2)",0.24363108121811222,(x0*5.809775 - exp(x0 + 0.903909673019138*x2) - 1*0.4361749)/sqrt(x1**2*x2**2 + 1),PySRFunction(X=>(x0*5.809775 - exp(x0 + 0.903909673019138*x2) - 1*0.4361749)/sqrt(x1**2*x2**2 + 1))
18,0.008364534,"aq(((x0 * 5.611267) - exp((x2 + x0) - 0.13783343)) - 0.5639428, (x1 * x2) * 1.1892126)",0.010313735204051605,(x0*5.611267 - exp(x0 + x2 - 1*0.13783343) - 1*0.5639428)/sqrt(1.41422660799876*x1**2*x2**2 + 1),PySRFunction(X=>(x0*5.611267 - exp(x0 + x2 - 1*0.13783343) - 1*0.5639428)/sqrt(1.41422660799876*x1**2*x2**2 + 1))
19,0.008090214,"aq(((x0 * 5.594307) - exp((x2 + x0) - 0.13878854)) - 0.55927587, (square(x2) * x1) * 1.5338668)",0.033345441447669134,(x0*5.594307 - exp(x0 + x2 - 1*0.13878854) - 1*0.55927587)/sqrt(2.35274736014224*x1**2*x2**4 + 1),PySRFunction(X=>(x0*5.594307 - exp(x0 + x2 - 1*0.13878854) - 1*0.55927587)/sqrt(2.35274736014224*x1**2*x2**4 + 1))
