Complexity,Loss,Equation,score,sympy_format,lambda_format
1,15.76141,-3.3738399,0.0,-3.37383990000000,PySRFunction(X=>-3.37383990000000)
3,8.932042,x2 * -6.7474213,0.2839597556358309,x2*(-6.7474213),PySRFunction(X=>x2*(-6.7474213))
4,4.797199,log(0.8011265 - x2),0.6216128302407382,log(0.8011265 - x2),PySRFunction(X=>log(0.8011265 - x2))
5,4.37913,"aq(45.7132, x2) + -42.443592",0.09118213139868504,-42.443592 + 45.7132/sqrt(x2**2 + 1),PySRFunction(X=>-42.443592 + 45.7132/sqrt(x2**2 + 1))
7,3.5198421,"aq(7.9133806, x0) + (x2 * -17.202848)",0.10921697193623904,x2*(-17.202848) + 7.9133806/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-17.202848) + 7.9133806/sqrt(x0**2 + 1))
9,3.2687101,"square(square(aq(x2, x1 - 0.35847542))) * -19.444489",0.03701034419683606,(x2**4/((x1 - 1*0.35847542)**2 + 1)**2)*(-19.444489),PySRFunction(X=>(x2**4/((x1 - 1*0.35847542)**2 + 1)**2)*(-19.444489))
10,2.6067972,square(square(x2 - square(0.34516126 - x1))) * -23.654427,0.22627310089398464,(x2 - (0.34516126 - x1)**2)**4*(-23.654427),PySRFunction(X=>(x2 - (0.34516126 - x1)**2)**4*(-23.654427))
11,2.2831872,"aq(10.642483 - (x2 * 26.595898), 1.6929793 - (x1 * 6.071785))",0.13254997980371847,(10.642483 - 26.595898*x2)/sqrt((1.6929793 - 6.071785*x1)**2 + 1),PySRFunction(X=>(10.642483 - 26.595898*x2)/sqrt((1.6929793 - 6.071785*x1)**2 + 1))
12,2.2686095,"aq(x2 * -19.896305, exp(x1 * -8.153109) - x1) + 7.0134816",0.0064052728192095015,-19.896305*x2/sqrt((-x1 + exp(x1*(-8.153109)))**2 + 1) + 7.0134816,PySRFunction(X=>-19.896305*x2/sqrt((-x1 + exp(x1*(-8.153109)))**2 + 1) + 7.0134816)
13,1.7833637,"aq(11.52529 - (27.032896 * x2), 6.457618 * (0.27490243 - x1)) - x0",0.24066578860651405,-x0 + (11.52529 - 27.032896*x2)/sqrt(41.700830233924*(0.27490243 - x1)**2 + 1),PySRFunction(X=>-x0 + (11.52529 - 27.032896*x2)/sqrt(41.700830233924*(0.27490243 - x1)**2 + 1))
14,1.4055853,"aq((x2 * -25.84639) + square(3.677323 - x0), 1.6723431 - (x1 * 5.966469))",0.23804750046348064,(x2*(-25.84639) + (3.677323 - x0)**2)/sqrt((1.6723431 - 5.966469*x1)**2 + 1),PySRFunction(X=>(x2*(-25.84639) + (3.677323 - x0)**2)/sqrt((1.6723431 - 5.966469*x1)**2 + 1))
15,1.3707421,"aq((square(x2) * -22.06316) + square(x0 - 2.3912542), (x1 * 5.7489305) - 1.6145772)",0.02510152765160343,(x2**2*(-22.06316) + (x0 - 1*2.3912542)**2)/sqrt((x1*5.7489305 - 1*1.6145772)**2 + 1),PySRFunction(X=>(x2**2*(-22.06316) + (x0 - 1*2.3912542)**2)/sqrt((x1*5.7489305 - 1*1.6145772)**2 + 1))
16,1.2197595,"aq(square(x0 - 3.705039) + (x2 * -26.282999), aq(x1 * 7.1335864, x1) - 1.805093)",0.11669856385240357,(x2*(-26.282999) + (x0 - 1*3.705039)**2)/sqrt((7.1335864*x1/sqrt(x1**2 + 1) - 1*1.805093)**2 + 1),PySRFunction(X=>(x2*(-26.282999) + (x0 - 1*3.705039)**2)/sqrt((7.1335864*x1/sqrt(x1**2 + 1) - 1*1.805093)**2 + 1))
17,0.90391135,"aq(square(x0 - 3.6530914) + (x2 * -25.500301), (exp(x1 * -8.180357) - x1) * 2.4219291)",0.2996776957225823,(x2*(-25.500301) + (x0 - 1*3.6530914)**2)/sqrt(5.86574056542681*(-x1 + exp(x1*(-8.180357)))**2 + 1),PySRFunction(X=>(x2*(-25.500301) + (x0 - 1*3.6530914)**2)/sqrt(5.86574056542681*(-x1 + exp(x1*(-8.180357)))**2 + 1))
19,0.8684671,"aq(aq((x2 * -29.597609) + square(x0 - 3.9118638), (exp(x1 * -9.127553) - x1) * 2.3793793), 0.60884243)",0.020000793932680005,0.854142869484325*(x2*(-29.597609) + (x0 - 1*3.9118638)**2)/sqrt(5.66144585326849*(-x1 + exp(x1*(-9.127553)))**2 + 1),PySRFunction(X=>0.854142869484325*(x2*(-29.597609) + (x0 - 1*3.9118638)**2)/sqrt(5.66144585326849*(-x1 + exp(x1*(-9.127553)))**2 + 1))
20,0.810075,"aq(aq(square(3.706389 - x0) + (x2 * -26.24545), (x1 - exp(x1 * -8.253305)) * 2.3829257), log(x2))",0.06960286758627289,(-26.24545*x2 + (3.706389 - x0)**2)/(sqrt((2.3829257*x1 - 2.3829257*exp(-8.253305*x1))**2 + 1)*sqrt(log(x2)**2 + 1)),PySRFunction(X=>(-26.24545*x2 + (3.706389 - x0)**2)/(sqrt((2.3829257*x1 - 2.3829257*exp(-8.253305*x1))**2 + 1)*sqrt(log(x2)**2 + 1)))
