# param=alphaq z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed4_sobolev/refit/z3.6/pareto_alphaq.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,8.999996,0.11020499261252803,3.470303898250246e-05,48,True,True
18,10.180499,0.09427142979205488,3.8350018653434134e-05,48,True,True
17,11.068956,0.12049299399553015,0.00013371898974928284,48,True,True
16,11.531276,0.09473075996850427,0.00028390923861183683,48,True,True
15,12.763651,0.1139338222234933,0.0005094601457883129,48,True,True
14,13.190177,0.09763003015521127,0.0004877807589786864,48,True,True
13,16.81971,0.09933349031964217,0.0004866818138002188,48,True,True
12,19.913961,0.09075688533685422,0.00028539227081502533,48,True,True
11,24.299807,0.1319476127382096,0.00029945102357885036,48,True,True
10,27.95158,0.1916505289829683,0.00035116472483056834,48,True,True
9,30.447565,0.24918393596385696,0.0003629708106724805,48,True,True
8,34.943222,0.27666411035249233,4.380712172865809e-05,48,False,True
7,38.636078,0.36988681817311303,0.0004820826682416211,48,False,True
6,38.76598,0.21901854330190695,0.0006873428021702256,48,True,True
5,40.129555,0.1871873067711351,0.00034427687816842466,48,True,True
3,41.740486,0.13403758872261623,0.00030623420217436135,48,True,True
