# param=heref z=3.6 tol=0.25 log_space=True git=a84e36d+dirty source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/seed_band/z3.6_seed4_sobolev/refit/z3.6/pareto_heref.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,17.626009,0.15529748426372703,0.0002543833765217007,48,True,True
19,18.023588,0.14169070303605102,0.0002680565552180948,48,True,True
18,19.563175,0.1829789946886488,0.000273577634742581,48,True,True
17,21.448689,0.16158878811233962,0.00028355955882205017,48,True,True
16,23.40265,0.216869266850087,0.0002885480077590454,48,True,True
15,26.90352,0.11333669730721108,0.00019887142208511937,48,True,True
14,30.895872,0.1712639142982838,0.00019634789623969656,48,True,True
13,35.081474,0.05393928166850209,0.00016573677800626826,48,True,True
12,39.219616,0.09363798178232452,0.0002801779706419793,48,True,True
11,44.45129,0.1349266047915909,0.00029203187685700725,48,True,True
9,57.227684,0.04597597991848584,0.0006107922857762395,48,True,True
8,74.70302,0.1534973560725234,0.00017350274656830088,48,True,True
7,78.83972,0.04507481047974021,0.00028037310289329636,48,True,True
6,93.66131,0.04264688089258245,0.0005292464829588415,48,True,True
5,118.87167,0.26481631690649776,0.00043043139487072596,48,False,True
4,133.00739,0.4029779923220379,0.0022631495943059464,48,False,True
3,168.29971,0.598533761365069,0.0002576770197272212,48,False,True
2,215.68094,0.7968128031561157,0.002411186404798278,48,False,True
1,242.34296,0.8844023430926353,0.001849722387277866,48,False,True
