Complexity,Loss,Equation,score,sympy_format,lambda_format
1,31.715305,x0,0.0,x0,PySRFunction(X=>x0)
2,22.926933,exp(x0),0.3244870389225471,exp(x0),PySRFunction(X=>exp(x0))
3,4.2309904,x0 * 3.2691655,1.6898762302493824,x0*3.2691655,PySRFunction(X=>x0*3.2691655)
5,1.08272,(x0 * 3.4385972) + -1.8166243,0.6814798546332154,x0*3.4385972 - 1.8166243,PySRFunction(X=>x0*3.4385972 - 1.8166243)
6,0.12680127,2.9468787 - square(2.2196462 - x0),2.1446106147580766,2.9468787 - (2.2196462 - x0)**2,PySRFunction(X=>2.9468787 - (2.2196462 - x0)**2)
7,0.12500495,-1.99197 - ((x0 + -4.439296) * x0),0.01426772120759684,-x0*(x0 - 4.439296) - 1.99197,PySRFunction(X=>-x0*(x0 - 4.439296) - 1.99197)
8,0.0153765045,"log(aq(x0 + 1.7293715, 2.0023909)) * 7.5345",2.0955126739544805,7.5345*log(0.446786255964807*x0 + 0.772659417657241),PySRFunction(X=>7.5345*log(0.446786255964807*x0 + 0.772659417657241))
10,0.015310327,"(log(aq(x0 + 1.7251083, 2.0566213)) + 0.02318094) * 7.5167713",0.002156547266551448,7.5167713*log(0.437282380269332*x0 + 0.754359463646381) + 0.174245824499022,PySRFunction(X=>7.5167713*log(0.437282380269332*x0 + 0.754359463646381) + 0.174245824499022)
11,0.015200611,"(x0 + exp(aq(x0, 1.9422427))) - exp(1.0770967 - x0)",0.0071919436178992475,x0 + exp(0.457757877199955*x0) - exp(1.0770967 - x0),PySRFunction(X=>x0 + exp(0.457757877199955*x0) - exp(1.0770967 - x0))
12,0.0060116546,"log(aq(aq(x0 + 1.7315571, 1.9499228), aq(x2, 2.7761972))) * 7.540478",0.9276356059355871,7.540478*log((0.45633095176667*x0 + 0.790163099481335)/sqrt(0.114846547472282*x2**2 + 1)),PySRFunction(X=>7.540478*log((0.45633095176667*x0 + 0.790163099481335)/sqrt(0.114846547472282*x2**2 + 1)))
14,0.0053131133,"7.5342355 * log(aq(aq(1.7310091 + x0, 1.9561318), aq(aq(x2, x1), 2.7752736)))",0.06176102309199082,7.5342355*log((0.455182987018485*x0 + 0.787925892694179)/sqrt(0.114914215525882*x2**2/(x1**2 + 1) + 1)),PySRFunction(X=>7.5342355*log((0.455182987018485*x0 + 0.787925892694179)/sqrt(0.114914215525882*x2**2/(x1**2 + 1) + 1)))
16,0.0052731642,"(7.5342355 * log(aq(aq(1.7310091 + x0, 1.9561318), aq(aq(x2, x1), -2.7688084)))) + 0.0066038296",0.0037736862305286782,7.5342355*log((0.455182987018485*x0 + 0.787925892694179)/sqrt(0.115389497835*x2**2/(x1**2 + 1) + 1)) + 0.0066038296,PySRFunction(X=>7.5342355*log((0.455182987018485*x0 + 0.787925892694179)/sqrt(0.115389497835*x2**2/(x1**2 + 1) + 1)) + 0.0066038296)
17,0.0040276996,"aq(x0, aq(-0.72231954, x2)) + ((aq(1.1808333, exp(x2)) + x0) - exp(0.92041785 - x0))",0.2694352057112107,x0 + x0/sqrt(1 + 0.521745517865812/(x2**2 + 1)) - exp(0.92041785 - x0) + 1.1808333/sqrt(exp(2*x2) + 1),PySRFunction(X=>x0 + x0/sqrt(1 + 0.521745517865812/(x2**2 + 1)) - exp(0.92041785 - x0) + 1.1808333/sqrt(exp(2*x2) + 1))
18,0.003612773,"((x0 + aq(0.8253461, x2 * 1.8623304)) - exp(0.91697884 - x0)) + aq(x0, aq(-0.70550317, x2))",0.10871977260345482,x0 + x0/sqrt(1 + 0.497734722880049/(x2**2 + 1)) - exp(0.91697884 - x0) + 0.8253461/sqrt(3.46827451876416*x2**2 + 1),PySRFunction(X=>x0 + x0/sqrt(1 + 0.497734722880049/(x2**2 + 1)) - exp(0.91697884 - x0) + 0.8253461/sqrt(3.46827451876416*x2**2 + 1))
19,0.0035615363,"(aq(1.2548996, exp(1.1804392 * x2)) + x0) + (aq(x0, aq(-0.7069676, x2)) - exp(0.91704154 - x0))",0.01428362479844707,x0 + x0/sqrt(1 + 0.49980318744976/(x2**2 + 1)) - exp(0.91704154 - x0) + 1.2548996/sqrt(exp(2.3608784*x2) + 1),PySRFunction(X=>x0 + x0/sqrt(1 + 0.49980318744976/(x2**2 + 1)) - exp(0.91704154 - x0) + 1.2548996/sqrt(exp(2.3608784*x2) + 1))
20,0.0032304376,"(((aq(x0, 0.67019266) - -0.73963034) - exp(0.88088614 - x0)) + x0) - aq(aq(x2, -1.8665863 - x0), x1)",0.0975743887848638,0.830695964096993*x0 + x0 - x2/(sqrt(x1**2 + 1)*sqrt((-x0 - 1.8665863)**2 + 1)) - exp(0.88088614 - x0) - 1*(-0.73963034),PySRFunction(X=>0.830695964096993*x0 + x0 - x2/(sqrt(x1**2 + 1)*sqrt((-x0 - 1.8665863)**2 + 1)) - exp(0.88088614 - x0) - 1*(-0.73963034))
